taxon,locus_counts,site_counts
CONGOPHILLIPSORUM_FMNH177682,2748,1519780
CROBATAKORUM_KU165320,2891,1931938
CROGOLIATH_FMNH167692,3002,1550207
CROHORSEFIELDII_NK10645,3121,2045571
CROPALAWANENSIS_FMNH195224,1809,1241402
CROSIBERICA_TK146501,2877,1617277
Crocidura_LSUMZ39271,3045,2839283
Crocidura_LSUMZ39281,2789,2248690
Crocidura_LSUMZ39283,2764,2179215
Crocidura_australis_Bawakaraeng_MVZ237610_NMV_Z57224,781,260289
Crocidura_australis_Bawakaraeng_MZB40991_NMV_Z57198,937,351625
Crocidura_australis_Bawakaraeng_NMV_Z57223_KCR2954,811,264485
Crocidura_balete_Buliohuto_LSUMZ38264,3062,3036510
Crocidura_balete_Dako_LSUMZ36946,1969,1126602
Crocidura_balete_Dako_LSUMZ36951,1973,980986
Crocidura_brevicauda_Latimojong_MVZ237616,3106,3271945
Crocidura_brevicauda_MVZ237632,2906,3066514
Crocidura_brevicauda_MVZ237633,3072,2852691
Crocidura_caudicrassa_Gandangdewata_MZB34793_NMV_Z21753,2870,2078985
Crocidura_caudicrassa_Gandangdewata_MZB34804_NMV_Z21835,2989,2046923
Crocidura_caudipilosa_Bawakaraeng_NMV_Z57044_KCR2849,1017,395857
Crocidura_caudipilosa_Buliohuto_LSUMZ38289,1565,924635
Crocidura_caudipilosa_Katopasa_MZB39871_NMV_Z62416,3123,1890332
Crocidura_caudipilosa_Rorekatimbo_FMNH213246,2996,2180895
Crocidura_elongata_Ambang_LSUMZ39014,3138,2458765
Crocidura_elongata_Ambang_LSUMZ39016,3062,2734854
Crocidura_elongata_Buliohuto_LSUMZ38252,2381,1590367
Crocidura_elongata_Buliohuto_LSUMZ38253,2533,1538929
Crocidura_elongata_Dako_LSUMZ36906,3019,2639953
Crocidura_elongata_Dako_LSUMZ36907,2947,2591096
Crocidura_elongata_Temboan_PARATYPE_USNM217535,1672,521329
Crocidura_lea_Buliohuto_LSUMZ38254,2554,1676697
Crocidura_lea_Dako_LSUMZ36949,3347,2211141
Crocidura_lea_Temboan_HOLOTYPE_USNM217553,1468,410525
Crocidura_levicula_Rorekatimbo_FMNH213271,1461,629637
Crocidura_levicula_Tompotika_FMNH213346,2788,1818878
Crocidura_levicula_Tompotika_FMNH213357,1458,736918
Crocidura_levicula_Torompupu_LSUMZ39446,2986,3258069
Crocidura_mediocra_Balease_FMNH210569,2133,1336886
Crocidura_mediocra_MVZ238110,2925,2809408
Crocidura_mediocra_Mekongga_MWFB8134,2708,1911816
Crocidura_mediocra_SaluTiwo_FMNH218615,2165,1041168
Crocidura_microelongata_Gandangdewata_FMNH218546,2535,1389961
Crocidura_microelongata_Gandangdewata_MZB38473_FMNH218971,2706,1520454
Crocidura_microelongata_Latimojong_FMNH212990,2804,2227817
Crocidura_microelongata_Latimojong_FMNH213005,3305,2555982
Crocidura_microelongata_Rorekatimbo_FMNH213158,2720,1664766
Crocidura_musseri_Rorekatimbo_FMNH213253,1818,980769
Crocidura_musseri_Rorekatimbo_FMNH213263,829,447419
Crocidura_nigripes_Buliohuto_LSUMZ38292,3098,2619360
Crocidura_nigripes_LSUMZ39278,2702,1957187
Crocidura_nigripes_LSUMZ39279,2629,1923835
Crocidura_nigripes_SaluTiwo_FMNH218704,2239,1114088
Crocidura_normalis_Gandangdewata_FMNH218607,2772,1682152
Crocidura_normalis_Katopasa_NMV_Z61813_KCR3108,3049,2725882
Crocidura_normalis_Latimojong_FMNH213011,1043,355282
Crocidura_normalis_Mekongga_MWFB8151,1662,765593
Crocidura_normalis_Mekongga_MWFB8154,2249,1021198
Crocidura_normalis_Rorekatimbo_FMNH213184,976,502538
Crocidura_ordinarius_Gandangdewata_FMNH218726,1649,641524
Crocidura_ordinarius_Gandangdewata_MZB34871_NMV_Z21825,3037,2362834
Crocidura_ordinarius_Torompupu_NMV_Z62193_KCR3349,3096,2692203
Crocidura_pallida_Balease_FMNH210580,2653,1756699
Crocidura_pallida_Balease_FMNH210608,3016,2135510
Crocidura_pallida_Gandangdewata_FMNH218989,2870,1564326
Crocidura_pallida_Katopasa_NMV_Z62395_KCR3147,2742,1944244
Crocidura_pallida_Mekongga_MWFB8059,2249,1509155
Crocidura_pallida_Tompotika_FMNH213366,2956,2570945
Crocidura_parva_Bawakaraeng_MVZ237603_NMV_Z56998,917,298034
Crocidura_parva_Bawakaraeng_NMV_Z56314_HH925,963,335003
Crocidura_parva_Bawakaraeng_NMV_Z56319_HH930,2968,2103041
Crocidura_pseudorhoditis_Ambang_LSUMZ39031,2848,2349509
Crocidura_pseudorhoditis_Ambang_LSUMZ39311,2928,2416747
Crocidura_pseudorhoditis_Buliohuto_LSUMZ38284,2559,1633724
Crocidura_pseudorhoditis_Dako_LSUMZ36980,2561,1515404
Crocidura_quasielongata_Balease_FMNH210546,2850,1834075
Crocidura_quasielongata_Balease_FMNH210559,2993,2212862
Crocidura_quasielongata_Dako_LSUMZ36937,3018,2632601
Crocidura_quasielongata_Katopasa_NMV_Z61792_KCR3120,3105,2830717
Crocidura_quasielongata_Mekongga_MWFB8130,2568,1970780
