Programs,Analyses,System,execution_time,execution_time_secs,memory_usage,cpu_usage,percent_cpu_usage
SEGUL,summary_stats,hp_spectre,00:01.8,1.80,50544,7.35,735
SEGUL,summary_stats,hp_spectre,00:01.9,1.90,48968,7.46,746
SEGUL,summary_stats,hp_spectre,00:02.1,2.10,49828,7.46,746
SEGUL,summary_stats,hp_spectre,00:02.1,2.10,49936,7.48,748
SEGUL,summary_stats,hp_spectre,00:02.0,2.00,49676,7.42,742
SEGUL,summary_stats,hp_spectre,00:01.9,1.90,48636,7.45,745
SEGUL,summary_stats,hp_spectre,00:01.9,1.90,51492,7.37,737
SEGUL,summary_stats,hp_spectre,00:01.9,1.90,50404,7.46,746
SEGUL,summary_stats,hp_spectre,00:01.9,1.90,48984,7.45,745
SEGUL,summary_stats,hp_spectre,00:02.2,2.20,48844,7.45,745
SEGUL,summary_stats,hp_spectre,00:02.2,2.20,48608,7.44,744
Phyluce,summary_stats,hp_spectre,01:27.6,87.60,49120,7.84,784
Phyluce,summary_stats,hp_spectre,01:31.8,91.80,50664,7.84,784
Phyluce,summary_stats,hp_spectre,01:42.6,102.60,56988,7.87,787
Phyluce,summary_stats,hp_spectre,01:31.9,91.90,50180,7.80,780
Phyluce,summary_stats,hp_spectre,01:31.6,91.60,49848,7.85,785
Phyluce,summary_stats,hp_spectre,01:35.0,95.00,48116,7.88,788
Phyluce,summary_stats,hp_spectre,01:35.3,95.30,50676,7.85,785
Phyluce,summary_stats,hp_spectre,01:31.6,91.60,47620,7.85,785
Phyluce,summary_stats,hp_spectre,01:35.5,95.50,56544,7.80,780
Phyluce,summary_stats,hp_spectre,01:37.1,97.10,50236,7.75,775
Phyluce,summary_stats,hp_spectre,01:46.3,106.30,57384,7.79,779
SEGUL,concat_aln,hp_spectre,00:03.1,3.07,596796,1.68,168
SEGUL,concat_aln,hp_spectre,00:03.0,2.98,598096,1.67,167
SEGUL,concat_aln,hp_spectre,00:02.5,2.51,599540,1.47,147
SEGUL,concat_aln,hp_spectre,00:02.8,2.75,597496,1.42,142
SEGUL,concat_aln,hp_spectre,00:02.8,2.75,597608,1.43,143
SEGUL,concat_aln,hp_spectre,00:02.8,2.82,600916,1.42,142
SEGUL,concat_aln,hp_spectre,00:02.7,2.74,597600,1.45,145
SEGUL,concat_aln,hp_spectre,00:02.9,2.89,597560,1.47,147
SEGUL,concat_aln,hp_spectre,00:03.0,3.03,598528,1.36,136
SEGUL,concat_aln,hp_spectre,00:03.2,3.22,599952,1.48,148
SEGUL,concat_aln,hp_spectre,00:02.8,2.82,597188,1.48,148
Phyluce,concat_aln,hp_spectre,02:34.0,154.02,1044368,1.00,100
Phyluce,concat_aln,hp_spectre,03:22.5,202.51,1048324,1.00,100
Phyluce,concat_aln,hp_spectre,03:20.6,200.58,1048384,1.00,100
Phyluce,concat_aln,hp_spectre,03:30.9,210.92,1044416,1.00,100
Phyluce,concat_aln,hp_spectre,03:28.7,208.67,1048324,1.00,100
Phyluce,concat_aln,hp_spectre,03:34.2,214.22,1046604,1.00,100
Phyluce,concat_aln,hp_spectre,03:25.8,205.77,1046548,1.00,100
Phyluce,concat_aln,hp_spectre,03:24.7,204.72,1044452,1.00,100
Phyluce,concat_aln,hp_spectre,04:59.9,299.91,1046524,1.00,100
Phyluce,concat_aln,hp_spectre,05:25.7,325.75,1048308,1.00,100
Phyluce,concat_aln,hp_spectre,03:43.1,223.13,1048496,1.00,100
