Programs,Analyses,execution_time,execution_time_secs,memory_usage,cpu_usage
SEGUL,summary_stats,00:01.8,1.80,50544,735%
SEGUL,summary_stats,00:01.9,1.90,48968,746%
SEGUL,summary_stats,00:02.1,2.10,49828,746%
SEGUL,summary_stats,00:02.1,2.10,49936,748%
SEGUL,summary_stats,00:02.0,2.00,49676,742%
SEGUL,summary_stats,00:01.9,1.90,48636,745%
SEGUL,summary_stats,00:01.9,1.90,51492,737%
SEGUL,summary_stats,00:01.9,1.90,50404,746%
SEGUL,summary_stats,00:01.9,1.90,48984,745%
SEGUL,summary_stats,00:02.2,2.20,48844,745%
SEGUL,summary_stats,00:02.2,2.20,48608,744%
Phyluce,summary_stats,01:27.6,87.60,49120,784%
Phyluce,summary_stats,01:31.8,91.80,50664,784%
Phyluce,summary_stats,01:42.6,102.60,56988,787%
Phyluce,summary_stats,01:31.9,91.90,50180,780%
Phyluce,summary_stats,01:31.6,91.60,49848,785%
Phyluce,summary_stats,01:35.0,95.00,48116,788%
Phyluce,summary_stats,01:35.3,95.30,50676,785%
Phyluce,summary_stats,01:31.6,91.60,47620,785%
Phyluce,summary_stats,01:35.5,95.50,56544,780%
Phyluce,summary_stats,01:37.1,97.10,50236,775%
Phyluce,summary_stats,01:46.3,106.30,57384,779%
SEGUL,concat_aln,00:03.1,3.07,596796,168%
SEGUL,concat_aln,00:03.0,2.98,598096,167%
SEGUL,concat_aln,00:02.5,2.51,599540,147%
SEGUL,concat_aln,00:02.8,2.75,597496,142%
SEGUL,concat_aln,00:02.8,2.75,597608,143%
SEGUL,concat_aln,00:02.8,2.82,600916,142%
SEGUL,concat_aln,00:02.7,2.74,597600,145%
SEGUL,concat_aln,00:02.9,2.89,597560,147%
SEGUL,concat_aln,00:03.0,3.03,598528,136%
SEGUL,concat_aln,00:03.2,3.22,599952,148%
SEGUL,concat_aln,00:02.8,2.82,597188,148%
Phyluce,concat_aln,02:34.0,154.02,1044368,100%
Phyluce,concat_aln,03:22.5,202.51,1048324,100%
Phyluce,concat_aln,03:20.6,200.58,1048384,100%
Phyluce,concat_aln,03:30.9,210.92,1044416,100%
Phyluce,concat_aln,03:28.7,208.67,1048324,100%
Phyluce,concat_aln,03:34.2,214.22,1046604,100%
Phyluce,concat_aln,03:25.8,205.77,1046548,100%
Phyluce,concat_aln,03:24.7,204.72,1044452,100%
Phyluce,concat_aln,04:59.9,299.91,1046524,100%
Phyluce,concat_aln,05:25.7,325.75,1048308,100%
Phyluce,concat_aln,03:43.1,223.13,1048496,100%
