programs,dataset,execution_time,execution_time_secs,ram_usage,ram_usage_Mb,cpu_usage
SEGUL,esselstyn_2021_nexus_trimmed,00:05.3,5.27,"603,044",603.044,146%
SEGUL,esselstyn_2021_nexus_trimmed,00:05.3,5.27,"601,660",601.660,149%
SEGUL,esselstyn_2021_nexus_trimmed,00:05.3,5.28,"601,924",601.924,149%
SEGUL,esselstyn_2021_nexus_trimmed,00:05.2,5.25,"602,216",602.216,146%
SEGUL,esselstyn_2021_nexus_trimmed,00:05.3,5.26,"603,376",603.376,153%
SEGUL,esselstyn_2021_nexus_trimmed,00:05.3,5.29,"606,380",606.380,149%
SEGUL,esselstyn_2021_nexus_trimmed,00:05.2,5.20,"603,144",603.144,149%
SEGUL,esselstyn_2021_nexus_trimmed,00:05.2,5.25,"602,932",602.932,151%
SEGUL,esselstyn_2021_nexus_trimmed,00:05.2,5.22,"602,420",602.420,144%
SEGUL,esselstyn_2021_nexus_trimmed,00:05.2,5.23,"597,288",597.288,144%
SEGUL,oliveros_2019_80p_trimmed,00:04.4,4.40,"656,672",656.672,161%
SEGUL,oliveros_2019_80p_trimmed,00:04.5,4.54,"655,700",655.700,167%
SEGUL,oliveros_2019_80p_trimmed,00:04.4,4.37,"654,952",654.952,168%
SEGUL,oliveros_2019_80p_trimmed,00:04.4,4.37,"654,220",654.220,167%
SEGUL,oliveros_2019_80p_trimmed,00:04.4,4.39,"656,464",656.464,165%
SEGUL,oliveros_2019_80p_trimmed,00:04.4,4.36,"657,636",657.636,172%
SEGUL,oliveros_2019_80p_trimmed,00:04.5,4.52,"658,844",658.844,166%
SEGUL,oliveros_2019_80p_trimmed,00:04.5,4.54,"655,640",655.640,177%
SEGUL,oliveros_2019_80p_trimmed,00:04.4,4.38,"655,032",655.032,173%
SEGUL,oliveros_2019_80p_trimmed,00:04.4,4.38,"655,656",655.656,163%
SEGUL,jarvis_2014_uce_filtered_w_gator,00:04.2,4.20,"485,060",485.060,173%
SEGUL,jarvis_2014_uce_filtered_w_gator,00:04.2,4.18,"493,252",493.252,164%
SEGUL,jarvis_2014_uce_filtered_w_gator,00:04.2,4.17,"492,252",492.252,167%
SEGUL,jarvis_2014_uce_filtered_w_gator,00:04.2,4.20,"493,608",493.608,178%
SEGUL,jarvis_2014_uce_filtered_w_gator,00:04.2,4.20,"493,336",493.336,171%
SEGUL,jarvis_2014_uce_filtered_w_gator,00:04.3,4.26,"487,492",487.492,169%
SEGUL,jarvis_2014_uce_filtered_w_gator,00:04.2,4.24,"492,756",492.756,169%
SEGUL,jarvis_2014_uce_filtered_w_gator,00:04.2,4.24,"487,884",487.884,164%
SEGUL,jarvis_2014_uce_filtered_w_gator,00:04.2,4.18,"487,136",487.136,167%
SEGUL,jarvis_2014_uce_filtered_w_gator,00:04.2,4.17,"488,532",488.532,170%
AMAS,esselstyn_2021_nexus_trimmed,00:24.1,24.12,"2,060,468","2,060.468",142%
AMAS,esselstyn_2021_nexus_trimmed,00:23.9,23.92,"2,060,400","2,060.400",144%
AMAS,esselstyn_2021_nexus_trimmed,00:23.8,23.80,"2,060,608","2,060.608",143%
AMAS,esselstyn_2021_nexus_trimmed,00:23.6,23.61,"2,060,828","2,060.828",144%
AMAS,esselstyn_2021_nexus_trimmed,00:24.5,24.54,"2,060,464","2,060.464",142%
AMAS,esselstyn_2021_nexus_trimmed,00:23.9,23.90,"2,060,472","2,060.472",144%
AMAS,esselstyn_2021_nexus_trimmed,00:23.7,23.72,"2,060,468","2,060.468",144%
AMAS,esselstyn_2021_nexus_trimmed,00:24.7,24.74,"2,060,472","2,060.472",141%
AMAS,esselstyn_2021_nexus_trimmed,00:23.9,23.86,"2,060,472","2,060.472",143%
AMAS,esselstyn_2021_nexus_trimmed,00:23.6,23.63,"2,060,476","2,060.476",144%
AMAS,oliveros_2019_80p_trimmed,00:26.0,26.04,"2,475,260","2,475.260",164%
AMAS,oliveros_2019_80p_trimmed,00:26.0,25.96,"2,475,264","2,475.264",165%
AMAS,oliveros_2019_80p_trimmed,00:25.6,25.60,"2,475,208","2,475.208",164%
AMAS,oliveros_2019_80p_trimmed,00:25.8,25.84,"2,475,236","2,475.236",165%
AMAS,oliveros_2019_80p_trimmed,00:26.0,26.01,"2,475,256","2,475.256",164%
AMAS,oliveros_2019_80p_trimmed,00:25.6,25.63,"2,475,208","2,475.208",165%
AMAS,oliveros_2019_80p_trimmed,00:25.6,25.58,"2,475,116","2,475.116",166%
AMAS,oliveros_2019_80p_trimmed,00:26.4,26.37,"2,475,208","2,475.208",162%
AMAS,oliveros_2019_80p_trimmed,00:25.8,25.81,"2,475,232","2,475.232",165%
AMAS,oliveros_2019_80p_trimmed,00:25.5,25.49,"2,475,208","2,475.208",165%
AMAS,jarvis_2014_uce_filtered_w_gator,00:18.8,18.77,"1,844,164","1,844.164",183%
AMAS,jarvis_2014_uce_filtered_w_gator,00:20.0,20.04,"1,843,772","1,843.772",179%
AMAS,jarvis_2014_uce_filtered_w_gator,00:21.0,21.03,"1,844,536","1,844.536",174%
AMAS,jarvis_2014_uce_filtered_w_gator,00:19.0,19.04,"1,843,872","1,843.872",185%
AMAS,jarvis_2014_uce_filtered_w_gator,00:19.3,19.34,"1,843,788","1,843.788",181%
AMAS,jarvis_2014_uce_filtered_w_gator,00:21.4,21.42,"1,845,016","1,845.016",173%
AMAS,jarvis_2014_uce_filtered_w_gator,00:18.3,18.32,"1,843,632","1,843.632",187%
AMAS,jarvis_2014_uce_filtered_w_gator,00:20.4,20.36,"1,843,920","1,843.920",177%
AMAS,jarvis_2014_uce_filtered_w_gator,00:18.8,18.78,"1,843,600","1,843.600",186%
AMAS,jarvis_2014_uce_filtered_w_gator,00:19.9,19.89,"1,843,632","1,843.632",179%
