
Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:05.27 603044 146%
0:05.27 601660 149%
0:05.28 601924 149%
0:05.25 602216 146%
0:05.26 603376 153%
0:05.29 606380 149%
0:05.20 603144 149%
0:05.25 602932 151%
0:05.22 602420 144%
0:05.23 597288 144%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:04.40 656672 161%
0:04.54 655700 167%
0:04.37 654952 168%
0:04.37 654220 167%
0:04.39 656464 165%
0:04.36 657636 172%
0:04.52 658844 166%
0:04.54 655640 177%
0:04.38 655032 173%
0:04.38 655656 163%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:04.20 485060 173%
0:04.18 493252 164%
0:04.17 492252 167%
0:04.20 493608 178%
0:04.20 493336 171%
0:04.26 487492 169%
0:04.24 492756 169%
0:04.24 487884 164%
0:04.18 487136 167%
0:04.17 488532 170%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:24.12 2060468 142%
0:23.92 2060400 144%
0:23.80 2060608 143%
0:23.61 2060828 144%
0:24.54 2060464 142%
0:23.90 2060472 144%
0:23.72 2060468 144%
0:24.74 2060472 141%
0:23.86 2060472 143%
0:23.63 2060476 144%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:26.04 2475260 164%
0:25.96 2475264 165%
0:25.60 2475208 164%
0:25.84 2475236 165%
0:26.01 2475256 164%
0:25.63 2475208 165%
0:25.58 2475116 166%
0:26.37 2475208 162%
0:25.81 2475232 165%
0:25.49 2475208 165%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:18.77 1844164 183%
0:20.04 1843772 179%
0:21.03 1844536 174%
0:19.04 1843872 185%
0:19.34 1843788 181%
0:21.42 1845016 173%
0:18.32 1843632 187%
0:20.36 1843920 177%
0:18.78 1843600 186%
0:19.89 1843632 179%

Benchmarking Phyluce
Dataset path: alignments/esselstyn_2021_nexus_trimmed
3:54.28 13486308 100%
3:55.90 13480252 100%
3:51.47 13480172 100%
3:50.73 13480544 100%
3:57.97 13488304 100%
3:53.44 13500040 100%
3:51.70 13496004 100%
3:53.13 13494508 100%
3:50.23 13488736 100%
3:57.47 13500588 100%
Dataset path: alignments/oliveros_2019_80p_trimmed
4:21.99 6508132 100%
4:16.80 6508788 100%
4:20.50 6508264 100%
4:18.38 6506688 100%
4:20.20 6509404 100%
4:22.30 6505652 100%
4:16.83 6509500 100%
4:26.29 6507124 100%
4:21.18 6509392 100%
4:23.65 6508028 100%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
4:22.78 20661916 100%
4:17.74 20616868 100%
4:17.41 20658812 100%
4:18.66 20646228 100%
4:25.05 20629016 100%
4:17.61 20619840 100%
4:24.00 20627032 100%
4:20.86 20618756 100%
4:19.46 20635164 100%
4:25.29 20593224 100%
