Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:02.34 606456 147%
0:02.16 615140 150%
0:02.65 606204 146%
0:02.24 611108 155%
0:02.16 605344 152%
0:02.40 603688 151%
0:02.16 606408 156%
0:02.23 607716 150%
0:02.16 608224 155%
0:02.15 602136 151%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:03.52 658972 150%
0:03.45 658792 151%
0:03.48 658304 152%
0:03.45 653224 151%
0:03.49 660952 151%
0:03.49 655792 153%
0:03.53 654168 152%
0:03.49 654548 152%
0:03.49 655692 152%
0:03.45 658460 152%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:03.89 530704 136%
0:03.44 529140 136%
0:03.44 525168 136%
0:03.48 528756 137%
0:03.91 528844 139%
0:03.44 522208 138%
0:03.43 531000 136%
0:03.47 527608 136%
0:03.41 527600 138%
0:03.53 531680 135%
Benchmarking SEGUL ignore datatype
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:01.34 606296 207%
0:01.51 611900 180%
0:01.30 606712 193%
0:01.33 613736 194%
0:01.37 605384 182%
0:01.33 604804 194%
0:01.30 609392 190%
0:01.32 606700 192%
0:01.40 609824 197%
0:01.43 607552 184%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:01.87 657348 204%
0:01.87 657304 201%
0:01.86 659816 201%
0:01.87 658280 194%
0:01.86 654812 206%
0:01.89 656540 202%
0:01.88 660984 187%
0:01.90 658620 197%
0:01.88 656104 195%
0:01.88 659808 197%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:01.33 533740 201%
0:01.33 532424 206%
0:01.35 532088 200%
0:01.34 534340 202%
0:01.37 533300 194%
0:01.35 532460 208%
0:01.30 530392 207%
0:01.32 530408 201%
0:01.36 534556 199%
0:01.41 537772 197%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:03.01 2070480 491%
0:03.00 2069964 493%
0:03.02 2067748 479%
0:03.07 2070348 478%
0:03.06 2068216 479%
0:03.03 2070632 477%
0:03.14 2068088 469%
0:03.06 2067748 484%
0:02.95 2068024 496%
0:03.05 2067572 475%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:05.42 2330360 468%
0:05.51 2332112 455%
0:05.39 2330140 463%
0:05.57 2329996 458%
0:05.55 2332168 457%
0:05.71 2330504 451%
0:05.31 2330144 470%
0:05.40 2330404 468%
0:05.51 2330324 463%
0:04.91 2330296 511%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:02.79 1853348 669%
0:02.72 1854328 693%
0:03.02 1855056 630%
0:02.66 1852332 702%
0:02.75 1854548 678%
0:02.73 1852396 682%
0:02.87 1855992 652%
0:02.67 1855260 697%
0:02.71 1853252 687%
0:02.75 1852984 679%

Benchmarking Phyluce
Dataset path: alignments/esselstyn_2021_nexus_trimmed
3:35.40 2021940 100%
3:29.23 2017976 100%
3:30.76 2019768 100%
3:37.29 2064352 100%
3:31.56 2036148 100%
3:32.57 2020676 100%
3:33.05 2059908 100%
3:33.36 2023416 100%
3:33.69 2038132 100%
3:37.91 2040868 100%
Dataset path: alignments/oliveros_2019_80p_trimmed
4:23.03 2331056 100%
4:18.14 2328144 100%
4:16.43 2331996 100%
4:25.60 2332060 100%
4:22.65 2332064 100%
4:27.46 2327904 100%
4:22.94 2328072 100%
4:28.29 2335084 100%
4:21.71 2333020 100%
4:21.76 2358040 100%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
3:31.65 2296840 100%
3:26.95 2305356 100%
3:26.09 2308964 100%
3:29.41 2304144 100%
3:30.48 2307680 100%
3:29.77 2304748 100%
3:33.05 2304532 100%
3:29.84 2304800 100%
3:34.70 2312352 100%
3:31.32 2342056 100%
