
Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:03.59 688128 122%
0:03.54 648384 123%
0:03.50 683008 124%
0:03.57 730272 122%
0:03.51 659792 123%
0:03.50 703072 124%
0:03.58 762912 122%
0:03.55 787008 123%
0:03.51 761808 124%
0:03.50 648624 123%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:03.88 670768 115%
0:03.17 697504 142%
0:03.18 697536 142%
0:03.17 701936 143%
0:03.22 728752 140%
0:03.44 775328 135%
0:04.40 662560 114%
0:03.49 728000 134%
0:03.28 894384 138%
0:03.17 751520 143%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:03.51 467536 113%
0:03.11 681184 129%
0:03.10 556032 130%
0:03.12 682704 130%
0:03.11 679808 130%
0:03.10 678672 130%
0:03.10 570128 130%
0:03.09 567008 130%
0:03.10 677328 130%
0:03.12 681920 129%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:04.67 1902304 346%
0:04.60 1925536 350%
0:04.71 1784992 341%
0:04.73 1832672 342%
0:04.70 1797584 345%
0:04.63 1916304 346%
0:04.58 1902816 351%
0:04.74 1700912 341%
0:04.61 1911696 350%
0:04.70 1800288 341%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:07.90 1882784 341%
0:07.63 2067184 350%
0:07.71 2175088 349%
0:07.67 2224976 349%
0:07.59 2343840 352%
0:07.72 2254592 347%
0:07.71 2206272 347%
0:07.65 2241424 351%
0:07.61 2313136 351%
0:07.65 2330400 350%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:04.46 2005712 431%
0:04.59 2009632 419%
0:04.54 1995616 423%
0:04.61 1982832 417%
0:04.48 1994320 425%
0:04.63 1988240 415%
0:04.86 1837776 396%
0:04.73 1916640 409%
0:04.69 1983280 411%
0:04.75 1857456 407%
