
Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:03.55 786432 122%
0:03.63 654464 120%
0:03.72 809328 117%
0:03.51 632176 123%
0:03.50 809712 123%
0:03.64 867392 121%
0:03.53 664224 123%
0:03.59 648992 121%
0:03.51 702880 122%
0:03.63 732080 120%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:03.92 723104 110%
0:03.29 748112 138%
0:03.36 859168 139%
0:03.28 740448 139%
0:03.23 780432 141%
0:03.30 851056 139%
0:03.26 770784 139%
0:03.34 848528 138%
0:03.21 834240 141%
0:03.29 851440 138%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:03.41 559584 113%
0:03.10 751680 129%
0:03.19 745968 127%
0:03.09 751616 130%
0:03.13 568368 128%
0:03.22 598880 126%
0:03.14 679760 129%
0:03.11 624608 129%
0:03.13 634896 128%
0:03.10 794032 129%
Benchmarking SEGUL ignore datatype
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:01.88 707264 122%
0:01.58 635728 156%
0:01.59 639136 156%
0:01.59 637248 155%
0:01.61 669504 155%
0:01.60 663776 155%
0:01.59 720384 156%
0:01.58 632880 155%
0:01.59 640704 155%
0:01.58 637952 156%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:02.53 724128 130%
0:02.16 756080 164%
0:02.17 786624 163%
0:02.16 853920 165%
0:02.10 696256 167%
0:02.16 854688 165%
0:02.15 854176 165%
0:02.13 852400 166%
0:02.13 718064 166%
0:02.17 857104 165%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:01.75 568624 131%
0:01.52 756384 163%
0:01.52 633968 164%
0:01.52 574272 163%
0:01.53 569328 164%
0:01.53 579664 163%
0:01.52 568544 163%
0:01.53 641776 163%
0:01.52 693888 164%
0:01.52 569136 164%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:04.37 1886016 337%
0:04.25 2033856 344%
0:04.23 2042144 345%
0:04.20 1950512 346%
0:04.35 1855600 341%
0:04.21 1973824 345%
0:04.23 1945744 343%
0:04.19 2085440 347%
0:04.22 1975392 347%
0:04.21 2033856 347%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:07.26 2123440 346%
0:07.23 2341552 347%
0:07.27 2274848 345%
0:07.21 2362704 346%
0:07.26 2331376 344%
0:07.30 2238320 344%
0:07.31 2288080 344%
0:07.21 2335760 347%
0:07.54 1998144 336%
0:07.40 2099696 339%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:04.16 1975744 425%
0:04.13 1971600 428%
0:04.11 1967584 432%
0:04.15 1986800 428%
0:04.21 1966336 422%
0:04.24 1969664 419%
0:04.22 1960784 422%
0:04.20 1975232 422%
0:04.26 1957200 418%
0:04.81 1537264 359%
