Darwin Kernel Version 21.2.0: Sun Nov 28 20:29:10 PST 2021; root:xnu-8019.61.5~1/RELEASE_ARM64_T8101
segul 0.16.3
Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:03.44 639360 123%
0:03.49 682176 122%
0:03.44 629328 122%
0:03.44 629920 122%
0:03.44 632400 123%
0:03.44 634272 122%
0:03.46 682704 123%
0:03.46 632336 122%
0:03.47 630000 122%
0:03.44 633104 123%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:03.72 619728 116%
0:03.16 697088 141%
0:03.17 701632 140%
0:03.21 700640 139%
0:03.17 700336 140%
0:03.16 694496 141%
0:03.17 756832 141%
0:03.16 701312 141%
0:03.17 699440 141%
0:03.18 700256 140%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:03.37 562608 114%
0:03.11 630048 128%
0:03.11 569728 129%
0:03.11 628560 128%
0:03.11 625456 128%
0:03.10 569952 128%
0:03.10 629808 128%
0:03.12 630432 128%
0:03.10 557504 128%
0:03.12 559408 128%
Dataset path: alignments/chan_2020_loci/
0:02.46 391952 122%
0:02.11 399696 147%
0:02.10 396528 148%
0:02.11 393488 147%
0:02.10 400480 148%
0:02.10 407840 148%
0:02.09 399424 148%
0:02.10 399712 149%
0:02.10 391152 148%
0:02.10 397328 149%
Benchmarking SEGUL ignore datatype
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:01.29 628208 133%
0:01.06 626592 175%
0:01.06 634368 175%
0:01.06 637056 175%
0:01.06 628512 176%
0:01.08 630608 172%
0:01.06 629840 175%
0:01.06 636832 174%
0:01.06 630752 175%
0:01.08 632912 172%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:01.94 698384 136%
0:01.62 694720 179%
0:01.63 695568 178%
0:01.65 694848 177%
0:01.62 698864 179%
0:01.65 701888 175%
0:01.62 696304 178%
0:01.60 701504 179%
0:01.61 706384 180%
0:01.60 699280 181%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:01.29 560672 136%
0:01.05 559280 186%
0:01.06 569328 184%
0:01.06 624672 182%
0:01.05 566464 185%
0:01.06 564720 184%
0:01.07 683552 181%
0:01.12 685184 179%
0:01.13 566512 179%
0:01.13 625760 181%
Dataset path: alignments/chan_2020_loci/
0:01.48 440784 127%
0:01.14 449888 191%
0:01.15 458752 190%
0:01.12 464464 192%
0:01.09 399632 190%
0:01.08 399376 193%
0:01.08 400624 193%
0:01.07 398736 195%
0:01.08 397648 194%
0:01.08 406208 193%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:03.19 1768464 425%
0:03.13 2035680 433%
0:03.10 2094832 436%
0:03.13 2063360 434%
0:03.09 2069872 438%
0:03.12 2033312 434%
0:03.15 2019840 430%
0:03.16 2006352 430%
0:03.17 2010080 427%
0:03.15 2020832 431%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:06.27 2102096 385%
0:06.18 2251440 389%
0:06.18 2227488 389%
0:06.02 2354832 398%
0:06.17 2328560 390%
0:06.24 2238496 385%
0:06.20 2214528 387%
0:06.11 2289872 393%
0:06.21 2260752 386%
0:06.21 2229680 387%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:03.21 1958128 524%
0:03.20 1975056 525%
0:03.22 2018000 520%
0:03.20 1966064 523%
0:03.21 1968640 522%
0:03.21 1967264 521%
0:03.21 1973312 524%
0:03.25 1966672 517%
0:03.22 1956384 519%
0:03.21 1962384 522%
Dataset path: alignments/chan_2020_loci/
0:03.04 1421536 410%
0:02.74 1435360 441%
0:02.71 1404480 444%
0:02.72 1418848 441%
0:02.73 1422752 442%
0:02.71 1447824 442%
0:02.73 1419616 441%
0:02.71 1415824 445%
0:02.76 1413488 438%
0:03.00 1338944 399%

Benchmarking AMAS Check Aligned
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:11.23 1658096 190%
0:10.67 2190736 197%
0:10.80 1996176 196%
0:10.89 2012224 195%
0:10.83 1971056 195%
0:10.96 2018320 195%
0:11.00 2053776 194%
0:10.73 2011600 197%
0:10.66 2032528 197%
0:10.95 2068128 195%
Dataset path: alignments/oliveros_2019_80p_trimmed
2:44.63 1616720 110%
2:44.31 1787984 110%
2:46.81 2023968 110%
2:43.99 2130576 110%
2:43.80 2327120 110%
2:43.72 2296976 110%
2:43.62 2368560 110%
2:44.61 2342112 110%
2:45.32 1729392 110%
2:47.22 1960864 110%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:05.99 1958016 324%
0:05.86 1965712 331%
0:06.02 1948624 326%
0:06.02 1953504 324%
0:06.00 1966608 326%
0:05.99 1928624 327%
0:05.98 1975216 327%
0:05.93 1970208 330%
0:06.00 1953664 325%
0:06.07 1946784 323%
Dataset path: alignments/chan_2020_loci/
0:08.66 1432304 208%
0:08.48 1408352 210%
0:08.41 1427984 213%
0:08.56 1425856 209%
0:08.46 1420016 212%
0:08.42 1426640 211%
0:08.38 1430784 211%
0:08.42 1416592 210%
0:08.36 1433088 213%
0:08.51 1416544 211%
