
Benchmarking SEGUL
Dataset path: alignments/wu_2018_aa_loci/
0:02.29 383744 130%
0:02.31 454144 130%
0:02.31 383344 129%
0:02.30 382496 129%
0:02.30 383840 130%
0:02.30 381328 129%
0:02.30 382992 130%
0:02.30 415200 130%
0:02.30 378016 130%
0:02.30 382832 130%
Dataset path: alignments/shen_2018_loci_aa/
0:05.02 622320 112%
0:04.72 604000 124%
0:04.73 600048 123%
0:04.72 599600 124%
0:04.73 605264 123%
0:04.72 603504 124%
0:04.73 602688 124%
0:04.76 601280 123%
0:04.74 603728 123%
0:04.73 598800 124%
Benchmarking SEGUL ignore datatype
Dataset path: alignments/wu_2018_aa_loci/
0:00.83 384608 184%
0:00.83 383408 184%
0:00.83 384336 182%
0:00.82 384144 185%
0:00.82 381200 184%
0:00.82 383504 184%
0:00.84 382080 180%
0:00.84 384288 181%
0:00.84 383248 181%
0:00.83 383904 183%
Dataset path: alignments/shen_2018_loci_aa/
0:01.35 602384 184%
0:01.34 602848 184%
0:01.35 598208 185%
0:01.34 601152 185%
0:01.36 602160 182%
0:01.35 602928 184%
0:01.37 603472 183%
0:01.34 602704 185%
0:01.35 602992 185%
0:01.34 606224 185%

Benchmarking AMAS
Dataset path: alignments/wu_2018_aa_loci/
0:03.75 1301392 526%
0:03.73 1301520 529%
0:03.74 1306080 525%
0:03.76 1306832 522%
0:03.72 1278688 528%
0:03.77 1278256 519%
0:03.75 1287792 525%
0:03.72 1305904 532%
0:03.77 1299536 521%
0:03.70 1293424 535%
Dataset path: alignments/shen_2018_loci_aa/
0:05.36 1450208 311%
0:05.22 1854176 317%
0:05.27 1748400 318%
0:05.12 1856016 324%
0:05.30 1813488 311%
0:05.28 1823600 311%
0:05.23 1813712 319%
0:05.26 1818320 315%
0:05.26 1799984 315%
0:05.19 1848768 321%

Benchmarking AMAS Check Aligned
Dataset path: alignments/wu_2018_aa_loci/
0:20.66 1289328 176%
0:20.55 1290896 177%
0:20.76 1298112 177%
0:21.81 1102624 172%
0:21.01 1280336 173%
0:21.17 1289088 174%
0:21.22 1273248 173%
0:20.72 1290608 175%
0:21.00 1289744 174%
0:21.10 1293136 174%
Dataset path: alignments/shen_2018_loci_aa/
6:41.72 1763488 102%
6:37.23 1228272 102%
6:38.62 1297472 102%
6:39.18 1364480 102%
6:39.76 1637376 102%
6:37.13 1865184 102%
6:40.83 1463568 102%
6:37.20 1433024 102%
6:38.84 1231328 102%
6:40.59 1558048 102%
