Darwin Kernel Version 20.1.0: Sat Oct 31 00:07:11 PDT 2020; root:xnu-7195.50.7~2/RELEASE_X86_64
segul 0.16.3
Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:19.89 575960 90%
0:20.90 576140 83%
0:21.99 576888 77%
0:21.31 576308 85%
0:21.47 575272 84%
0:19.79 575832 81%
0:23.38 575640 79%
0:24.30 576080 75%
0:25.06 575992 73%
0:23.07 544156 80%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:26.66 539320 79%
0:30.04 544632 77%
0:24.72 538592 85%
0:27.48 547912 80%
0:21.06 556564 92%
0:25.77 554172 81%
0:21.93 586772 91%
0:21.61 568132 85%
0:26.06 585804 82%
0:22.28 583620 86%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:20.69 453548 74%
0:20.77 463264 78%
0:20.90 468956 74%
0:19.01 462000 83%
0:17.67 459924 88%
0:16.76 448856 88%
0:18.75 450412 82%
0:21.19 459396 80%
0:19.53 467808 82%
0:16.22 463380 88%
Dataset path: alignments/chan_2020_loci/
0:20.35 366256 79%
0:18.53 361344 82%
0:17.22 349784 77%
0:17.92 363188 83%
0:24.09 353328 67%
0:16.38 361904 85%
0:15.88 367680 87%
0:19.37 337372 80%
0:17.82 327696 82%
0:20.43 348732 81%
Benchmarking SEGUL ignore datatype
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:14.83 558496 75%
0:11.16 508000 86%
0:13.28 559508 75%
0:09.97 522408 92%
0:12.95 520240 76%
0:12.45 471420 77%
0:12.13 549156 84%
0:09.61 563492 89%
0:11.73 557140 78%
0:14.65 576608 71%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:20.26 538704 85%
0:20.85 545432 83%
0:21.33 538020 82%
0:17.03 505624 93%
0:19.87 538052 82%
0:20.65 585384 76%
0:18.93 585500 82%
0:19.76 539464 81%
0:17.08 583940 86%
0:20.42 579320 78%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:12.03 468012 83%
0:10.94 442652 86%
0:10.95 447156 83%
0:11.52 462348 83%
0:13.65 466556 72%
0:11.36 463580 81%
0:11.52 463232 80%
0:10.53 462200 89%
0:08.60 462044 104%
0:11.19 462792 88%
Dataset path: alignments/chan_2020_loci/
0:16.30 366144 77%
0:13.73 356628 79%
0:15.15 365864 76%
0:13.06 367648 80%
0:08.71 368196 94%
0:07.77 365132 109%
0:13.39 341292 73%
0:14.96 365708 81%
0:10.92 367700 90%
0:10.03 361584 93%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:23.98 1464972 173%
0:19.52 1831776 195%
0:25.92 1412460 159%
0:21.44 1455076 187%
0:26.63 1410276 150%
0:22.45 1425336 179%
0:19.43 1510440 203%
0:20.40 1733172 190%
0:21.06 1754264 186%
0:20.81 1513060 193%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:37.69 1496076 176%
0:37.53 1505936 180%
0:33.91 1770676 193%
0:43.60 1508468 158%
0:37.56 1508440 181%
0:36.43 1754132 180%
0:41.94 1561588 160%
0:39.01 1385352 173%
0:42.55 1580668 161%
0:45.37 1532028 152%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:22.72 1400528 204%
0:24.98 1492720 188%
0:23.01 1792908 199%
0:25.19 1629440 184%
0:22.67 1715012 197%
0:24.29 1605980 192%
0:26.57 1380552 175%
0:19.48 1562908 229%
0:32.26 1115580 152%
0:23.17 1462904 199%
Dataset path: alignments/chan_2020_loci/
0:18.24 1346988 194%
0:19.52 1359368 183%
0:18.36 1086340 197%
0:18.88 1082284 191%
0:24.41 973428 154%
0:18.16 1165880 196%
0:16.30 1339892 216%
0:22.58 999788 169%
0:17.43 1334480 201%
0:17.95 955780 198%

Benchmarking AMAS Check Aligned
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:56.92 1252936 127%
0:58.77 1798740 128%
0:56.56 1345864 128%
0:56.18 1428020 127%
0:55.23 1331820 129%
0:52.91 1570056 139%
0:48.94 1568320 142%
0:45.67 1380272 146%
0:52.90 1125524 133%
0:58.54 1404780 120%
Dataset path: alignments/oliveros_2019_80p_trimmed
11:33.21 1436108 99%
10:25.62 1873644 102%
10:03.13 1228012 102%
9:50.43 1750876 104%
9:44.76 1867248 104%
9:38.76 1519764 105%
9:46.13 1860736 104%
9:49.13 1678016 104%
9:51.25 1608888 104%
9:11.08 1695192 105%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:28.45 1661180 192%
0:25.79 1863112 201%
0:29.64 1499236 183%
0:27.65 1736924 190%
0:25.94 1845252 201%
0:29.96 1714216 181%
0:25.95 1785432 202%
0:29.75 1716796 181%
0:26.91 1514004 197%
0:31.64 1476392 176%
Dataset path: alignments/chan_2020_loci/
0:31.71 1333748 164%
0:38.77 981372 140%
0:41.90 911620 134%
1:07:07 941700 1%
0:31.60 941140 159%
3:36:16 741704 0%
55:39.78 665824 1%
0:41.56 1135432 142%
0:44.07 987176 140%
0:35.42 1093000 154%
