Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:02.29 601652 147%
0:02.42 604932 159%
0:02.19 612520 153%
0:02.15 605120 153%
0:02.31 611720 149%
0:02.16 607036 151%
0:02.12 608652 156%
0:02.16 610872 155%
0:02.11 606672 156%
0:02.13 608132 152%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:03.55 656884 152%
0:03.43 658660 152%
0:03.48 659508 151%
0:03.57 659920 153%
0:03.47 655552 154%
0:03.45 654040 151%
0:03.49 656820 150%
0:03.46 655584 151%
0:03.47 656968 153%
0:03.46 655976 152%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:03.42 527552 137%
0:03.86 527748 139%
0:03.55 527184 139%
0:03.45 534116 141%
0:03.54 521032 137%
0:03.45 536892 138%
0:03.61 532336 136%
0:03.55 530356 138%
0:03.50 523968 142%
0:03.56 532364 135%
Benchmarking SEGUL ignore datatype
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:01.03 604216 225%
0:01.02 608704 209%
0:01.03 613124 220%
0:01.08 604632 210%
0:01.02 604464 217%
0:01.14 612984 219%
0:01.19 601828 208%
0:01.20 601092 208%
0:01.28 609192 206%
0:01.01 611832 224%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:01.59 658296 214%
0:01.60 657596 216%
0:01.57 663684 214%
0:01.54 657460 217%
0:01.60 657276 207%
0:01.59 658468 224%
0:01.60 656116 213%
0:01.55 658172 214%
0:01.59 661356 215%
0:01.61 660660 202%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:01.02 527256 235%
0:01.01 527748 228%
0:01.03 527784 242%
0:01.03 525440 247%
0:01.02 528284 233%
0:01.03 527760 226%
0:01.02 533780 234%
0:01.25 528460 228%
0:01.02 529568 233%
0:01.02 522588 229%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:01.64 2054920 816%
0:01.65 2055016 809%
0:01.74 2054712 772%
0:01.66 2052620 808%
0:01.65 2053956 818%
0:01.66 2052312 814%
0:01.64 2054664 828%
0:01.70 2055736 792%
0:01.63 2054920 824%
0:01.72 2055372 776%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:03.70 2318836 645%
0:03.72 2314836 634%
0:03.61 2318772 658%
0:03.69 2316856 637%
0:03.68 2316424 644%
0:03.68 2317360 651%
0:03.69 2314564 642%
0:03.72 2314532 630%
0:03.70 2316700 643%
0:03.69 2318276 643%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:01.57 1843932 1125%
0:01.53 1841856 1154%
0:01.61 1844656 1079%
0:01.61 1844844 1089%
0:01.59 1842908 1103%
0:01.56 1845548 1119%
0:01.62 1842276 1096%
0:01.58 1842892 1116%
0:01.62 1841880 1088%
0:01.57 1842120 1119%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:10.96 2057052 208%
0:10.94 2052644 206%
0:11.31 2053300 202%
0:11.15 2055160 205%
0:10.86 2055116 209%
0:11.21 2052548 204%
0:11.56 2053560 201%
0:11.00 2053172 205%
0:10.89 2057452 208%
0:15.91 2054280 174%
Dataset path: alignments/oliveros_2019_80p_trimmed
3:20.32 2314856 110%
3:26.73 2316652 109%
3:37.99 2316832 109%
3:14.31 2316764 110%
3:48.91 2314524 108%
3:15.61 2314428 110%
3:18.85 2314788 110%
3:19.57 2314624 110%
3:14.21 2314756 110%
3:37.70 2314688 109%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:05.43 1844220 392%
0:05.48 1842012 391%
0:05.55 1844804 390%
0:05.55 1842324 385%
0:05.66 1842284 385%
0:05.62 1841920 379%
0:05.67 1842492 380%
0:05.63 1844460 383%
0:05.57 1842404 388%
0:05.47 1842836 395%

Benchmarking Phyluce
Dataset path: alignments/esselstyn_2021_nexus_trimmed
3:28.41 2079776 100%
3:31.96 2036176 100%
3:31.50 2019404 100%
3:31.61 2037888 100%
3:29.48 2019416 100%
3:36.38 2056828 100%
3:33.62 2059972 100%
3:30.26 2034968 100%
3:30.82 2037664 100%
3:32.96 2038360 100%
Dataset path: alignments/oliveros_2019_80p_trimmed
4:15.43 2347904 100%
4:15.33 2329920 100%
4:16.19 2330804 100%
4:21.68 2327884 100%
4:20.75 2316164 100%
4:24.85 2327828 100%
4:24.16 2331892 100%
4:15.47 2334016 100%
4:17.34 2327940 100%
4:26.24 2329988 100%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
3:28.55 2303456 100%
3:28.74 2291532 100%
3:34.52 2337812 100%
3:36.77 2337808 100%
3:40.15 2295844 100%
3:28.92 2305232 100%
3:31.14 2307080 100%
3:32.45 2305504 100%
3:29.06 2313400 100%
3:34.43 2295432 100%
