CPU(s):                          24
On-line CPU(s) list:             0-23
Model name:                      AMD Ryzen 9 5900X 12-Core Processor
Thread(s) per core:              2
Core(s) per socket:              12
CPU(s) scaling MHz:              66%
NUMA node0 CPU(s):               0-23
6.3.7-1-default
segul 0.19.0
v0.3.5
Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:01.61 608992 168%
0:01.65 611480 166%
0:01.57 608468 171%
0:01.62 604296 167%
0:01.64 610228 167%
0:01.60 605368 168%
0:01.60 601640 169%
0:01.59 600676 170%
0:01.60 608152 169%
0:01.60 603976 168%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:02.79 653620 132%
0:02.58 654224 167%
0:02.55 650712 168%
0:02.56 650768 169%
0:02.56 654532 167%
0:02.60 655236 167%
0:02.54 652936 169%
0:02.48 650872 170%
0:02.54 654300 168%
0:02.61 654092 168%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:02.59 524932 121%
0:02.40 532632 154%
0:02.37 524992 153%
0:02.37 523488 154%
0:02.39 523820 154%
0:02.43 525488 152%
0:02.33 520164 156%
0:02.44 526932 152%
0:02.42 523168 153%
0:02.44 523924 152%
Dataset path: alignments/chan_2020_loci/
0:01.77 381108 138%
0:01.60 391684 182%
0:01.61 390000 181%
0:01.60 387516 182%
0:01.60 388368 184%
0:01.60 386548 183%
0:01.60 389676 183%
0:01.61 389680 183%
0:01.60 387748 184%
0:01.54 384908 186%
Benchmarking SEGUL ignore datatype
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:00.88 612296 224%
0:00.88 602540 226%
0:00.88 603088 226%
0:00.88 608704 225%
0:00.87 603648 227%
0:00.88 603176 225%
0:00.89 608252 224%
0:00.86 603812 228%
0:00.88 604948 225%
0:00.87 599704 227%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:01.30 648540 234%
0:01.27 651240 237%
0:01.29 651600 227%
0:01.30 649760 235%
0:01.30 656044 235%
0:01.29 657316 234%
0:01.26 652516 236%
0:01.29 653344 235%
0:01.25 651952 239%
0:01.29 649816 235%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:00.90 533964 244%
0:00.90 528852 244%
0:00.90 524812 242%
0:00.87 523780 247%
0:00.90 534856 242%
0:00.90 529864 243%
0:00.89 527660 245%
0:00.89 524168 242%
0:00.90 524760 243%
0:00.89 529192 243%
Dataset path: alignments/chan_2020_loci/
0:00.79 391344 271%
0:00.79 384780 269%
0:00.79 389544 273%
0:00.78 388348 267%
0:00.76 384588 273%
0:00.79 391724 269%
0:00.80 390424 271%
0:00.79 384952 266%
0:00.79 391212 269%
0:00.79 381320 268%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:01.41 2053496 790%
0:01.37 2055560 812%
0:01.43 2056660 770%
0:01.44 2055468 776%
0:01.42 2053540 795%
0:01.44 2053880 778%
0:01.45 2053536 775%
0:01.43 2051312 790%
0:01.45 2051484 773%
0:01.42 2051708 799%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:03.00 2312768 650%
0:03.10 2313112 627%
0:02.98 2314672 653%
0:03.09 2314968 630%
0:03.03 2313624 643%
0:03.08 2315232 631%
0:03.03 2313096 645%
0:03.00 2313280 650%
0:03.13 2313044 614%
0:03.12 2317608 632%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:01.39 1840504 1097%
0:01.40 1840516 1086%
0:01.40 1842860 1075%
0:01.39 1842296 1095%
0:01.38 1844272 1111%
0:01.39 1835336 1085%
0:01.40 1840984 1098%
0:01.40 1842776 1075%
0:01.38 1841268 1105%
0:01.39 1843020 1101%
Dataset path: alignments/chan_2020_loci/
0:01.46 1290884 744%
0:01.49 1290076 706%
0:01.44 1289944 730%
0:01.51 1292932 704%
0:01.48 1290460 711%
0:01.47 1290308 723%
0:01.50 1292864 708%
0:01.48 1290564 719%
0:01.48 1290212 722%
0:01.45 1292764 729%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:10.64 2053320 192%
0:10.71 2053856 192%
0:10.65 2054088 193%
0:10.41 2054796 195%
0:10.63 2052968 191%
0:10.66 2054280 192%
0:10.53 2053724 192%
0:10.64 2053872 192%
0:10.66 2051528 193%
0:10.70 2053732 193%
Dataset path: alignments/oliveros_2019_80p_trimmed
3:33.53 2315064 107%
3:32.07 2314404 107%
3:33.95 2313140 107%
3:29.41 2314652 107%
3:32.51 2317432 107%
3:34.92 2313496 107%
3:34.24 2313256 107%
3:33.49 2312988 107%
