Darwin Kernel Version 21.2.0: Sun Nov 28 20:29:10 PST 2021; root:xnu-8019.61.5~1/RELEASE_ARM64_T8101
segul 0.16.3
Benchmarking SEGUL
Dataset path: alignments/wu_2018_aa_loci/
0:02.60 382304 126%
0:02.60 382608 126%
0:02.60 385328 126%
0:02.59 380160 126%
0:02.60 378224 126%
0:02.60 413680 126%
0:02.60 383152 125%
0:02.60 386400 126%
0:02.60 381392 126%
0:02.61 381712 126%
Dataset path: alignments/shen_2018_loci_aa/
0:05.26 587408 113%
0:05.05 602208 122%
0:05.05 599792 122%
0:05.06 604784 122%
0:05.06 599712 122%
0:05.07 600640 122%
0:05.07 603616 122%
0:05.07 606160 121%
0:05.07 601488 121%
0:05.07 598400 122%
Benchmarking SEGUL ignore datatype
Dataset path: alignments/wu_2018_aa_loci/
0:00.82 378320 184%
0:00.82 383696 182%
0:00.83 379040 181%
0:00.82 378944 183%
0:00.82 381712 182%
0:00.83 382656 181%
0:00.85 384000 177%
0:00.84 381008 180%
0:00.82 383424 182%
0:00.81 377424 184%
Dataset path: alignments/shen_2018_loci_aa/
0:01.33 605488 184%
0:01.35 602480 184%
0:01.33 602368 183%
0:01.33 599200 185%
0:01.33 601552 184%
0:01.35 643856 182%
0:01.33 599536 184%
0:01.34 602000 182%
0:01.33 604992 184%
0:01.33 602384 182%

Benchmarking AMAS
Dataset path: alignments/wu_2018_aa_loci/
0:03.68 1279664 538%
0:03.68 1293360 538%
0:03.67 1294512 539%
0:03.64 1303216 547%
0:03.63 1278720 547%
0:03.68 1292816 536%
0:03.67 1293024 539%
0:03.63 1282896 545%
0:03.66 1278016 540%
0:03.70 1293072 532%
Dataset path: alignments/shen_2018_loci_aa/
0:05.44 1556320 306%
0:05.08 1868320 325%
0:05.04 1860480 326%
0:05.12 1847840 324%
0:05.42 1847280 298%
0:05.38 1867936 299%
0:05.33 1858224 307%
0:05.22 1862144 319%
0:05.30 1815456 315%
0:05.27 1850816 315%

Benchmarking AMAS Check Aligned
Dataset path: alignments/wu_2018_aa_loci/
0:21.05 1280528 175%
0:20.76 1289952 177%
0:21.07 1299184 176%
0:20.82 1282336 177%
0:20.94 1306080 177%
0:20.61 1297856 178%
0:21.09 1290096 176%
0:20.65 1288512 178%
0:20.78 1297936 178%
0:20.66 1315792 178%
Dataset path: alignments/shen_2018_loci_aa/
6:39.38 1867440 102%
6:44.58 1854784 102%
6:43.61 1806800 102%
6:44.85 1864032 102%
6:48.05 1862784 102%
6:45.89 1881104 102%
6:39.03 1753056 102%
6:45.69 1808256 102%
6:40.86 1729424 102%
6:38.39 1872032 102%
