CPU(s):                          24
On-line CPU(s) list:             0-23
Model name:                      AMD Ryzen 9 3900X 12-Core Processor
Thread(s) per core:              2
Core(s) per socket:              12
NUMA node0 CPU(s):               0-23
5.16.11-1-default
segul 0.16.3
Benchmarking SEGUL
Dataset path: alignments/wu_2018_aa_loci/
0:02.96 352408 132%
0:02.95 353740 134%
0:02.95 354344 135%
0:02.96 355864 135%
0:02.92 356668 136%
0:02.97 350488 134%
0:02.96 350552 133%
0:02.96 352316 134%
0:02.97 350336 133%
0:02.96 358800 134%
Dataset path: alignments/shen_2018_loci_aa/
0:05.54 606732 128%
0:05.75 602908 124%
0:05.58 604956 127%
0:05.53 619344 128%
0:05.53 606836 127%
0:05.51 601208 128%
0:05.50 605812 129%
0:05.53 610072 127%
0:05.57 599132 128%
0:05.53 607348 128%
Benchmarking SEGUL ignore datatype
Dataset path: alignments/wu_2018_aa_loci/
0:00.79 354596 230%
0:00.81 354152 233%
0:00.80 355880 227%
0:00.79 356528 227%
0:00.79 349872 243%
0:00.80 352728 223%
0:00.79 352976 224%
0:00.79 356144 231%
0:00.79 350432 229%
0:00.81 353516 223%
Dataset path: alignments/shen_2018_loci_aa/
0:01.35 609120 214%
0:01.33 607996 220%
0:01.32 617968 215%
0:01.33 611036 216%
0:01.37 609776 213%
0:01.34 612988 214%
0:01.33 607148 219%
0:01.35 611172 214%
0:01.34 603612 218%
0:01.37 614668 212%

Benchmarking AMAS
Dataset path: alignments/wu_2018_aa_loci/
0:02.00 1170876 994%
0:01.96 1170664 1012%
0:01.91 1172728 1031%
0:02.04 1170460 973%
0:02.00 1170356 994%
0:01.92 1171220 1035%
0:01.99 1171232 998%
0:02.00 1170776 983%
0:01.93 1172440 1026%
0:02.04 1172780 969%
Dataset path: alignments/shen_2018_loci_aa/
0:03.81 1774936 445%
0:03.74 1782192 457%
0:03.76 1775456 440%
0:03.82 1774028 444%
0:03.81 1783232 444%
0:03.81 1779240 443%
0:03.72 1772840 467%
0:03.69 1784180 465%
0:03.65 1773440 453%
0:03.72 1785196 451%

Benchmarking AMAS
Dataset path: alignments/wu_2018_aa_loci/
0:22.89 1171100 178%
0:23.16 1170588 178%
0:22.29 1170552 180%
0:22.45 1170472 180%
0:23.01 1173140 176%
0:23.57 1172936 175%
0:23.44 1171448 176%
0:35.47 1172480 150%
0:23.34 1172956 176%
0:23.69 1170308 175%
Dataset path: alignments/shen_2018_loci_aa/
7:58.07 1776340 102%
7:49.85 1786448 102%
8:20.11 1782956 102%
7:57.73 1775068 102%
7:56.57 1786072 102%
7:57.68 1785292 102%
8:09.86 1779292 102%
7:59.79 1774208 102%
8:07.64 1784216 102%
7:53.82 1784120 102%
