Apps,Version,Pubs,Datasets,ntax,alignment_counts,site_counts,Datatype,Analyses,Platform,OS_name,CPU,Benchmark_dates,Latest_bench,Execution_time,RAM_usage_kb,percent_CPU_usage,execution_time_secs,RAM_usage_Mb
SEGUL,v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.65,637424,118,03.650,622.484375
SEGUL,v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.64,633056,118,03.640,618.21875
SEGUL,v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.60,657120,120,03.600,641.71875
SEGUL,v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.60,631040,120,03.600,616.25
SEGUL,v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.60,636768,120,03.600,621.84375
SEGUL,v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.62,631504,119,03.620,616.703125
SEGUL,v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.60,636896,120,03.600,621.96875
SEGUL,v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.62,680848,119,03.620,664.890625
SEGUL,v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.60,633520,120,03.600,618.671875
SEGUL,v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.60,631216,120,03.600,616.421875
