Analyses,Datasets,OS_name,Apps,Execution_time_secs,RAM_usage_Mb,CPU_usage
Alignment concatenation,Chan et al. 2020 (DNA),Linux,AMAS,1.686,1293.0872,726.6
Alignment concatenation,Chan et al. 2020 (DNA),Linux,AMAS (--check-align),10.68,1290.7516,199.6
Alignment concatenation,Chan et al. 2020 (DNA),Linux,goalign (nt),5.149,1936.5916,105.2
Alignment concatenation,Chan et al. 2020 (DNA),Linux,goalign (st),4.288,1766.1216,100
Alignment concatenation,Chan et al. 2020 (DNA),Linux,SEGUL,1.912,387.4512,203.7
Alignment concatenation,Chan et al. 2020 (DNA),Linux,SEGUL (--datatype ignore),0.955,387.7552,323.3
Alignment concatenation,Chan et al. 2020 (DNA),macOS,AMAS,2.785,1413.8672,434.3
Alignment concatenation,Chan et al. 2020 (DNA),macOS,AMAS (--check-align),8.466000000000001,1423.8159999999998,210.8
Alignment concatenation,Chan et al. 2020 (DNA),macOS,SEGUL,2.137,397.76,145.4
Alignment concatenation,Chan et al. 2020 (DNA),macOS,SEGUL (--datatype ignore),1.137,421.6112,185.8
Alignment concatenation,Chan et al. 2020 (DNA),macOS (Mb Air),AMAS,12.669,1345.6736,255
Alignment concatenation,Chan et al. 2020 (DNA),macOS (Mb Air),AMAS (--check-align),30.369,1343.9916,166.1
Alignment concatenation,Chan et al. 2020 (DNA),macOS (Mb Air),SEGUL,7.688,365.5032,124.7
Alignment concatenation,Chan et al. 2020 (DNA),macOS (Mb Air),SEGUL (--datatype ignore),5.286,366.226,134.9
Alignment concatenation,Chan et al. 2020 (DNA),Windows (WSL),AMAS,10.871,1291.5031999999999,206.5
Alignment concatenation,Chan et al. 2020 (DNA),Windows (WSL),AMAS (--check-align),21.508,1292.6512,153.6
Alignment concatenation,Chan et al. 2020 (DNA),Windows (WSL),SEGUL,3.955,384.8708,233.1
Alignment concatenation,Chan et al. 2020 (DNA),Windows (WSL),SEGUL (--datatype ignore),3.233,386.3812,256.6
Alignment concatenation,Esselstyn et al. 2021 (DNA),Linux,AMAS,1.615,2054.4096,821.7
Alignment concatenation,Esselstyn et al. 2021 (DNA),Linux,AMAS (--check-align),11.125,2054.1911999999998,204.7
Alignment concatenation,Esselstyn et al. 2021 (DNA),Linux,goalign (nt),6.743,3128.7383999999997,104
Alignment concatenation,Esselstyn et al. 2021 (DNA),Linux,goalign (st),5.941,3228.1632,100
Alignment concatenation,Esselstyn et al. 2021 (DNA),Linux,SEGUL,3.762,607.8484,131.6
Alignment concatenation,Esselstyn et al. 2021 (DNA),Linux,SEGUL (--datatype ignore),1.0150000000000001,608.9584,217.1
Alignment concatenation,Esselstyn et al. 2021 (DNA),macOS,AMAS,3.139,2012.2624,431.8
Alignment concatenation,Esselstyn et al. 2021 (DNA),macOS,AMAS (--check-align),10.872,2001.264,195.1
Alignment concatenation,Esselstyn et al. 2021 (DNA),macOS,SEGUL,3.452,642.56,122.4
Alignment concatenation,Esselstyn et al. 2021 (DNA),macOS,SEGUL (--datatype ignore),1.087,631.568,170.2
Alignment concatenation,Esselstyn et al. 2021 (DNA),macOS (Mb Air),AMAS,16.434,1806.2072,230.7
Alignment concatenation,Esselstyn et al. 2021 (DNA),macOS (Mb Air),AMAS (--check-align),39.859,1812.3396,153.9
Alignment concatenation,Esselstyn et al. 2021 (DNA),macOS (Mb Air),SEGUL,11.945,570.698,104.6
Alignment concatenation,Esselstyn et al. 2021 (DNA),macOS (Mb Air),SEGUL (--datatype ignore),5.916,575.7171999999999,111.5
Alignment concatenation,Esselstyn et al. 2021 (DNA),Windows (WSL),AMAS,27.088,2060.6983999999998,138.3
Alignment concatenation,Esselstyn et al. 2021 (DNA),Windows (WSL),AMAS (--check-align),39.218,2123.7992,124.5
Alignment concatenation,Esselstyn et al. 2021 (DNA),Windows (WSL),SEGUL,5.253,604.6524,154.5
Alignment concatenation,Esselstyn et al. 2021 (DNA),Windows (WSL),SEGUL (--datatype ignore),2.749,605.0412,201.4
Alignment concatenation,Jarvis et al. 2014 (DNA),Linux,AMAS,1.5790000000000002,1842.6907999999999,1100.9
Alignment concatenation,Jarvis et al. 2014 (DNA),Linux,AMAS (--check-align),5.613,1841.5244,381.5
Alignment concatenation,Jarvis et al. 2014 (DNA),Linux,goalign (nt),7.27,2531.344,104.9
Alignment concatenation,Jarvis et al. 2014 (DNA),Linux,goalign (st),6.325,2626.3148,100
Alignment concatenation,Jarvis et al. 2014 (DNA),Linux,SEGUL,2.884,529.0444,145
Alignment concatenation,Jarvis et al. 2014 (DNA),Linux,SEGUL (--datatype ignore),1.013,528.9208,237.7
Alignment concatenation,Jarvis et al. 2014 (DNA),macOS,AMAS,3.214,1971.1904,521.7
Alignment concatenation,Jarvis et al. 2014 (DNA),macOS,AMAS (--check-align),5.986,1956.696,326.3
Alignment concatenation,Jarvis et al. 2014 (DNA),macOS,SEGUL,3.135,596.3504,126.7
Alignment concatenation,Jarvis et al. 2014 (DNA),macOS,SEGUL (--datatype ignore),1.102,600.6144,177.7
Alignment concatenation,Jarvis et al. 2014 (DNA),macOS (Mb Air),AMAS,17.112,1840.904,257.2
Alignment concatenation,Jarvis et al. 2014 (DNA),macOS (Mb Air),AMAS (--check-align),26.985,1765.8955999999998,197
Alignment concatenation,Jarvis et al. 2014 (DNA),macOS (Mb Air),SEGUL,10.744,465.144,111.5
Alignment concatenation,Jarvis et al. 2014 (DNA),macOS (Mb Air),SEGUL (--datatype ignore),5.563,463.0824,125.1
Alignment concatenation,Jarvis et al. 2014 (DNA),Windows (WSL),AMAS,21.433,1844.3064,173.8
Alignment concatenation,Jarvis et al. 2014 (DNA),Windows (WSL),AMAS (--check-align),28.777,1846.6884,151.6
Alignment concatenation,Jarvis et al. 2014 (DNA),Windows (WSL),SEGUL,4.15,490.5788,171.7
Alignment concatenation,Jarvis et al. 2014 (DNA),Windows (WSL),SEGUL (--datatype ignore),2.7960000000000003,493.95,213.7
Alignment concatenation,Oliveros et al. 2019 (DNA),Linux,AMAS,3.649,2317.1904,639.4
Alignment concatenation,Oliveros et al. 2019 (DNA),Linux,AMAS (--check-align),207.211,2317.5112,109.2
Alignment concatenation,Oliveros et al. 2019 (DNA),Linux,goalign (nt),10.027,3097.1308,104.7
Alignment concatenation,Oliveros et al. 2019 (DNA),Linux,goalign (st),8.935,3063.048,100
Alignment concatenation,Oliveros et al. 2019 (DNA),Linux,SEGUL,3.045,658.754,159.4
Alignment concatenation,Oliveros et al. 2019 (DNA),Linux,SEGUL (--datatype ignore),1.573,660.2103999999999,220.8
Alignment concatenation,Oliveros et al. 2019 (DNA),macOS,AMAS,6.179,2249.7744000000002,388.9
Alignment concatenation,Oliveros et al. 2019 (DNA),macOS,AMAS (--check-align),164.803,2058.4272,110
Alignment concatenation,Oliveros et al. 2019 (DNA),macOS,SEGUL,3.227,697.1759999999999,138
Alignment concatenation,Oliveros et al. 2019 (DNA),macOS,SEGUL (--datatype ignore),1.654,698.7744,174.2
Alignment concatenation,Oliveros et al. 2019 (DNA),macOS (Mb Air),AMAS,29.352,1992.4264,218.8
Alignment concatenation,Oliveros et al. 2019 (DNA),macOS (Mb Air),AMAS (--check-align),480.25,1580.896,106.3
Alignment concatenation,Oliveros et al. 2019 (DNA),macOS (Mb Air),SEGUL,12.497,588.6548,118.7
Alignment concatenation,Oliveros et al. 2019 (DNA),macOS (Mb Air),SEGUL (--datatype ignore),9.111,589.4284,124.7
Alignment concatenation,Oliveros et al. 2019 (DNA),Windows (WSL),AMAS,28.304,2475.2164,159
Alignment concatenation,Oliveros et al. 2019 (DNA),Windows (WSL),AMAS (--check-align),237.326,2482.5232,106.4
Alignment concatenation,Oliveros et al. 2019 (DNA),Windows (WSL),SEGUL,4.385,656.3679999999999,170.2
