Analyses,OS_name,Apps,Execution_time_secs,RAM_usage_Mb,CPU_usage
Alignment concatenation,Linux,AMAS,2.3768333333333334,1742.8675333333333,790.1666666666667
Alignment concatenation,Linux,AMAS (--check-align),123.34533333333333,1742.8296,195.23333333333332
Alignment concatenation,Linux,goalign (nt),7.29725,2673.4512,104.7
Alignment concatenation,Linux,goalign (st),6.37225,2670.9119,100
Alignment concatenation,Linux,SEGUL,3.3526666666666665,523.8474,150.18333333333334
Alignment concatenation,Linux,SEGUL (--datatype ignore),1.1158333333333335,525.0126,240.5666666666667
Alignment concatenation,macOS,AMAS,4.040166666666667,1793.2509333333333,438.3666666666667
Alignment concatenation,macOS,AMAS (--check-align),102.33383333333335,1760.8336,186.86666666666665
Alignment concatenation,macOS,SEGUL,3.2723333333333335,553.2938666666666,129.88333333333333
Alignment concatenation,macOS,SEGUL (--datatype ignore),1.1901666666666668,556.6626666666666,178.81666666666666
Alignment concatenation,macOS (Mb Air),AMAS,19.879166666666666,1653.8924,244.23333333333332
Alignment concatenation,macOS (Mb Air),AMAS (--check-align),298.6846666666667,1519.6869333333332,146.4333333333333
Alignment concatenation,macOS (Mb Air),SEGUL,11.530666666666667,461.8091333333333,113.2
Alignment concatenation,macOS (Mb Air),SEGUL (--datatype ignore),6.194166666666667,461.92,126.11666666666666
Alignment concatenation,Windows (WSL),AMAS,16.214833333333335,1770.0540666666666,280.41666666666663
Alignment concatenation,Windows (WSL),AMAS (--check-align),140.7185,1782.8513333333333,136.88333333333333
Alignment concatenation,Windows (WSL),SEGUL,4.715333333333334,544.1904666666667,170.36666666666667
Alignment concatenation,Windows (WSL),SEGUL (--datatype ignore),2.7748333333333335,545.3075333333334,214.06666666666666
Summary statistics,Linux,AMAS,52.08716666666667,1412.4964666666667,414.1166666666667
Summary statistics,Linux,SEGUL,0.8635,91.32613333333333,1951.2333333333333
Summary statistics,macOS,AMAS,58.26683333333333,1062.6016,372.45
Summary statistics,macOS,SEGUL,1.9843333333333333,94.77013333333333,726.8333333333334
Summary statistics,macOS (Mb Air),AMAS,411.25916666666666,2280.869,93.01666666666667
Summary statistics,macOS (Mb Air),SEGUL,15.740333333333334,68.78726666666667,286.93333333333334
Summary statistics,Windows (WSL),AMAS,136.955,7000.540933333334,99.6
Summary statistics,Windows (WSL),SEGUL,1.1773333333333333,90.2332,1679.3666666666666
