CPU(s):                          24
On-line CPU(s) list:             0-23
Model name:                      AMD Ryzen 9 3900X 12-Core Processor
Thread(s) per core:              2
Core(s) per socket:              12
NUMA node0 CPU(s):               0-23
5.16.11-1-default
segul 0.18.1
Benchmarking SEGUL
Dataset path: alignments/wu_2018_aa_loci/
0:02.61 350760 131%
0:02.66 352360 134%
0:02.59 355428 138%
0:02.56 352308 135%
0:02.57 354716 134%
0:02.57 350784 133%
0:02.60 352276 133%
0:02.58 351416 142%
0:02.66 355572 134%
0:02.57 352484 138%
Dataset path: alignments/shen_2018_loci_aa/
0:05.19 609420 118%
0:05.14 607780 125%
0:05.05 602108 128%
0:05.07 608740 128%
0:05.20 598572 129%
0:05.09 597400 128%
0:05.06 599556 128%
0:05.05 610356 128%
0:05.22 602628 127%
0:05.14 605696 127%
Benchmarking SEGUL ignore datatype
Dataset path: alignments/wu_2018_aa_loci/
0:00.73 354096 233%
0:00.73 353612 222%
0:00.74 351432 224%
0:00.73 352008 219%
0:00.73 348000 223%
0:00.74 347292 237%
0:00.74 355516 218%
0:00.73 347936 244%
0:00.72 353436 226%
0:00.73 352296 236%
Dataset path: alignments/shen_2018_loci_aa/
0:01.20 605532 218%
0:01.20 601092 226%
0:01.22 601260 218%
0:01.19 611228 219%
0:01.20 599444 217%
0:01.19 607036 219%
0:01.21 606160 227%
0:01.20 595452 217%
0:01.22 594836 217%
0:01.21 600412 221%

Benchmarking AMAS
Dataset path: alignments/wu_2018_aa_loci/
0:01.95 1170576 1017%
0:01.93 1173096 1023%
0:01.94 1170480 1013%
0:01.93 1171328 1024%
0:02.01 1171080 989%
0:01.98 1170560 995%
0:01.95 1170340 1007%
0:01.99 1171244 984%
0:01.94 1172996 1021%
0:02.00 1170472 990%
Dataset path: alignments/shen_2018_loci_aa/
0:03.77 1784268 442%
0:03.61 1784384 461%
0:03.66 1783884 461%
0:03.69 1784820 463%
0:03.63 1783224 462%
0:03.69 1787956 452%
0:03.67 1783328 457%
0:03.68 1783144 455%
0:03.66 1773096 458%
0:03.71 1782652 453%

Benchmarking AMAS
Dataset path: alignments/wu_2018_aa_loci/
0:23.20 1170592 177%
0:23.62 1171040 175%
0:23.45 1170276 176%
0:22.86 1172832 178%
0:22.56 1171264 178%
0:22.55 1170200 179%
0:22.65 1172880 178%
0:22.82 1170548 178%
0:22.60 1171472 179%
0:22.50 1170628 179%
Dataset path: alignments/shen_2018_loci_aa/
7:48.54 1778796 102%
7:51.25 1778028 102%
7:49.85 1781248 102%
13:52.44 1778520 101%
7:55.12 1779300 102%
7:58.14 1779684 102%
8:02.88 1779112 102%
7:52.63 1777284 102%
7:50.25 1779348 102%
8:19.57 1778160 102%
