CPU(s):                             24
On-line CPU(s) list:                0-23
Model name:                         AMD Ryzen 9 5900X 12-Core Processor
Thread(s) per core:                 2
Core(s) per socket:                 12
CPU(s) scaling MHz:                 60%
NUMA node0 CPU(s):                  0-23
6.6.11-1-default
segul 0.20.0
v0.3.5
Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_fasta
0:02.45 586992 112%
0:02.44 582656 113%
0:02.49 588128 112%
0:02.57 588828 112%
0:02.41 589076 111%
Dataset path: alignments/oliveros_2019_fasta
0:01.89 619648 130%
0:01.89 624320 134%
0:01.89 622216 131%
0:01.90 622280 132%
0:01.89 623768 133%
Dataset path: alignments/jarvis_2014_fasta
0:01.76 507636 116%
0:01.72 511112 116%
0:01.71 505136 115%
0:01.71 507180 115%
0:01.78 507712 116%
Dataset path: alignments/chan_2020_fasta/
0:01.22 387096 141%
0:01.23 380632 134%
0:01.22 379572 133%
0:01.23 384352 140%
0:01.22 386676 142%
Benchmarking SEGUL ignore datatype
Dataset path: alignments/esselstyn_2021_fasta
0:00.61 586700 143%
0:00.60 585376 151%
0:00.61 584552 154%
0:00.61 584724 151%
0:00.61 583108 145%
Dataset path: alignments/oliveros_2019_fasta
0:00.85 618736 165%
0:00.84 621352 167%
0:00.84 621116 168%
0:00.84 618840 169%
0:00.82 622216 171%
Dataset path: alignments/jarvis_2014_fasta
0:00.48 506052 150%
0:00.48 507224 150%
0:00.49 506456 161%
0:00.48 506820 153%
0:00.49 508044 146%
Dataset path: alignments/chan_2020_fasta/
0:00.57 386184 179%
0:00.57 384264 177%
0:00.58 380980 181%
0:00.57 383184 174%
0:00.57 386916 178%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_fasta
0:01.60 2052612 330%
0:01.54 2054600 349%
0:01.53 2052708 353%
0:01.50 2052500 365%
0:01.49 2054608 367%
0:01.48 2056132 360%
0:01.56 2053884 344%
0:01.49 2053260 363%
0:01.56 2055624 346%
0:01.59 2052120 335%
Dataset path: alignments/oliveros_2019_fasta
0:03.34 2316176 316%
0:03.29 2315864 325%
0:03.25 2316200 326%
0:03.27 2316304 318%
0:03.26 2318576 321%
0:03.27 2316272 318%
0:03.24 2316312 328%
0:03.32 2316076 324%
0:03.36 2318660 326%
0:03.28 2316152 327%
Dataset path: alignments/jarvis_2014_fasta
0:01.26 1842628 637%
0:01.28 1841888 618%
0:01.25 1841032 628%
0:01.28 1840924 619%
0:01.36 1841180 585%
0:01.35 1841568 596%
0:01.34 1841600 587%
0:01.23 1840712 643%
0:01.31 1844688 604%
0:01.32 1841924 596%
Dataset path: alignments/chan_2020_fasta/
0:01.61 1289964 386%
0:01.65 1291908 379%
0:01.60 1290716 392%
0:01.62 1290460 376%
0:01.61 1290360 388%
0:01.61 1292556 379%
0:01.64 1290692 382%
0:01.60 1290504 386%
0:01.66 1289092 369%
0:01.58 1290496 386%

Benchmarking AMAS check align
Dataset path: alignments/esselstyn_2021_fasta
0:10.62 2054316 136%
0:10.45 2053048 137%
0:10.56 2052468 135%
0:10.52 2052356 136%
0:10.43 2052284 137%
Dataset path: alignments/oliveros_2019_fasta
3:36.58 2315948 103%
3:36.76 2313764 103%
3:37.57 2313572 103%
3:37.60 2313560 103%
3:39.83 2313184 103%
Dataset path: alignments/jarvis_2014_fasta
0:04.91 1841352 237%
0:04.95 1841440 229%
0:04.96 1842688 230%
0:04.96 1840924 231%
0:04.98 1841576 238%
Dataset path: alignments/chan_2020_fasta/
0:09.31 1293180 149%
0:09.27 1292412 149%
0:09.27 1290440 149%
0:09.41 1291876 149%
0:08.86 1290244 151%

Benchmarking goalign (multi-core)

Dataset path: alignments/esselstyn_2021_fasta
0:06.20 3810072 103%
0:06.27 3360268 104%
0:06.23 3294020 104%
0:06.27 3338016 104%
0:06.35 3279184 104%

Dataset path: alignments/oliveros_2019_fasta
0:08.56 3361756 103%
0:08.62 3967364 103%
0:08.73 3294068 103%
0:08.76 3840700 103%
0:08.67 3358408 103%

Dataset path: alignments/jarvis_2014_fasta
0:07.28 2903144 102%
0:07.29 2652132 103%
0:07.35 2969180 102%
0:07.39 2730548 102%
0:07.31 2641552 103%

Dataset path: alignments/chan_2020_fasta/
0:04.63 1813528 104%
0:04.88 2190216 103%
0:04.92 2192576 103%
0:04.81 2172872 103%
0:04.66 2170240 103%

Benchmarking goalign (single-core)

Dataset path: alignments/esselstyn_2021_fasta
0:05.85 3926032 100%
0:06.06 3398116 100%
0:05.80 3394020 100%
0:05.96 3370368 100%
0:05.90 3398292 100%

Dataset path: alignments/oliveros_2019_fasta
0:08.04 4033132 100%
0:08.14 3870808 100%
0:08.04 3930056 100%
0:08.16 3940584 100%
0:08.04 3864168 100%

Dataset path: alignments/jarvis_2014_fasta
0:06.68 2575856 100%
0:06.94 3040128 100%
0:06.87 3063088 100%
0:06.75 2419492 100%
0:06.95 2616904 100%

Dataset path: alignments/chan_2020_fasta/
0:04.46 2203476 100%
0:04.47 1849828 100%
0:04.45 1917676 100%
0:04.45 1894852 100%
0:04.38 2118100 100%
