CPU(s):                             24
On-line CPU(s) list:                0-23
Model name:                         AMD Ryzen 9 5900X 12-Core Processor
Thread(s) per core:                 2
Core(s) per socket:                 12
CPU(s) scaling MHz:                 57%
NUMA node0 CPU(s):                  0-23
6.6.11-1-default
segul 0.20.0
v0.3.5
Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_phylip
0:02.95 586984 135%
0:02.90 584148 139%
0:02.97 587120 138%
0:02.94 588880 137%
0:03.01 586436 137%
Dataset path: alignments/oliveros_2019_phylip
0:02.50 620340 172%
0:02.45 622604 168%
0:02.50 622732 168%
0:02.55 622096 169%
0:02.50 622316 168%
Dataset path: alignments/jarvis_2014_phylip
0:02.26 507748 158%
0:02.27 509304 157%
0:02.23 508660 157%
0:02.26 508432 158%
0:02.22 506176 158%
Dataset path: alignments/chan_2020_phylip/
0:01.51 384800 171%
0:01.50 387568 162%
0:01.49 383416 162%
0:01.50 381548 161%
0:01.47 386836 164%
Benchmarking SEGUL ignore datatype
Dataset path: alignments/esselstyn_2021_phylip
0:01.02 587560 209%
0:01.02 584696 208%
0:01.02 584516 207%
0:01.03 584660 211%
0:01.02 587388 206%
Dataset path: alignments/oliveros_2019_phylip
0:01.46 621964 218%
0:01.44 620492 218%
0:01.49 622520 216%
0:01.48 621424 219%
0:01.43 624284 217%
Dataset path: alignments/jarvis_2014_phylip
0:01.01 507760 221%
0:01.02 507444 221%
0:01.04 507848 223%
0:00.99 504656 228%
0:00.99 509112 227%
Dataset path: alignments/chan_2020_phylip/
0:00.85 378604 211%
0:00.87 380212 201%
0:00.86 387572 210%
0:00.85 386924 210%
0:00.84 380964 208%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_phylip
0:01.53 2052440 394%
0:01.56 2054452 377%
0:01.50 2053772 395%
0:01.60 2051652 376%
0:01.48 2052648 412%
0:01.48 2052100 401%
0:01.53 2054268 395%
0:01.50 2052132 392%
0:01.55 2053112 388%
0:01.53 2052788 395%
Dataset path: alignments/oliveros_2019_phylip
0:03.27 2313880 343%
0:03.23 2313760 357%
0:03.27 2313652 352%
0:03.20 2314192 360%
0:03.23 2314028 356%
0:03.27 2313392 350%
0:03.22 2316200 344%
0:03.21 2313832 362%
0:03.22 2314048 362%
0:03.21 2313492 354%
Dataset path: alignments/jarvis_2014_phylip
0:01.27 1840988 704%
0:01.23 1841672 728%
0:01.39 1840968 627%
0:01.38 1841860 650%
0:01.39 1843740 654%
0:01.40 1840156 643%
0:01.38 1843096 647%
0:01.41 1840592 632%
0:01.42 1840004 630%
0:01.31 1840488 675%
Dataset path: alignments/chan_2020_phylip/
0:01.63 1291120 417%
0:01.72 1293084 396%
0:01.62 1292844 422%
0:01.71 1291128 389%
0:01.71 1291576 390%
0:01.71 1295544 410%
0:01.66 1292108 408%
0:01.71 1291124 404%
0:01.59 1293060 418%
0:01.65 1292760 412%

Benchmarking AMAS check align
Dataset path: alignments/esselstyn_2021_phylip
0:11.08 2054484 139%
0:10.56 2051780 142%
0:10.07 2053344 144%
0:10.55 2053152 142%
0:10.23 2052796 144%
Dataset path: alignments/oliveros_2019_phylip
3:35.87 2314776 103%
3:28.56 2313888 104%
3:31.40 2313084 103%
3:36.43 2316120 103%
3:36.55 2313596 103%
Dataset path: alignments/jarvis_2014_phylip
0:04.78 1841104 256%
0:04.91 1842476 251%
0:04.94 1843060 251%
0:04.67 1841148 262%
0:04.79 1841284 259%
Dataset path: alignments/chan_2020_phylip/
0:09.00 1291828 156%
0:09.40 1291764 154%
0:09.25 1291584 154%
0:09.11 1292088 157%
0:08.95 1290268 157%

Benchmarking goalign (multi-core)

Dataset path: alignments/esselstyn_2021_phylip
0:07.41 3544072 104%
0:07.58 3572268 104%
0:07.92 4158548 103%
0:07.44 3532520 104%
0:07.33 4211644 103%

Dataset path: alignments/oliveros_2019_phylip
0:09.79 3546952 104%
0:09.85 4119432 103%
0:09.71 4094268 103%
0:09.72 3540360 104%
0:09.89 3491044 104%

Dataset path: alignments/jarvis_2014_phylip
0:08.16 2593560 103%
0:08.34 3185472 103%
0:08.33 2448980 103%
0:08.32 2612300 104%
0:08.25 2614356 103%

Dataset path: alignments/chan_2020_phylip/
0:05.56 2036952 106%
0:05.54 2302916 105%
0:05.58 2347836 105%
0:05.57 1964624 106%
0:05.57 2038532 106%

Benchmarking goalign (single-core)

Dataset path: alignments/esselstyn_2021_phylip
0:06.97 4231168 100%
0:06.97 3594104 100%
0:07.14 4275732 100%
0:07.13 4246124 100%
0:06.92 4263084 100%

Dataset path: alignments/oliveros_2019_phylip
0:09.21 3566012 100%
0:09.23 3540692 100%
0:09.32 3544836 100%
0:09.29 3559612 100%
0:09.23 3559872 100%

Dataset path: alignments/jarvis_2014_phylip
0:07.87 3244884 100%
0:07.72 2712232 100%
0:07.83 2779876 100%
0:07.78 3221820 100%
0:07.75 3219476 100%

Dataset path: alignments/chan_2020_phylip/
0:04.87 2072944 100%
0:05.08 2033020 100%
0:05.10 2355596 100%
0:04.92 2054064 100%
0:05.07 2056340 100%
