Benchmarking SEGUL
Dataset path: chan2020.phy
0:01.72 322892 161%
0:01.73 322712 159%
0:01.68 323428 160%
0:01.75 323548 161%
0:01.77 322816 157%
Dataset path: esselstyn2021.phy
0:03.24 559628 132%
0:03.22 559444 133%
0:03.00 557744 137%
0:03.11 559988 136%
0:03.12 557456 137%
Dataset path: jarvis2014.phy
0:02.82 467604 139%
0:02.66 465632 146%
0:02.73 463560 145%
0:02.64 464788 146%
0:02.67 466532 145%
Dataset path: oliveros2019.phy
0:03.49 550768 142%
0:03.37 552908 149%
0:03.46 553028 145%
0:03.35 552176 148%
0:03.55 551956 140%

Benchmarking SEGUL ignore datatype
Dataset path: chan2020.phy
0:00.77 324664 230%
0:01.03 326312 188%
0:00.78 323512 252%
0:00.78 324380 230%
0:00.76 321356 247%
Dataset path: esselstyn2021.phy
0:01.17 555728 192%
0:01.06 557556 206%
0:01.02 557804 214%
0:00.99 558124 219%
0:01.06 559620 211%
Dataset path: jarvis2014.phy
0:01.07 466412 194%
0:00.87 466172 240%
0:00.87 466908 239%
0:00.87 466916 236%
0:00.88 466048 244%
Dataset path: oliveros2019.phy
0:01.22 552448 232%
0:01.14 550360 245%
0:01.32 554512 218%
0:01.28 550392 221%
0:01.15 553016 242%

Benchmarking AMAS (--remove-empty)
Dataset path: chan2020.phy
0:05.74 633920 101%
0:05.65 633748 100%
0:05.77 634116 101%
0:05.69 633940 101%
0:05.64 633732 100%
Dataset path: esselstyn2021.phy
0:06.95 1102240 100%
0:07.23 1102364 100%
0:07.53 1102416 101%
0:07.14 1102540 101%
0:07.26 1102540 100%
Dataset path: jarvis2014.phy
0:07.61 926968 100%
0:07.92 927256 101%
0:08.17 929172 100%
0:07.92 926984 100%
0:07.80 927020 100%
Dataset path: oliveros2019.phy
0:09.24 1164280 101%
0:09.71 1163692 101%
0:09.65 1164048 100%
0:09.78 1164024 100%
0:09.55 1164068 101%

Benchmarking AMAS KEEP EMPTY
Dataset path: chan2020.phy
0:05.40 716676 99%
0:05.28 718692 99%
0:05.15 716708 101%
0:05.42 716764 97%
0:05.24 716396 100%
Dataset path: esselstyn2021.phy
0:06.09 1144260 101%
0:06.10 1143952 101%
0:06.13 1146064 101%
0:06.14 1145828 101%
0:06.03 1144052 102%
Dataset path: jarvis2014.phy
0:06.84 927260 101%
0:06.91 927100 100%
0:06.72 927068 101%
0:06.88 927196 100%
0:06.90 929024 100%
Dataset path: oliveros2019.phy
0:08.66 1186388 101%
0:08.86 1188528 100%
0:08.79 1186148 101%
0:08.79 1186256 101%
0:08.76 1186472 100%
