CPU(s):                             24
On-line CPU(s) list:                0-23
Model name:                         AMD Ryzen 9 5900X 12-Core Processor
Thread(s) per core:                 2
Core(s) per socket:                 12
CPU(s) scaling MHz:                 55%
NUMA node0 CPU(s):                  0-23
6.6.11-1-default
segul 0.20.0
Benchmarking SEGUL
Dataset path: chan2020.nex
0:01.84 915096 156%
0:01.85 917244 155%
0:01.83 917036 157%
0:01.83 917436 158%
0:01.83 915184 164%
Dataset path: esselstyn2021.nex
0:03.23 1624128 137%
0:03.28 1624372 138%
0:03.22 1624344 136%
0:03.29 1624272 135%
0:03.27 1624300 135%
Dataset path: jarvis2014.nex
0:02.76 1337136 146%
0:02.78 1337260 144%
0:02.73 1337084 147%
0:02.72 1337056 144%
0:02.79 1337188 143%
Dataset path: oliveros2019.nex
0:03.50 1606272 148%
0:03.54 1606428 149%
0:03.56 1606360 148%
0:03.56 1606232 149%
0:03.53 1606252 148%

Benchmarking SEGUL ignore datatype
Dataset path: chan2020.nex
0:00.89 915288 225%
0:00.86 915252 227%
0:00.90 915188 234%
0:00.88 917460 228%
0:00.90 917240 223%
Dataset path: esselstyn2021.nex
0:01.24 1624300 196%
0:01.25 1624132 194%
0:01.25 1624156 196%
0:01.23 1624456 199%
0:01.22 1624244 203%
Dataset path: jarvis2014.nex
0:01.01 1337084 217%
0:01.03 1337088 218%
0:01.03 1337088 217%
0:01.04 1337264 223%
0:01.08 1337088 207%
Dataset path: oliveros2019.nex
0:01.51 1606432 209%
0:01.58 1606144 201%
0:01.50 1606268 212%
0:01.55 1606328 206%
0:01.58 1606248 197%

# Manually added
Benchmarking SEGUL GUI Android
Dataset path: alignments/oliveros_2019_80p_trimmed
0:15.3 0 0%
0:15.3 0 0%
0:13.9 0 0%
0:13.8 0 0%
0:14.2 0 0%

Benchmarking AMAS (--remove-empty)
Dataset path: chan2020.nex
0:07.79 928148 100%
0:07.85 927852 100%
0:07.86 928036 99%
0:07.97 928092 98%
0:07.77 928160 100%
Dataset path: esselstyn2021.nex
0:10.55 1633976 100%
0:10.73 1634028 100%
0:10.48 1634116 100%
0:10.72 1634328 100%
0:10.64 1634404 100%
Dataset path: jarvis2014.nex
0:10.70 1356712 100%
0:10.80 1356516 100%
0:10.62 1356300 100%
0:11.13 1356436 100%
0:10.99 1356488 100%
Dataset path: oliveros2019.nex
0:12.41 1610892 101%
0:13.07 1611136 100%
0:12.70 1611236 100%
0:12.74 1610920 100%
0:13.04 1611400 100%

Benchmarking AMAS KEEP EMPTY
Dataset path: chan2020.nex
0:07.29 927984 100%
0:07.25 928164 99%
0:07.31 928208 101%
0:07.44 928296 101%
0:07.32 928168 101%
Dataset path: esselstyn2021.nex
0:09.39 1634140 101%
0:09.45 1634204 101%
0:09.53 1634152 101%
0:09.31 1634360 101%
0:09.52 1634216 100%
Dataset path: jarvis2014.nex
0:09.91 1356368 100%
0:09.61 1356608 100%
0:09.82 1356496 101%
0:09.78 1356260 100%
0:09.81 1356468 101%
Dataset path: oliveros2019.nex
0:12.23 1611036 100%
0:12.21 1611124 100%
0:12.21 1611016 101%
0:12.08 1610980 100%
0:12.44 1610904 100%
