CPU(s):                             24
On-line CPU(s) list:                0-23
Model name:                         AMD Ryzen 9 5900X 12-Core Processor
Thread(s) per core:                 2
Core(s) per socket:                 12
CPU(s) scaling MHz:                 55%
NUMA node0 CPU(s):                  0-23
6.6.11-1-default
segul 0.20.0
Benchmarking SEGUL
Dataset path: shen2018.nex
0:03.95 1177500 141%
0:04.14 1177460 136%
0:04.07 1177372 139%
0:04.09 1177460 136%
0:04.09 1177460 135%
Dataset path: wu2018.nex
0:02.84 814180 132%
0:02.69 814096 131%
0:02.76 814172 126%
0:02.76 812032 127%
0:02.79 814180 128%

Benchmarking SEGUL ignore datatype
Dataset path: shen2018.nex
0:01.04 1177372 256%
0:01.07 1177492 258%
0:01.05 1177648 252%
0:01.09 1177500 236%
0:01.04 1177460 252%
Dataset path: wu2018.nex
0:00.79 814088 205%
0:00.76 814156 226%
0:00.74 813968 210%
0:00.77 814008 201%
0:00.72 812056 207%

Benchmarking AMAS (--remove-empty)
Dataset path: shen2018.nex
0:07.31 1181100 100%
0:07.30 1181220 100%
0:07.34 1181032 100%
0:07.35 1181120 101%
0:07.35 1181116 100%
Dataset path: wu2018.nex
0:11.26 820648 100%
0:11.13 820700 100%
0:10.94 820348 100%
0:10.90 820416 100%
0:10.93 820520 100%

Benchmarking AMAS KEEP EMPTY
Dataset path: shen2018.nex
0:06.64 1181032 101%
0:06.72 1181120 100%
0:06.76 1181220 100%
0:06.55 1181132 100%
0:06.57 1181040 101%
Dataset path: wu2018.nex
0:10.53 820596 99%
0:10.63 820464 100%
0:10.74 820664 100%
0:10.25 820780 99%
0:09.98 820704 99%
