CPU(s):                          24
On-line CPU(s) list:             0-23
Model name:                      AMD Ryzen 9 5900X 12-Core Processor
Thread(s) per core:              2
Core(s) per socket:              12
CPU(s) scaling MHz:              56%
NUMA node0 CPU(s):               0-23
6.3.7-1-default
segul 0.19.0
v0.3.5
Benchmarking SEGUL
Dataset path: alignments/wu_2018_aa_loci/
0:01.90 351148 146%
0:01.94 352652 145%
0:01.89 350124 146%
0:01.94 354800 145%
0:01.90 355296 147%
0:01.94 352028 145%
0:01.97 355140 145%
0:01.90 349284 146%
0:01.91 351316 147%
0:01.94 351044 146%
Dataset path: alignments/shen_2018_loci_aa/
0:04.20 605472 133%
0:04.18 611372 134%
0:04.15 597124 134%
0:04.20 602792 134%
0:04.20 599832 134%
0:04.18 596992 134%
0:04.17 608404 134%
0:04.19 605312 134%
0:04.17 609536 134%
0:04.09 598156 134%
Benchmarking SEGUL ignore datatype
Dataset path: alignments/wu_2018_aa_loci/
0:00.66 353508 234%
0:00.68 353428 230%
0:00.67 351392 229%
0:00.64 355044 236%
0:00.67 350168 231%
0:00.65 352332 235%
0:00.64 353004 238%
0:00.64 350964 236%
0:00.66 353508 234%
0:00.65 350780 235%
Dataset path: alignments/shen_2018_loci_aa/
0:01.12 607400 228%
0:01.13 607020 228%
0:01.14 602252 227%
0:01.12 597576 228%
0:01.14 593692 226%
0:01.12 603568 227%
0:01.12 606928 227%
0:01.13 604164 227%
0:01.12 598704 227%
0:01.12 596272 228%

Benchmarking AMAS
Dataset path: alignments/wu_2018_aa_loci/
0:01.74 1168544 1019%
0:01.76 1168932 1024%
0:01.71 1168660 1041%
0:01.74 1168108 1028%
0:01.74 1168980 1018%
0:01.77 1169500 1035%
0:01.77 1168464 1021%
0:01.75 1169316 1044%
0:01.77 1168776 1032%
0:01.72 1169000 1050%
Dataset path: alignments/shen_2018_loci_aa/
0:03.13 1779992 488%
0:03.15 1782076 474%
0:03.13 1777748 481%
0:03.19 1777412 481%
0:03.12 1778204 487%
0:03.10 1782132 483%
0:03.24 1779208 455%
0:03.09 1777824 495%
0:03.20 1779824 472%
0:03.10 1778520 487%

Benchmarking AMAS (--check-align)
Dataset path: alignments/wu_2018_aa_loci/
0:22.62 1170520 171%
0:22.93 1168904 172%
0:23.20 1168056 170%
0:22.76 1168908 170%
0:22.59 1168736 172%
0:22.87 1169184 172%
0:22.81 1170908 171%
0:22.35 1168560 174%
0:22.70 1169448 171%
0:22.75 1170412 172%
Dataset path: alignments/shen_2018_loci_aa/
8:16.51 1778576 102%
8:16.74 1779284 102%
8:31.48 1777916 102%
8:28.08 1777572 102%
8:23.58 1779380 102%
8:33.21 1781616 102%
8:31.83 1781792 102%
8:28.91 1777876 102%
8:24.91 1780512 102%
8:33.60 1777188 102%

Benchmarking goalign (multi-core)

Dataset path: alignments/wu_2018_aa_loci/
0:03.67 1779228 105%
0:03.63 1553280 105%
0:03.54 1553200 104%
0:03.69 1529724 103%
0:03.59 1540280 105%
0:03.50 1485164 105%
0:03.63 1548984 103%
0:03.63 1555292 103%
0:03.68 1766856 104%
0:03.59 1550960 105%

Dataset path: alignments/shen_2018_loci_aa/
0:05.72 2634092 104%
0:05.70 2614168 104%
0:05.79 2214536 103%
0:05.54 2212096 103%
0:05.67 2600992 104%
0:05.74 2214684 104%
0:05.68 2229056 104%
0:05.65 2213788 104%
0:05.58 2632572 103%
0:05.82 2632616 104%

Benchmarking goalign (single-core)
Dataset path: alignments/wu_2018_aa_loci/
0:03.17 1809960 99%
0:03.19 1549928 100%
0:03.23 1549784 100%
0:03.18 1784524 100%
0:03.12 1799184 100%
0:03.20 1784220 99%
0:03.20 1790732 99%
0:03.19 1543676 100%
0:03.17 1564688 100%
0:03.20 1786516 100%

Dataset path: alignments/shen_2018_loci_aa/
0:05.29 2312368 100%
0:05.28 2232352 100%
0:05.28 2313920 100%
0:05.27 2247500 99%
0:05.36 2222536 100%
0:05.29 2305476 100%
0:05.29 1898540 100%
0:05.34 2216660 100%
0:05.28 1917372 100%
0:05.31 1913308 100%
