CPU(s):                          24
On-line CPU(s) list:             0-23
Model name:                      AMD Ryzen 9 5900X 12-Core Processor
Thread(s) per core:              2
Core(s) per socket:              12
CPU(s) scaling MHz:              54%
NUMA node0 CPU(s):               0-23
6.3.7-1-default
segul 0.19.0
Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:00.68 140828 1870%
0:00.68 141596 1868%
0:00.69 143816 1870%
0:00.69 142336 1866%
0:00.68 142460 1869%
0:00.69 145196 1854%
0:00.69 144416 1850%
0:00.70 141812 1828%
0:00.69 144228 1864%
0:00.69 142656 1863%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:01.14 335428 1716%
0:01.14 336724 1719%
0:01.16 334780 1699%
0:01.14 334140 1721%
0:01.15 331992 1711%
0:01.13 332324 1733%
0:01.14 332448 1724%
0:01.14 333652 1719%
0:01.14 336716 1725%
0:01.15 337164 1712%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:00.89 100772 2127%
0:00.89 102916 2133%
0:00.89 102592 2132%
0:00.88 100316 2146%
0:00.89 98816 2135%
0:00.89 98304 2131%
0:00.88 100008 2139%
0:00.89 97832 2137%
0:00.89 100660 2131%
0:00.89 100720 2137%
Dataset path: alignments/chan_2020_loci/
0:00.73 239544 1604%
0:00.74 239668 1579%
0:00.73 238048 1605%
0:00.74 240668 1571%
0:00.74 240572 1592%
0:00.73 240928 1615%
0:00.73 241936 1607%
0:00.73 240660 1602%
0:00.74 240280 1595%
0:00.74 238180 1587%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:38.88 1242348 381%
0:39.31 1243056 376%
0:38.91 1246384 377%
0:39.17 1246928 379%
0:39.76 1243080 373%
0:39.20 1245000 377%
0:39.37 1242976 381%
0:39.07 1243524 379%
0:39.22 1245272 379%
0:38.84 1244844 377%
Dataset path: alignments/oliveros_2019_80p_trimmed
1:14.23 2026784 343%
1:14.62 2023256 341%
1:14.37 2025460 342%
1:14.39 2025064 341%
1:13.99 2025232 343%
1:14.15 2023500 343%
1:14.44 2023292 341%
1:14.10 2024868 342%
1:14.53 2024648 343%
1:14.24 2025224 344%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:45.90 1468748 433%
0:45.18 1475532 435%
0:44.88 1474728 439%
0:44.94 1477432 436%
0:44.83 1477956 440%
0:44.92 1477424 438%
0:45.19 1474636 437%
0:44.99 1474504 439%
0:44.95 1473880 437%
0:45.45 1474128 438%
Dataset path: alignments/chan_2020_loci/
0:38.08 1019856 365%
0:37.82 1018164 371%
0:37.87 1018580 366%
0:38.49 1019180 364%
0:37.66 1018808 371%
0:38.03 1016848 368%
0:37.86 1018848 369%
0:38.06 1018724 364%
0:37.99 1019376 368%
0:38.61 1029048 365%

Benchmarking Phyluce
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:23.31 46768 2225%
0:23.21 45208 2224%
0:23.31 44820 2224%
0:23.21 44936 2231%
0:23.01 44820 2228%
0:23.51 44464 2218%
0:23.11 44984 2238%
0:23.21 44820 2224%
0:23.22 44440 2245%
0:23.01 44928 2247%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:31.33 45016 2276%
0:31.63 45400 2273%
0:31.34 45560 2269%
0:31.53 46768 2304%
0:31.83 45400 2270%
0:31.33 45204 2286%
0:31.93 45044 2275%
0:31.33 45204 2274%
0:31.83 45380 2286%
0:31.33 45396 2299%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:28.82 48484 2305%
0:28.72 44632 2300%
0:28.73 45012 2299%
0:28.72 44824 2306%
0:28.93 44820 2299%
0:28.72 44516 2297%
0:28.22 44804 2313%
0:28.02 44656 2312%
0:29.02 44632 2308%
0:28.32 44460 2301%
Dataset path: alignments/chan_2020_loci/
0:17.44 65096 2272%
0:17.23 65324 2270%
0:17.22 66428 2254%
0:17.13 65212 2266%
0:17.33 66932 2257%
0:17.33 64904 2259%
0:17.44 65456 2270%
0:17.33 65408 2273%
0:17.44 65260 2252%
0:17.34 66548 2258%
