Darwin Kernel Version 21.6.0: Wed Aug 10 14:28:35 PDT 2022; root:xnu-8020.141.5~2/RELEASE_ARM64_T8101
segul 0.18.1
Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:03.65 637424 118%
0:03.64 633056 118%
0:03.60 657120 120%
0:03.60 631040 120%
0:03.60 636768 120%
0:03.62 631504 119%
0:03.60 636896 120%
0:03.62 680848 119%
0:03.60 633520 120%
0:03.60 631216 120%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:03.64 851504 112%
0:03.10 701696 137%
0:03.14 696848 135%
0:03.11 852832 137%
0:03.10 696512 137%
0:03.10 705168 136%
0:03.10 697504 137%
0:03.08 703920 134%
0:03.10 699520 137%
0:03.11 702208 137%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:03.33 563296 114%
0:03.08 568304 126%
0:03.09 558464 126%
0:03.09 569120 126%
0:03.10 565792 126%
0:03.09 573248 126%
0:03.09 561520 126%
0:03.08 628304 125%
0:03.09 684336 126%
0:03.12 566752 125%
Dataset path: alignments/chan_2020_loci/
0:02.40 402000 120%
0:02.07 395744 144%
0:02.04 395024 145%
0:02.05 395328 146%
0:02.06 402816 145%
0:02.09 401728 143%
0:02.07 401360 144%
0:02.11 405632 142%
0:02.07 399968 144%
0:02.07 401312 144%
Benchmarking SEGUL ignore datatype
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:01.33 629440 122%
0:01.09 629760 159%
0:01.04 704448 168%
0:01.28 631600 136%
0:01.19 629552 146%
0:01.04 635104 167%
0:01.04 635504 168%
0:01.03 637248 167%
0:01.04 661936 167%
0:01.06 637504 164%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:01.84 698048 133%
0:01.56 703584 172%
0:01.55 701680 174%
0:01.53 694640 176%
0:01.53 694624 176%
0:01.53 694448 177%
0:01.57 697984 171%
0:01.55 697056 173%
0:01.53 734080 176%
0:01.54 695856 175%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:01.26 559712 133%
0:01.01 559360 180%
0:01.00 568032 182%
0:01.01 570544 181%
0:01.03 567152 177%
0:01.05 568896 174%
0:01.04 562192 175%
0:01.01 561808 180%
0:01.01 572304 181%
0:01.02 567488 179%
Dataset path: alignments/chan_2020_loci/
0:01.33 399056 127%
0:01.02 397536 192%
0:01.01 395712 193%
0:01.04 410096 189%
0:01.02 427264 192%
0:01.04 401344 188%
0:01.02 400160 192%
0:01.03 398256 188%
0:01.01 484080 193%
0:01.01 402480 193%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:03.03 2200480 442%
0:03.02 2199376 447%
0:03.01 2203584 443%
0:02.98 2193680 448%
0:02.99 2209808 450%
0:02.98 2197200 449%
0:02.99 2183760 447%
0:02.98 2211152 449%
0:02.99 2204992 446%
0:02.99 2201104 447%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:05.84 2407472 407%
0:05.86 2416560 405%
0:05.83 2407696 406%
0:05.80 2412304 409%
0:05.80 2412000 409%
0:05.83 2400096 408%
0:05.81 2413120 409%
0:05.83 2403216 408%
0:05.81 2407296 408%
0:05.81 2407968 409%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:03.18 1961040 527%
0:03.17 1973408 530%
0:03.19 1981248 522%
0:03.19 1969984 531%
0:03.16 1976352 529%
0:03.18 1960080 527%
0:03.19 1977616 526%
0:03.15 1984224 532%
0:03.16 1964928 534%
0:03.22 1973616 519%
Dataset path: alignments/chan_2020_loci/
0:02.97 1403664 417%
0:02.70 1424704 446%
0:02.68 1415280 449%
0:02.69 1418288 449%
0:02.74 1410448 436%
0:02.71 1451472 445%
0:02.76 1407968 438%
0:02.79 1421872 437%
0:02.73 1439008 445%
0:02.72 1435184 447%

Benchmarking AMAS Check Aligned
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:10.82 2195920 198%
0:10.81 2198704 196%
0:10.75 2199216 196%
0:10.59 2192256 198%
0:10.56 2203248 198%
0:10.68 2202576 196%
0:10.68 2196032 197%
0:10.73 2186832 196%
0:10.80 2202496 196%
0:10.67 2202912 197%
Dataset path: alignments/oliveros_2019_80p_trimmed
2:45.55 2403536 110%
2:46.91 2368304 110%
2:45.39 2409232 110%
2:46.00 2412608 110%
2:47.37 2236544 110%
2:46.99 2401408 110%
2:47.07 2409680 110%
2:46.66 2409552 110%
2:47.77 2354096 110%
2:46.01 2414000 110%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:05.91 1959920 329%
0:05.87 1974848 330%
0:05.87 1952016 330%
0:05.84 1960032 331%
0:05.89 1979616 330%
0:05.83 1990832 333%
0:05.83 1958656 332%
0:05.87 1965776 329%
0:05.86 1964256 331%
0:05.90 1976640 328%
Dataset path: alignments/chan_2020_loci/
0:08.81 1419344 206%
0:08.34 1424880 212%
0:08.31 1401664 213%
0:08.30 1427472 214%
0:08.43 1411472 210%
0:08.42 1447424 211%
0:08.31 1430896 211%
0:08.44 1425360 211%
0:08.35 1414928 212%
0:08.37 1411248 211%
