Darwin Kernel Version 21.6.0: Wed Aug 10 14:28:35 PDT 2022; root:xnu-8020.141.5~2/RELEASE_ARM64_T8101
segul 0.18.1
Benchmarking SEGUL
Dataset path: alignments/wu_2018_aa_loci/
0:02.76 412048 121%
0:02.74 383328 122%
0:02.73 385136 123%
0:02.75 384064 122%
0:02.76 415264 121%
0:02.74 385040 122%
0:02.75 387088 122%
0:02.73 386608 123%
0:02.74 387888 123%
0:02.75 382384 122%
Dataset path: alignments/shen_2018_loci_aa/
0:05.49 594976 110%
0:05.24 606768 119%
0:05.23 598096 119%
0:05.25 682112 119%
0:05.26 603872 119%
0:05.24 604192 119%
0:05.27 604576 118%
0:05.27 603904 118%
0:05.25 608784 119%
0:05.28 608208 118%
Benchmarking SEGUL ignore datatype
Dataset path: alignments/wu_2018_aa_loci/
0:00.82 517664 166%
0:00.89 436080 148%
0:00.79 382512 171%
0:00.83 384720 169%
0:00.82 438256 166%
0:00.79 384512 175%
0:00.79 381600 178%
0:00.78 384608 179%
0:00.78 383120 181%
0:01.11 502672 146%
Dataset path: alignments/shen_2018_loci_aa/
0:01.40 744080 181%
0:01.31 603408 173%
0:01.29 685168 178%
0:01.32 606144 171%
0:01.31 702576 177%
0:01.31 604880 174%
0:01.33 603632 172%
0:01.31 677456 173%
0:01.30 604496 174%
0:01.31 602816 174%

Benchmarking AMAS
Dataset path: alignments/wu_2018_aa_loci/
0:03.78 1288384 517%
0:03.79 1280256 515%
0:03.76 1298320 518%
0:03.94 1295456 476%
0:03.81 1292928 508%
0:03.77 1288592 515%
0:03.78 1298016 510%
0:03.78 1295072 512%
0:03.82 1297408 503%
0:03.76 1301824 514%
Dataset path: alignments/shen_2018_loci_aa/
0:05.56 1818448 291%
0:05.21 1866288 305%
0:05.16 1858352 314%
0:05.22 1863056 304%
0:05.22 1866336 303%
0:05.16 1856304 315%
0:05.16 1853200 312%
0:05.17 1854736 312%
0:05.21 1875712 308%
0:05.16 1858624 313%

Benchmarking AMAS Check Aligned
Dataset path: alignments/wu_2018_aa_loci/
0:21.08 1284224 174%
0:21.01 1295536 175%
0:21.43 1281376 173%
0:21.12 1292848 173%
0:21.05 1279360 175%
0:21.55 1282320 170%
0:21.07 1301680 174%
0:21.55 1286432 172%
0:21.39 1287616 174%
0:21.48 1290784 172%
Dataset path: alignments/shen_2018_loci_aa/
6:46.37 1860016 102%
6:41.37 1861632 102%
6:44.15 1873408 102%
6:44.24 1863664 102%
6:43.33 1833280 102%
6:43.80 1856864 102%
6:39.16 1852656 102%
6:39.18 1868432 102%
6:40.52 1864544 102%
6:43.48 1862144 102%
