CPU(s):                          24
On-line CPU(s) list:             0-23
Model name:                      AMD Ryzen 9 3900X 12-Core Processor
Thread(s) per core:              2
Core(s) per socket:              12
NUMA node0 CPU(s):               0-23
5.16.11-1-default
segul 0.18.1
v0.3.5
Benchmarking SEGUL
Dataset path: alignments/wu_2018_aa_loci/
0:02.64 352204 138%
0:02.65 349668 134%
0:02.58 349120 136%
0:02.66 352336 136%
0:02.64 352344 135%
0:02.59 351668 137%
0:02.60 349644 134%
0:02.59 351740 136%
0:02.59 352256 133%
0:02.58 348868 136%
Dataset path: alignments/shen_2018_loci_aa/
0:05.20 599368 126%
0:05.27 608436 123%
0:05.06 603884 129%
0:05.21 597712 127%
0:05.07 595236 128%
0:05.23 601692 129%
0:05.22 609400 126%
0:05.09 601212 128%
0:05.21 604940 127%
0:05.22 597456 127%
Benchmarking SEGUL ignore datatype
Dataset path: alignments/wu_2018_aa_loci/
0:00.74 351532 223%
0:00.75 352948 204%
0:00.73 352060 228%
0:00.73 351704 221%
0:00.73 350528 228%
0:00.73 353388 230%
0:00.73 351232 236%
0:00.75 352180 218%
0:00.73 351956 220%
0:00.74 351164 220%
Dataset path: alignments/shen_2018_loci_aa/
0:01.20 605828 222%
0:01.19 598728 222%
0:01.20 597480 218%
0:01.23 599468 234%
0:01.20 610912 237%
0:01.21 606552 220%
0:01.21 602892 216%
0:01.19 600928 219%
0:01.20 599508 221%
0:01.20 598816 224%

Benchmarking AMAS
Dataset path: alignments/wu_2018_aa_loci/
0:01.93 1171640 1019%
0:01.93 1172456 1031%
0:01.90 1171724 1037%
0:01.92 1170576 1032%
0:01.99 1172748 997%
0:01.96 1172724 1012%
0:01.93 1171116 1025%
0:01.94 1170300 1020%
0:01.94 1169792 1022%
0:02.00 1170472 984%
Dataset path: alignments/shen_2018_loci_aa/
0:03.66 1773184 456%
0:03.74 1783752 452%
0:03.72 1778308 450%
0:03.73 1779332 451%
0:03.66 1783244 460%
0:03.76 1783312 445%
0:03.73 1783812 451%
0:03.70 1782728 443%
0:03.70 1782760 442%
0:03.72 1777636 450%

Benchmarking AMAS
Dataset path: alignments/wu_2018_aa_loci/
0:23.43 1172864 176%
0:22.76 1170948 177%
0:23.17 1172732 177%
0:22.34 1171200 180%
0:23.13 1171020 177%
0:22.59 1170392 179%
0:23.42 1171376 176%
0:22.53 1170856 179%
0:22.76 1170500 179%
0:23.02 1171132 177%
Dataset path: alignments/shen_2018_loci_aa/
8:17.25 1776280 102%
8:07.59 1778228 102%
7:53.16 1777460 102%
7:44.35 1777796 102%
8:03.90 1780316 102%
8:17.52 1778984 102%
8:02.70 1777740 102%
7:58.49 1778556 102%
7:56.66 1779400 102%
8:08.53 1776944 102%

Benchmarking goalign st

Dataset path: alignments/wu_2018_aa_loci/
0:04.01 1564736 100%
0:04.08 1799472 100%
0:04.06 1543708 100%
0:04.10 1795124 100%
0:04.04 1554248 100%
0:04.08 1799428 100%
0:04.07 1556344 100%
0:04.02 1554228 100%
0:04.06 1801584 100%
0:04.00 1554092 100%

Dataset path: alignments/shen_2018_loci_aa/
0:06.82 2192856 100%
0:06.88 2169712 100%
0:06.90 2287132 100%
0:06.87 2275708 100%
0:06.91 2310400 100%
0:06.86 2057836 100%
0:06.76 2263088 100%
0:06.93 2204144 100%
0:06.82 2206972 100%
0:06.84 2294068 100%
