CPU(s):                          24
On-line CPU(s) list:             0-23
Model name:                      AMD Ryzen 9 3900X 12-Core Processor
Thread(s) per core:              2
Core(s) per socket:              12
NUMA node0 CPU(s):               0-23
5.16.11-1-default
segul 0.18.1
Benchmarking SEGUL Remove
Dataset path: alignments/oliveros_2019_80p_trimmed
0:00.36 36208 1865%
0:00.36 37200 1880%
0:00.35 37416 1922%
0:00.37 36364 1967%
0:00.36 35200 1949%
0:00.36 36052 1939%
0:00.33 34248 2014%
0:00.35 33412 1967%
0:00.36 37252 1980%
0:00.34 36956 2014%

Benchmarking SEGUL ignore datatype
Dataset path: alignments/oliveros_2019_80p_trimmed
0:00.17 34792 1782%
0:00.18 36452 1827%
0:00.18 33652 1808%
0:00.17 36892 1839%
0:00.17 34200 1827%
0:00.17 35984 1791%
0:00.19 34184 1722%
0:00.20 34452 1615%
0:00.17 36368 1805%
0:00.17 36340 1815%

Benchmarking AMAS
Dataset path: alignments/oliveros_2019_80p_trimmed
0:02.19 740672 996%
0:02.19 742212 998%
0:02.18 738948 1008%
0:02.24 741932 978%
0:02.24 738920 967%
0:02.18 740700 1002%
0:02.18 738592 1005%
0:02.30 738760 955%
0:02.18 738556 1007%
0:02.24 738988 988%

Benchmarking AMAS Check Aligned
Dataset path: alignments/oliveros_2019_80p_trimmed
3:13.17 738744 110%
3:15.18 738724 110%
3:23.85 738656 109%
3:32.41 738904 109%
3:13.78 738980 110%
3:27.74 738684 109%
3:10.80 740504 110%
3:16.04 739208 110%
3:11.38 738692 110%
3:29.42 738724 109%
