Darwin Kernel Version 21.6.0: Wed Aug 10 14:28:35 PDT 2022; root:xnu-8020.141.5~2/RELEASE_ARM64_T8101
segul 0.18.1

Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:01.81 138960 716%
0:01.81 139072 721%
0:01.80 138752 725%
0:01.80 137616 727%
0:01.80 138816 724%
0:01.80 138816 728%
0:01.80 137520 728%
0:01.81 138880 722%
0:01.80 138080 725%
0:01.80 138416 728%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:02.56 490400 616%
0:02.28 491808 701%
0:02.28 488576 699%
0:02.29 491440 698%
0:02.29 489600 698%
0:02.30 490544 695%
0:02.28 492176 701%
0:02.28 491840 700%
0:02.28 490816 701%
0:02.29 491968 700%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:02.54 92928 661%
0:02.29 95104 737%
0:02.30 94416 735%
0:02.29 94192 740%
0:02.28 95328 742%
0:02.31 94080 730%
0:02.29 94944 739%
0:02.29 95248 742%
0:02.30 93936 736%
0:02.29 94224 739%
Dataset path: alignments/chan_2020_loci/
0:01.88 243680 542%
0:01.53 247584 680%
0:01.53 248800 683%
0:01.53 248800 680%
0:01.54 248144 677%
0:01.56 249872 666%
0:01.53 249600 681%
0:01.55 249072 673%
0:01.53 248272 680%
0:01.54 248592 679%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:34.32 966240 439%
0:34.14 975856 440%
0:34.35 983456 439%
0:34.16 961328 440%
0:34.21 972672 438%
0:34.54 969792 438%
0:34.60 972256 434%
0:34.65 958576 435%
0:34.58 977968 436%
0:34.71 967504 435%
Dataset path: alignments/oliveros_2019_80p_trimmed
1:00.48 1448832 419%
0:59.26 1450624 428%
0:58.85 1445024 430%
0:59.64 1461008 428%
1:00.62 1447248 423%
1:00.27 1445392 424%
0:59.62 1448064 424%
0:59.19 1460560 427%
0:59.13 1455152 431%
0:59.63 1454912 426%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:42.72 1117120 472%
0:42.51 1118800 476%
0:42.64 1112912 469%
0:42.85 1120480 469%
0:42.71 1110304 468%
0:43.11 1118032 477%
0:43.56 1112608 469%
0:44.01 1122048 473%
0:44.09 1116256 472%
0:45.24 1102880 456%
Dataset path: alignments/chan_2020_loci/
0:28.26 857824 432%
0:27.92 851456 439%
0:28.15 848528 436%
0:28.25 835424 437%
0:28.05 829360 439%
0:28.15 832672 436%
0:28.17 852448 435%
0:28.02 845808 438%
0:28.07 836192 440%
0:28.06 833408 438%
