CPU(s):                          24
On-line CPU(s) list:             0-23
Model name:                      AMD Ryzen 9 3900X 12-Core Processor
Thread(s) per core:              2
Core(s) per socket:              12
NUMA node0 CPU(s):               0-23
5.16.11-1-default
segul 0.18.1
Benchmarking SEGUL
Dataset path: alignments/wu_2018_aa_loci/
0:00.92 380520 1627%
0:00.90 378748 1682%
0:00.91 379816 1667%
0:00.91 381776 1670%
0:00.90 377336 1672%
0:00.90 378400 1685%
0:00.91 380480 1659%
0:00.90 381164 1677%
0:00.91 377168 1672%
0:00.90 376756 1679%
Dataset path: alignments/shen_2018_loci_aa/
0:01.50 652780 1615%
0:01.50 657700 1615%
0:01.50 657848 1609%
0:01.51 653340 1611%
0:01.51 660460 1604%
0:01.50 664260 1612%
0:01.50 655040 1611%
0:01.51 659568 1605%
0:01.50 654472 1608%
0:01.51 663664 1607%

Benchmarking AMAS
Dataset path: alignments/wu_2018_aa_loci/
0:37.89 1002300 391%
0:37.19 1001784 396%
0:37.72 1001568 392%
0:40.14 1003244 373%
0:37.32 1001752 394%
0:39.53 1001892 377%
0:37.51 1001672 392%
0:40.18 1002416 374%
0:40.21 1003752 372%
0:39.59 1002320 375%
Dataset path: alignments/shen_2018_loci_aa/
1:04.95 1726520 373%
1:03.58 1724736 375%
1:03.83 1723804 371%
1:03.30 1725632 373%
1:03.97 1724456 371%
1:04.19 1725392 370%
1:03.46 1724676 373%
1:03.96 1725228 373%
1:04.08 1724568 372%
1:03.27 1724000 373%
