
Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:03.95 638304 122%
0:04.02 684384 121%
0:03.99 684640 121%
0:03.94 641488 122%
0:03.99 693776 122%
0:03.95 639504 122%
0:03.96 640976 122%
0:03.99 635008 122%
0:03.95 639936 122%
0:03.95 635520 122%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:04.15 672832 116%
0:03.61 763504 139%
0:03.58 703840 139%
0:03.60 758576 139%
0:03.57 697760 139%
0:03.58 701280 139%
0:03.60 702656 137%
0:03.58 701600 139%
0:03.58 696496 139%
0:03.58 697808 139%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:03.78 637504 114%
0:03.50 634496 127%
0:03.50 580144 127%
0:03.49 578112 127%
0:03.49 575088 128%
0:03.49 634880 128%
0:03.49 689968 128%
0:03.50 635360 127%
0:03.50 571472 128%
0:03.49 640448 128%
Benchmarking SEGUL ignore datatype
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:01.83 702416 126%
0:01.60 634896 154%
0:01.59 638416 155%
0:01.60 639840 155%
0:01.60 632928 154%
0:01.60 635184 154%
0:01.60 635136 153%
0:01.60 641184 154%
0:01.59 640800 155%
0:01.59 639232 155%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:02.46 702528 133%
0:02.12 696352 165%
0:02.12 698704 165%
0:02.13 696544 166%
0:02.14 700720 166%
0:02.12 697984 166%
0:02.14 704368 163%
0:02.12 698192 166%
0:02.15 698448 165%
0:02.12 697664 165%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:01.80 570384 129%
0:01.55 579824 161%
0:01.53 634128 159%
0:01.53 574768 163%
0:01.52 571040 163%
0:01.65 571600 152%
0:01.65 755424 150%
0:01.55 575632 153%
0:01.57 572256 156%
0:01.66 641328 152%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:04.64 1539968 319%
0:04.47 1850800 326%
0:04.38 1824880 336%
0:04.41 1804320 334%
0:04.43 1728800 333%
0:04.44 1707936 329%
0:04.65 1510000 320%
0:04.58 1548000 324%
0:04.64 1441168 318%
0:04.39 1778256 335%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:07.51 1703392 336%
0:07.27 2161632 344%
0:07.26 2271152 345%
0:07.44 1780640 339%
0:07.39 1926080 340%
0:07.31 2157008 344%
0:07.34 2154720 342%
0:07.28 2198592 346%
0:07.48 2255936 340%
0:07.25 2217984 345%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:04.09 1961520 432%
0:04.28 1976960 416%
0:04.21 1963680 424%
0:04.37 1922480 408%
0:04.38 1947168 408%
0:04.52 1761712 396%
0:04.45 1839280 402%
0:04.41 1853136 404%
0:04.19 1975792 423%
0:04.46 1885104 399%

Benchmarking AMAS Check Aligned
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:12.00 1986864 186%
0:12.02 1900128 186%
0:12.44 1698448 181%
0:12.24 1701136 181%
0:12.24 1884144 184%
0:12.08 1828000 185%
0:12.64 1437664 180%
0:12.57 1630128 183%
0:12.48 1537280 183%
0:12.24 1648768 184%
Dataset path: alignments/oliveros_2019_80p_trimmed
2:47.76 1523344 110%
2:49.82 1545968 110%
2:48.35 1522768 110%
2:47.98 1345152 110%
2:45.99 1928480 110%
2:48.68 1785648 110%
2:47.19 1493872 110%
2:45.99 1786096 110%
2:48.35 1630272 110%
2:47.46 1498912 110%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:07.23 1827104 283%
0:07.15 1759680 288%
0:07.18 1784320 287%
0:07.09 1860624 290%
0:07.04 1950048 290%
0:07.03 1903216 291%
0:07.21 1779568 286%
0:07.09 1911360 289%
0:07.18 1808384 286%
0:07.00 1884320 293%
