Darwin Kernel Version 20.1.0: Sat Oct 31 00:07:11 PDT 2020; root:xnu-7195.50.7~2/RELEASE_X86_64
segul 0.16.3
Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:15.68 549844 95%
0:11.92 577212 104%
0:10.97 575796 107%
0:11.05 575860 106%
0:12.43 560272 104%
0:12.92 576036 102%
0:11.60 575052 101%
0:10.85 574916 108%
0:10.50 576696 112%
0:11.53 565296 107%

Dataset path: alignments/oliveros_2019_80p_trimmed
0:18.52 586512 100%
0:12.45 587328 120%
0:11.14 589444 124%
0:11.38 587876 121%
0:13.00 588560 117%
0:12.42 588124 117%
0:10.82 591076 125%
0:10.97 590648 125%
0:11.15 589548 123%
0:13.12 587432 115%

Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:15.15 462452 101%
0:10.57 468064 111%
0:10.30 462628 112%
0:10.44 467920 112%
0:11.65 462636 108%
0:10.63 468132 111%
0:09.53 467272 115%
0:09.57 462672 117%
0:09.53 467204 116%
0:10.07 462460 112%

Dataset path: alignments/chan_2020_loci/
0:12.28 366108 109%
0:08.16 364976 120%
0:07.22 366056 124%
0:06.58 366892 133%
0:06.81 363916 130%
0:06.75 365920 129%
0:06.72 365912 130%
0:07.29 364052 124%
0:07.76 366096 122%
0:07.31 365104 126%

Benchmarking SEGUL ignore datatype
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:06.53 575452 121%
0:05.35 576124 119%
0:05.25 575476 119%
0:05.49 576660 114%
0:05.82 576636 108%
0:06.40 575776 98%
0:06.15 574936 102%
0:05.96 575500 115%
0:05.82 575516 116%
0:06.39 575096 103%

Dataset path: alignments/oliveros_2019_80p_trimmed
0:14.97 591256 95%
0:08.68 586700 125%
0:07.39 590292 137%
0:07.33 592644 138%
0:08.74 591500 128%
0:08.67 590708 129%
0:09.03 586296 126%
0:09.02 586012 121%
0:08.46 590716 126%
0:08.82 588160 122%

Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:07.14 468240 122%
0:05.57 462492 126%
0:05.86 462688 121%
0:06.26 462492 113%
0:05.72 462212 122%
0:04.75 462472 134%
0:04.98 462576 131%
0:05.12 462240 128%
0:05.18 462616 127%
0:05.05 462796 127%

Dataset path: alignments/chan_2020_loci/
0:06.72 366012 134%
0:04.81 366808 139%
0:05.54 365980 128%
0:06.07 367476 121%
0:05.33 364704 133%
0:05.28 367224 135%
0:04.54 366812 146%
0:05.56 364596 119%
0:04.51 366884 147%
0:04.50 365764 147%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:18.53 1672272 210%
0:16.97 1814260 224%
0:15.17 1894496 243%
0:15.96 1818812 237%
0:17.65 1702516 216%
0:15.53 1795876 241%
0:14.48 1887072 254%
0:16.90 1824744 226%
0:17.79 1807224 215%
0:15.36 1844800 241%

Dataset path: alignments/oliveros_2019_80p_trimmed
0:31.52 1505788 211%
0:29.71 2097972 214%
0:29.53 2070836 220%
0:29.81 1970556 217%
0:30.05 1949356 217%
0:27.22 2067124 230%
0:27.94 2149252 228%
0:30.00 1920468 211%
0:26.79 2098628 234%
0:30.95 2094284 206%

Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:15.14 1901996 284%
0:17.04 1860972 256%
0:19.15 1809800 231%
0:15.22 1873768 283%
0:15.37 1854180 280%
0:20.19 1742344 220%
0:17.29 1891504 251%
0:15.35 1894772 281%
0:17.94 1809008 247%
0:18.43 1770696 239%

Dataset path: alignments/chan_2020_loci/
0:12.83 1345688 259%
0:11.52 1352036 274%
0:12.78 1340792 252%
0:14.15 1346444 229%
0:11.53 1345740 274%
0:11.60 1340356 270%
0:12.07 1352472 264%
0:14.52 1340228 226%
0:14.06 1352516 231%
0:11.63 1340464 271%

Benchmarking AMAS Check Aligned
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:40.00 1711288 155%
0:37.44 2002832 158%
0:40.85 1964656 151%
0:39.86 1903320 154%
0:38.94 1771404 155%
0:41.44 1760512 150%
0:40.53 1699008 153%
0:37.17 1834152 159%
0:41.72 1805920 150%
0:40.64 1670304 154%

Dataset path: alignments/oliveros_2019_80p_trimmed
8:00.15 1605924 107%
7:56.96 1675036 106%
8:02.26 1536940 106%
8:03.12 1471216 106%
8:03.58 1504344 106%
8:04.91 1536568 106%
8:10.21 1701992 105%
7:53.48 1506092 107%
7:54.34 1499392 107%
7:53.49 1771456 107%

Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:27.18 1903012 192%
0:23.76 1902228 215%
0:28.56 1892600 186%
0:24.41 1872900 211%
0:28.98 1790824 188%
0:25.02 1699536 208%
0:27.74 1597660 195%
0:26.48 1759980 198%
0:27.52 1679064 196%
0:30.20 1561152 181%

Dataset path: alignments/chan_2020_loci/
0:33.88 1346588 158%
0:31.76 1346716 162%
0:31.38 1339576 163%
0:28.36 1340680 172%
0:31.20 1346196 164%
0:28.57 1346136 171%
0:30.61 1340972 165%
0:28.39 1351572 172%
0:30.38 1347416 166%
0:29.16 1334064 168%
