Darwin Kernel Version 20.1.0: Sat Oct 31 00:07:11 PDT 2020; root:xnu-7195.50.7~2/RELEASE_X86_64
segul 0.16.3
Benchmarking SEGUL
Dataset path: alignments/wu_2018_aa_loci/
0:10.91 318456 107%
0:08.94 317732 113%
0:09.08 315244 109%
0:10.12 316568 110%
0:10.25 317080 108%
0:08.87 315768 113%
0:08.67 317000 114%
0:08.58 317336 115%
0:08.64 316836 114%
0:08.98 317684 114%

Dataset path: alignments/shen_2018_loci_aa/
0:21.51 462716 100%
0:17.85 462632 105%
0:17.06 467732 106%
0:19.16 462840 103%
0:16.14 462468 110%
0:15.32 461732 112%
0:16.14 463140 108%
0:17.58 464632 108%
0:14.72 467128 114%
0:14.58 463824 114%

Benchmarking SEGUL ignore datatype
Dataset path: alignments/wu_2018_aa_loci/
0:05.56 315276 122%
0:04.47 316700 126%
0:04.51 316824 129%
0:04.77 316524 122%
0:04.61 317776 123%
0:04.08 315976 133%
0:03.80 314056 136%
0:03.85 317640 135%
0:04.08 316952 130%
0:03.85 317552 138%

Dataset path: alignments/shen_2018_loci_aa/
0:07.68 462116 124%
0:06.13 457564 141%
0:06.39 461268 137%
0:07.60 460780 126%
0:07.75 460832 124%
0:07.76 459684 126%
0:06.32 463096 136%
0:06.43 456848 136%
0:06.57 461656 130%
0:06.68 461540 131%

Benchmarking AMAS
Dataset path: alignments/wu_2018_aa_loci/
0:22.86 1192568 262%
0:19.48 1287812 303%
0:22.88 1228972 262%
0:22.25 1284744 268%
0:19.36 1286556 305%
0:22.38 1168312 267%
0:21.19 1294604 278%
0:19.24 1286092 307%
0:23.02 1144472 261%
0:19.83 1280480 296%

Dataset path: alignments/shen_2018_loci_aa/
0:22.51 1324616 226%
0:24.07 1728308 209%
0:22.83 1548452 216%
0:22.41 1792728 223%
0:22.19 1791296 222%
0:21.14 1713588 234%
0:24.78 1644708 206%
0:20.86 1803836 235%
0:20.29 1789956 242%
0:23.51 1789332 215%

Benchmarking AMAS Check Aligned
Dataset path: alignments/wu_2018_aa_loci/
1:10.72 1284800 155%
1:10.51 1280892 155%
1:12.34 1287752 152%
1:14.57 1287084 150%
1:11.73 1287968 154%
1:10.71 1279196 155%
1:11.43 1280556 154%
1:12.09 1286700 152%
1:13.77 1283172 150%
1:10.11 1279040 156%

Dataset path: alignments/shen_2018_loci_aa/
18:54.79 1181412 102%
18:56.13 1428100 102%
19:07.61 1265416 102%
19:08.19 1274796 102%
19:05.09 1263472 102%
19:00.66 1433700 102%
19:01.95 1421000 102%
19:00.32 1405796 102%
19:03.05 1268520 102%
19:10.68 1370616 102%
