CPU(s):              24
On-line CPU(s) list: 0-23
Thread(s) per core:  2
Core(s) per socket:  12
Model name:          AMD Ryzen 9 3900X 12-Core Processor
4.4.0-22000-Microsoft
segul 0.16.3
Benchmarking SEGUL

Dataset path: alignments/wu_2018_aa_loci/
0:00.95 73448 1637%
0:00.94 73760 1616%
0:00.93 73680 1672%
0:00.96 74544 1624%
0:00.95 74048 1572%
0:00.93 73716 1664%
0:00.93 74452 1671%
0:00.96 74292 1643%
0:00.96 74640 1641%
0:00.94 74132 1683%

Dataset path: alignments/shen_2018_loci_aa/
0:01.42 153672 1592%
0:01.44 157640 1532%
0:01.43 154680 1568%
0:01.46 161156 1517%
0:01.43 155732 1549%
0:01.42 161648 1585%
0:01.46 158280 1511%
0:01.45 160172 1522%
0:01.42 160752 1566%
0:01.42 155748 1594%

Benchmarking AMAS

Dataset path: alignments/wu_2018_aa_loci/
1:29.40 5072128 100%
1:30.15 5072176 99%
1:29.83 5072176 100%
1:29.76 5072148 99%
1:29.60 5072120 99%
1:29.54 5072160 100%
1:29.75 5072132 100%
1:29.46 5072164 99%
1:29.66 5072176 99%
1:29.72 5072144 99%

Dataset path: alignments/shen_2018_loci_aa/
2:22.82 7268780 100%
2:22.51 7269004 100%
2:22.92 7268940 100%
2:22.43 7268744 100%
2:23.41 7268772 99%
2:22.76 7268852 99%
2:22.36 7269068 99%
2:22.84 7268776 99%
2:22.39 7268960 99%
2:22.22 7268788 99%
