CPU(s):                          24
On-line CPU(s) list:             0-23
Model name:                      AMD Ryzen 9 3900X 12-Core Processor
Thread(s) per core:              2
Core(s) per socket:              12
NUMA node0 CPU(s):               0-23
5.16.11-1-default
segul 0.16.3
Benchmarking SEGUL
Dataset path: alignments/wu_2018_aa_loci/
0:00.69 75944 1877%
0:00.69 72884 1914%
0:00.68 76240 1912%
0:00.68 75228 1921%
0:00.68 75864 1907%
0:00.69 78472 1899%
0:00.69 78716 1910%
0:00.68 75920 1909%
0:00.69 75844 1919%
0:00.69 77008 1909%
Dataset path: alignments/shen_2018_loci_aa/
0:01.10 152236 1905%
0:01.11 154088 1896%
0:01.12 154436 1883%
0:01.13 157556 1890%
0:01.11 154092 1897%
0:01.11 151284 1903%
0:01.14 159664 1848%
0:01.13 155360 1858%
0:01.11 159900 1891%
0:01.12 152408 1884%

Benchmarking AMAS
Dataset path: alignments/wu_2018_aa_loci/
0:37.16 1003600 398%
0:39.08 1002208 383%
0:40.09 1003880 372%
0:39.84 1002208 378%
0:39.93 1002308 376%
0:40.27 1004328 375%
0:37.14 1002320 397%
0:36.23 1001588 406%
0:36.95 1002272 399%
0:39.79 1001640 378%
Dataset path: alignments/shen_2018_loci_aa/
1:04.97 1725276 372%
1:04.43 1724696 371%
1:04.14 1723264 372%
1:04.39 1723408 374%
1:04.79 1725300 370%
1:04.39 1724316 372%
1:04.41 1724764 370%
1:04.78 1725052 370%
1:03.88 1725184 372%
1:04.42 1726644 370%
