Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:01.78 59184 738%
0:01.78 57648 738%
0:01.78 58272 736%
0:01.78 58288 739%
0:01.77 57984 745%
0:01.78 58448 740%
0:01.78 58000 739%
0:01.85 58256 708%
0:01.77 59344 741%
0:01.77 58176 743%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:02.62 137008 607%
0:02.26 114160 717%
0:02.28 114464 712%
0:02.28 116336 711%
0:02.28 117712 708%
0:02.26 115728 717%
0:02.26 115280 719%
0:02.25 115056 722%
0:02.26 116688 719%
0:02.26 115024 718%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:02.56 44320 682%
0:02.39 44368 717%
0:02.36 44864 741%
0:02.33 43712 757%
0:02.33 44800 758%
0:02.33 44736 756%
0:02.34 44064 752%
0:02.39 44112 737%
0:02.35 44080 742%
0:02.35 43456 744%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:34.40 954544 465%
0:34.72 973504 465%
0:34.50 967104 467%
0:36.99 952016 431%
0:35.44 952336 457%
0:36.02 987104 450%
0:35.98 959616 449%
0:35.73 967440 454%
0:36.11 971152 451%
0:37.26 995552 434%
Dataset path: alignments/oliveros_2019_80p_trimmed
2:12.81 1444240 200%
2:20.17 1453872 187%
2:34.67 1442944 166%
2:15.60 1449328 196%
2:16.10 1454704 194%
2:41.92 1454784 157%
2:12.42 1443808 201%
2:11.07 1450608 203%
2:42.78 1459552 157%
2:19.22 1439552 189%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
1:17.72 1083360 285%
1:14.50 1104016 300%
1:29.15 1102368 239%
1:26.30 1107904 247%
1:25.41 1093584 255%
1:18.22 1100560 283%
1:16.71 1091168 293%
1:20.73 1106848 274%
1:25.87 1115120 247%
1:30.08 1093760 238%
