Darwin Kernel Version 21.2.0: Sun Nov 28 20:29:10 PST 2021; root:xnu-8019.61.5~1/RELEASE_ARM64_T8101
segul 0.16.3

Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:01.75 58736 745%
0:01.74 58528 752%
0:01.73 58032 760%
0:01.74 57504 757%
0:01.74 58544 757%
0:01.77 57184 746%
0:01.74 58928 756%
0:01.74 58112 757%
0:01.75 58480 755%
0:01.74 57824 758%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:02.50 137328 642%
0:02.22 115216 735%
0:02.23 115072 734%
0:02.23 115312 733%
0:02.23 122000 733%
0:02.23 115248 735%
0:02.23 116016 734%
0:02.31 123280 704%
0:02.22 114672 736%
0:02.23 115488 733%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:02.55 44016 693%
0:02.30 44720 772%
0:02.30 43184 772%
0:02.31 43584 772%
0:02.30 43856 772%
0:02.30 42816 773%
0:02.31 43344 765%
0:02.32 43840 759%
0:02.32 43680 759%
0:02.32 43984 758%
Dataset path: alignments/chan_2020_loci/
0:01.88 98976 551%
0:01.56 99568 680%
0:01.56 99392 676%
0:01.56 96384 673%
0:01.55 99344 679%
0:01.55 101040 682%
0:01.55 99200 682%
0:01.55 98672 682%
0:01.56 95584 682%
0:01.56 95792 677%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:33.15 971056 485%
0:34.53 981712 463%
0:34.39 968784 467%
0:34.89 971728 458%
0:34.79 973504 457%
0:34.85 957328 459%
0:35.34 973248 451%
0:35.53 968080 448%
0:34.46 970416 468%
0:33.66 973136 480%
Dataset path: alignments/oliveros_2019_80p_trimmed
2:13.89 1453392 193%
2:07.75 1445936 201%
1:53.43 1450064 230%
1:52.39 1447904 234%
1:55.16 1449552 226%
1:54.14 1450944 223%
1:51.15 1447744 235%
2:04.79 1447408 214%
1:57.42 1450848 223%
2:02.99 1442032 208%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
1:04.48 1110336 343%
1:05.20 1085072 339%
1:07.17 1101904 337%
1:10.10 1103248 321%
1:04.22 1101952 352%
1:02.73 1103008 360%
1:01.43 1093888 357%
1:00.22 1096544 365%
1:02.48 1098368 348%
1:07.23 1105664 327%
Dataset path: alignments/chan_2020_loci/
0:29.38 818176 477%
0:29.84 821200 459%
0:29.30 809808 473%
0:28.97 812224 484%
0:29.01 827488 484%
0:29.32 816608 468%
0:29.03 822880 481%
0:28.89 821248 482%
0:29.65 799264 464%
0:29.48 823248 475%
