Apps,Version,Pubs,Datasets,NTAX,Alignment_counts,Site_counts,Datatype,Analyses,Platform,OS_name,CPU,Benchmark_dates,Latest_bench,Execution_time,RAM_usage_kb,Percent_CPU_usage,Execution_time_secs,RAM_usage_Mb
SEGUL,v0.18.1,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,4060,2464926,DNA,Sequence Removal,Desktop,Linux,AMD Ryzen 9 3900X 12-Core Processor,10/06/2022,TRUE,0:00.36,36208,1865,0.36,35.359375
SEGUL,v0.18.1,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,4060,2464926,DNA,Sequence Removal,Desktop,Linux,AMD Ryzen 9 3900X 12-Core Processor,10/06/2022,TRUE,0:00.36,37200,1880,0.36,36.328125
SEGUL,v0.18.1,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,4060,2464926,DNA,Sequence Removal,Desktop,Linux,AMD Ryzen 9 3900X 12-Core Processor,10/06/2022,TRUE,0:00.35,37416,1922,0.35,36.5390625
SEGUL,v0.18.1,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,4060,2464926,DNA,Sequence Removal,Desktop,Linux,AMD Ryzen 9 3900X 12-Core Processor,10/06/2022,TRUE,0:00.37,36364,1967,0.37,35.51171875
SEGUL,v0.18.1,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,4060,2464926,DNA,Sequence Removal,Desktop,Linux,AMD Ryzen 9 3900X 12-Core Processor,10/06/2022,TRUE,0:00.36,35200,1949,0.36,34.375
SEGUL,v0.18.1,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,4060,2464926,DNA,Sequence Removal,Desktop,Linux,AMD Ryzen 9 3900X 12-Core Processor,10/06/2022,TRUE,0:00.36,36052,1939,0.36,35.20703125
SEGUL,v0.18.1,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,4060,2464926,DNA,Sequence Removal,Desktop,Linux,AMD Ryzen 9 3900X 12-Core Processor,10/06/2022,TRUE,0:00.33,34248,2014,0.33,33.4453125
SEGUL,v0.18.1,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,4060,2464926,DNA,Sequence Removal,Desktop,Linux,AMD Ryzen 9 3900X 12-Core Processor,10/06/2022,TRUE,0:00.35,33412,1967,0.35,32.62890625
SEGUL,v0.18.1,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,4060,2464926,DNA,Sequence Removal,Desktop,Linux,AMD Ryzen 9 3900X 12-Core Processor,10/06/2022,TRUE,0:00.36,37252,1980,0.36,36.37890625
SEGUL,v0.18.1,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,4060,2464926,DNA,Sequence Removal,Desktop,Linux,AMD Ryzen 9 3900X 12-Core Processor,10/06/2022,TRUE,0:00.34,36956,2014,0.34,36.08984375
