Benchmarking SEGUL Remove
0:00.69 21840 1008%
0:00.79 22044 1042%
0:00.65 21560 1064%
0:00.72 21812 986%
0:00.64 21776 1041%
0:00.66 22084 1048%
0:00.73 23168 972%
0:00.68 23668 1034%
0:00.65 21652 1041%
0:00.63 23620 1056%

Benchmarking SEGUL ignore datatype
0:00.31 24460 992%
0:00.32 24856 956%
0:00.32 24636 952%
0:00.36 22308 978%
0:00.32 23004 962%
0:00.35 23404 918%
0:00.36 23304 942%
0:00.33 25392 941%
0:00.32 21904 950%
0:00.32 22608 954%

Benchmarking AMAS
0:04.65 738724 590%
0:04.82 738204 612%
0:04.64 740248 613%
0:04.15 739116 605%
0:04.48 738248 565%
0:04.39 738200 600%
0:04.51 740176 566%
0:04.41 740340 583%
0:04.27 738668 589%
0:04.30 738876 609%

Benchmarking AMAS Check Align
