Apps,Version,Pubs,Datasets,NTAX,Alignment_counts,Site_counts,Datatype,Analyses,Platform,OS_name,CPU,Benchmark_dates,Latest_bench,Execution_time,RAM_usage_kb,Percent_CPU_usage,Execution_time_secs,RAM_usage_Mb
SEGUL,v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.65,637424,118,3.65,622.484375
SEGUL,v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.64,633056,118,3.64,618.21875
SEGUL,v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.60,657120,120,3.6,641.71875
SEGUL,v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.60,631040,120,3.6,616.25
SEGUL,v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.60,636768,120,3.6,621.84375
SEGUL,v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.62,631504,119,3.62,616.703125
SEGUL,v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.60,636896,120,3.6,621.96875
SEGUL,v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.62,680848,119,3.62,664.890625
SEGUL,v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.60,633520,120,3.6,618.671875
SEGUL,v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.60,631216,120,3.6,616.421875
SEGUL,v0.18.1,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,4060,2464926,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.64,851504,112,3.64,831.546875
SEGUL,v0.18.1,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,4060,2464926,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.10,701696,137,3.1,685.25
SEGUL,v0.18.1,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,4060,2464926,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.14,696848,135,3.14,680.515625
SEGUL,v0.18.1,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,4060,2464926,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.11,852832,137,3.11,832.84375
SEGUL,v0.18.1,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,4060,2464926,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.10,696512,137,3.1,680.1875
SEGUL,v0.18.1,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,4060,2464926,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.10,705168,136,3.1,688.640625
SEGUL,v0.18.1,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,4060,2464926,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.10,697504,137,3.1,681.15625
SEGUL,v0.18.1,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,4060,2464926,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.08,703920,134,3.08,687.421875
SEGUL,v0.18.1,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,4060,2464926,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.10,699520,137,3.1,683.125
SEGUL,v0.18.1,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,4060,2464926,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.11,702208,137,3.11,685.75
SEGUL,v0.18.1,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,3679,9251694,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.33,563296,114,3.33,550.09375
SEGUL,v0.18.1,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,3679,9251694,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.08,568304,126,3.08,554.984375
SEGUL,v0.18.1,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,3679,9251694,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.09,558464,126,3.09,545.375
SEGUL,v0.18.1,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,3679,9251694,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.09,569120,126,3.09,555.78125
SEGUL,v0.18.1,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,3679,9251694,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.10,565792,126,3.1,552.53125
SEGUL,v0.18.1,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,3679,9251694,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.09,573248,126,3.09,559.8125
SEGUL,v0.18.1,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,3679,9251694,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.09,561520,126,3.09,548.359375
SEGUL,v0.18.1,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,3679,9251694,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.08,628304,125,3.08,613.578125
SEGUL,v0.18.1,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,3679,9251694,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.09,684336,126,3.09,668.296875
SEGUL,v0.18.1,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,3679,9251694,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:03.12,566752,125,3.12,553.46875
SEGUL,v0.18.1,Chan et al. 2020,Chan et al. 2020 (DNA),50,13181,6180393,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:02.40,402000,120,2.4,392.578125
SEGUL,v0.18.1,Chan et al. 2020,Chan et al. 2020 (DNA),50,13181,6180393,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:02.07,395744,144,2.07,386.46875
SEGUL,v0.18.1,Chan et al. 2020,Chan et al. 2020 (DNA),50,13181,6180393,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:02.04,395024,145,2.04,385.765625
SEGUL,v0.18.1,Chan et al. 2020,Chan et al. 2020 (DNA),50,13181,6180393,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:02.05,395328,146,2.05,386.0625
SEGUL,v0.18.1,Chan et al. 2020,Chan et al. 2020 (DNA),50,13181,6180393,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:02.06,402816,145,2.06,393.375
SEGUL,v0.18.1,Chan et al. 2020,Chan et al. 2020 (DNA),50,13181,6180393,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:02.09,401728,143,2.09,392.3125
SEGUL,v0.18.1,Chan et al. 2020,Chan et al. 2020 (DNA),50,13181,6180393,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:02.07,401360,144,2.07,391.953125
SEGUL,v0.18.1,Chan et al. 2020,Chan et al. 2020 (DNA),50,13181,6180393,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:02.11,405632,142,2.11,396.125
SEGUL,v0.18.1,Chan et al. 2020,Chan et al. 2020 (DNA),50,13181,6180393,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:02.07,399968,144,2.07,390.59375
SEGUL,v0.18.1,Chan et al. 2020,Chan et al. 2020 (DNA),50,13181,6180393,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:02.07,401312,144,2.07,391.90625
SEGUL (--datatype ignore),v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:01.33,629440,122,1.33,614.6875
SEGUL (--datatype ignore),v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:01.09,629760,159,1.09,615
SEGUL (--datatype ignore),v0.18.1,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,4040,5398947,DNA,Alignment Concatenation,Desktop,macOS,Apple M1,10/08/2022,TRUE,0:01.04,704448,168,1.04,687.9375
