OS: openSUSE Tumbleweed x86_64
Kernel: 5.16.11-1-default
Benchmarking SEGUL
0:02.44 349420 161%
0:02.46 346820 181%
0:02.46 347176 163%
0:02.43 346440 169%
0:02.44 345744 160%
0:02.43 346304 157%
0:02.47 345876 172%
0:02.40 344712 155%
0:02.47 345000 164%
0:02.36 346436 154%

Benchmarking SEGUL ignore datatype
0:00.69 344900 287%
0:00.67 344060 339%
0:00.63 342920 288%
0:00.71 345568 299%
0:00.65 346220 288%
0:00.65 343464 300%
0:00.73 345136 289%
0:00.67 346860 371%
0:00.66 345996 401%
0:00.67 346512 324%

Benchmarking AMAS
0:05.61 634032 101%
0:05.73 634104 99%
0:05.62 633892 101%
0:05.59 634040 101%
0:05.79 633960 100%
0:05.74 634048 100%
0:05.86 634012 99%
0:05.77 633956 99%
0:05.64 634116 101%
0:05.70 634044 101%

Benchmarking AMAS Single CORE
0:05.36 630032 99%
0:05.42 630160 99%
0:05.49 629948 99%
0:05.44 629948 99%
0:05.29 629848 99%
0:05.35 630236 99%
0:05.48 630116 99%
0:05.23 630184 99%
0:05.28 629976 99%
0:05.35 629956 99%

Benchmarking AMAS KEEP EMPTY
0:05.22 716756 101%
0:05.03 716896 100%
0:05.11 718812 101%
0:05.07 716724 100%
0:05.09 716888 101%
0:05.06 716928 101%
0:05.15 716848 101%
0:05.11 716716 101%
0:05.15 718744 100%
0:05.14 716860 100%
