Benchmarking SEGUL
0:02.42 326616 171%
0:02.42 325032 165%
0:02.46 321988 166%
0:02.50 324028 158%
0:02.52 323564 155%
0:02.44 325456 164%
0:02.47 324620 150%
0:02.43 325436 159%
0:02.50 326968 175%
0:02.42 323900 164%

Benchmarking SEGUL ignore datatype
0:00.65 324240 358%
0:00.64 324444 297%
0:00.65 323868 333%
0:00.64 325020 288%
0:00.65 324016 331%
0:00.62 324524 260%
0:00.65 325248 377%
0:00.64 322664 331%
0:00.65 329092 312%
0:00.64 323588 329%

Benchmarking AMAS (--remove-empty)
0:05.58 634024 101%
0:05.63 633996 101%
0:05.64 633964 100%
0:05.59 633896 101%
0:05.71 633960 101%
0:05.69 634056 101%
0:05.84 633992 99%
0:05.69 634004 100%
0:05.60 634112 100%
0:05.71 634056 101%

Benchmarking AMAS KEEP EMPTY
0:05.03 716876 99%
0:05.12 716796 99%
0:05.10 716832 100%
0:05.12 716924 99%
0:05.00 716688 100%
0:05.14 716784 100%
0:05.02 716900 101%
0:05.11 716860 100%
0:05.03 716860 101%
0:05.07 718932 99%
