Analyses,OS_name,Apps,ntax,alignment_counts,site_counts,Core_counts,Thread_counts,RAM_size_gb,RAM_usage_kb,CPU_usage,Execution_time_secs,RAM_usage_Mb
Alignment concatenation,Linux,AMAS,126.84615384615383,5328.384615384615,5224653.076923079,12,24,32,1859865.9384615384,813.2538461538461,2.2933846153846154,1859.8659384615385
Alignment concatenation,Linux,AMAS (--check-align),107.38461538461539,5540.2307692307695,5369837.153846153,12,24,32,1859476.2769230767,212.68461538461537,92.20353846153847,1859.476276923077
Alignment concatenation,Linux,Phyluce,113.42857142857146,5248.428571428572,5773075.285714286,12,24,32,2156709.942857143,100,232.47771428571428,2156.709942857143
Alignment concatenation,Linux,SEGUL,126.84615384615383,5328.384615384615,5224653.076923079,12,24,32,547820.9846153846,153.46923076923076,3.1474615384615388,547.8209846153846
Alignment concatenation,Linux,SEGUL (--datatype ignore),126.84615384615383,5328.384615384615,5224653.076923079,12,24,32,548282.5230769231,237.21538461538458,1.1603076923076925,548.2825230769231
Alignment concatenation,macOS,AMAS,136.33333333333331,4923.222222222224,4958281.111111112,8,8,8,1824923.9111111113,412.32222222222225,4.492555555555556,1824.923911111111
Alignment concatenation,macOS,AMAS (--check-align),136.33333333333331,4923.222222222224,4958281.111111112,8,8,8,1749241.2444444443,189.2,89.01944444444443,1749.2412444444444
Alignment concatenation,macOS,SEGUL,136.33333333333331,4923.222222222224,4958281.111111112,8,8,8,588944.3555555556,129.3111111111111,3.4206666666666665,588.9443555555555
Alignment concatenation,macOS,SEGUL (--datatype ignore),136.33333333333331,4923.222222222224,4958281.111111112,8,8,8,587529.7777777778,171.13333333333333,1.3936666666666666,587.5297777777778
Alignment concatenation,macOS (Mb Air),AMAS,142.5,5421.666666666667,4584827.166666667,2,4,4,1653892.4,244.23333333333332,19.879166666666666,1653.8924
Alignment concatenation,macOS (Mb Air),AMAS (--check-align),142.5,5421.666666666667,4584827.166666667,2,4,4,1519686.9333333331,146.4333333333333,298.6846666666667,1519.6869333333332
Alignment concatenation,macOS (Mb Air),SEGUL,142.5,5421.666666666667,4584827.166666667,2,4,4,461809.13333333336,113.2,11.530666666666667,461.8091333333333
Alignment concatenation,macOS (Mb Air),SEGUL (--datatype ignore),142.5,5421.666666666667,4584827.166666667,2,4,4,461920,126.11666666666666,6.194166666666667,461.92
Alignment concatenation,Windows (WSL),AMAS,136.33333333333331,4923.222222222224,4958281.111111112,12,24,32,1888894.4444444445,241.16666666666663,18.53388888888889,1888.8944444444444
Alignment concatenation,Windows (WSL),AMAS (--check-align),142.5,5421.666666666667,4584827.166666667,12,24,32,1782851.3333333335,136.88333333333333,140.7185,1782.8513333333333
Alignment concatenation,Windows (WSL),Phyluce,113.42857142857146,5248.428571428572,5773075.285714286,12,24,32,13017459.085714286,99.98571428571428,256.0667142857143,13017.459085714287
Alignment concatenation,Windows (WSL),SEGUL,136.33333333333331,4923.222222222224,4958281.111111112,12,24,32,557088.1777777777,167.4777777777778,4.685888888888889,557.0881777777778
Alignment concatenation,Windows (WSL),SEGUL (--datatype ignore),142.5,5421.666666666667,4584827.166666667,12,24,32,545307.5333333334,214.06666666666666,2.7748333333333335,545.3075333333334
Alignment splitting,Linux,AMAS,50,13181,6180393,12,24,32,717030,100.4,5.08,717.03
Alignment splitting,Linux,AMAS (--remove-empty),50,13181,6180393,12,24,32,634014,100.1,5.693,634.014
Alignment splitting,Linux,AMAS (single core),50,13181,6180393,12,24,32,630076.8,99,5.434,630.0767999999999
Alignment splitting,Linux,SEGUL,50,13181,6180393,12,24,32,346942.8,165.3,2.46,346.94280000000003
Alignment splitting,Linux,SEGUL (--datatype ignore),50,13181,6180393,12,24,32,347052.8,327,0.677,347.0528
Summary statistics,Linux,AMAS,136.33333333333331,4923.222222222224,4958281.111111112,12,24,32,1468536.0444444446,421.5666666666667,53.55866666666667,1468.5360444444443
Summary statistics,Linux,Phyluce,113.42857142857146,5248.428571428572,5773075.285714286,12,24,32,49963.54285714286,2288.9,29.7,49.963542857142855
Summary statistics,Linux,SEGUL,136.33333333333331,4923.222222222224,4958281.111111112,12,24,32,85911.7777777778,1985.8666666666666,0.8947777777777778,85.91177777777777
Summary statistics,macOS,AMAS,136.33333333333331,4923.222222222224,4958281.111111112,8,8,8,1099206.0444444444,348.6777777777777,67.829,1099.2060444444444
Summary statistics,macOS,SEGUL,136.33333333333331,4923.222222222224,4958281.111111112,8,8,8,87664.17777777776,726.8111111111111,2.0404444444444443,87.66417777777778
Summary statistics,macOS (Mb Air),AMAS,142.5,5421.666666666667,4584827.166666667,2,4,4,2280869,93.01666666666667,411.25916666666666,2280.869
Summary statistics,macOS (Mb Air),SEGUL,142.5,5421.666666666667,4584827.166666667,2,4,4,68787.26666666666,286.93333333333334,15.740333333333334,68.78726666666667
Summary statistics,Windows (WSL),AMAS,142.5,5421.666666666667,4584827.166666667,12,24,32,7000540.933333334,99.6,136.955,7000.540933333334
Summary statistics,Windows (WSL),Phyluce,105.5,6240,5823990,12,24,32,44743.4,2240.45,31.726,44.7434
Summary statistics,Windows (WSL),SEGUL,142.5,5421.666666666667,4584827.166666667,12,24,32,90233.20000000001,1679.3666666666666,1.1773333333333333,90.2332
