Darwin Kernel Version 20.1.0: Sat Oct 31 00:07:11 PDT 2020; root:xnu-7195.50.7~2/RELEASE_X86_64
segul 0.16.3

Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:14.42 43836 276%
0:13.50 42896 292%
0:15.33 42508 258%
0:11.77 44552 338%
0:12.97 43696 307%
0:14.28 43648 278%
0:12.15 43904 324%
0:11.38 42808 345%
0:12.02 43020 328%
0:13.98 43676 286%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:20.06 92776 249%
0:13.22 102036 355%
0:13.06 101464 362%
0:17.40 99156 275%
0:15.21 99224 311%
0:13.31 101200 350%
0:13.07 101252 360%
0:17.20 93328 278%
0:14.92 101056 318%
0:12.92 101016 364%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:17.38 29232 330%
0:20.96 29692 271%
0:17.40 29312 320%
0:15.62 29272 355%
0:20.08 29100 282%
0:18.62 29224 306%
0:15.66 28956 353%
0:18.20 30208 306%
0:19.51 29500 287%
0:16.28 29408 338%
Dataset path: alignments/chan_2020_loci/
0:13.38 76456 288%
0:13.05 76276 268%
0:12.71 76580 274%
0:10.27 76524 334%
0:10.08 76120 341%
0:09.83 75804 349%
0:11.98 76192 289%
0:12.70 77140 274%
0:10.65 76220 324%
0:09.78 76092 350%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
