Apps,Analyses,Datasets,OS_name,ntax,alignment_counts,site_counts,Core_counts,Thread_counts,RAM_size_gb,RAM_usage_kb,CPU_usage,Execution_time_secs,RAM_usage_Mb
AMAS,Alignment concatenation,Chan et al. 2020 (DNA),Linux,50,13181,6180393,12,24,32,1292265.2,707.9,1.734,1292.2652
AMAS,Alignment concatenation,Chan et al. 2020 (DNA),macOS,50,13181,6180393,8,8,8,1413867.2,434.3,2.785,1413.8672
AMAS,Alignment concatenation,Chan et al. 2020 (DNA),macOS (Mb Air),50,13181,6180393,2,4,4,1345673.6,255,12.669,1345.6736
AMAS,Alignment concatenation,Chan et al. 2020 (DNA),Windows (WSL),50,13181,6180393,12,24,32,1291503.2,206.5,10.871,1291.5031999999999
AMAS,Alignment concatenation,Esselstyn et al. 2021 (DNA),Linux,102,4040,5398947,12,24,32,2054199.8,809.1,1.6575,2054.1998
AMAS,Alignment concatenation,Esselstyn et al. 2021 (DNA),macOS,102,4040,5398947,8,8,8,1842837.6,379.6,3.821,1842.8376
AMAS,Alignment concatenation,Esselstyn et al. 2021 (DNA),macOS (Mb Air),102,4040,5398947,2,4,4,1806207.2,230.7,16.434,1806.2072
AMAS,Alignment concatenation,Esselstyn et al. 2021 (DNA),Windows (WSL),102,4040,5398947,12,24,32,2060605.6,140.7,25.536,2060.6056
AMAS,Alignment concatenation,Jarvis et al. 2014 (DNA),Linux,49,3679,9251694,12,24,32,1843010.2,1109.35,1.5785,1843.0102
AMAS,Alignment concatenation,Jarvis et al. 2014 (DNA),macOS,49,3679,9251694,8,8,8,1939936.8,466.45,3.7750000000000004,1939.9368
AMAS,Alignment concatenation,Jarvis et al. 2014 (DNA),macOS (Mb Air),49,3679,9251694,2,4,4,1840904,257.2,17.112,1840.904
AMAS,Alignment concatenation,Jarvis et al. 2014 (DNA),Windows (WSL),49,3679,9251694,12,24,32,1844149.8,177.1,20.566,1844.1498
AMAS,Alignment concatenation,Oliveros et al. 2019 (DNA),Linux,221,4060,2464926,12,24,32,2317183.4,643.25,3.6735,2317.1834
AMAS,Alignment concatenation,Oliveros et al. 2019 (DNA),macOS,221,4060,2464926,8,8,8,2166244,365.5,6.766,2166.244
