Apps,Analyses,ntax,alignment_counts,site_counts,Core_counts,Thread_counts,RAM_size_gb,RAM_usage_kb,CPU_usage,Execution_time_secs,RAM_usage_Mb
AMAS,Alignment concatenation,137.45454545454547,5013.848484848481,4890380.393939396,9.09090909090909,16,20.36363636363636,1818745.4181818184,443.34848484848476,10.539333333333333,1818.7454181818182
AMAS,Alignment splitting,50,13181,6180393,12,24,32,717030,100.4,5.08,717.03
AMAS,Summary statistics,138.8000000000001,5122.600000000002,4808899.5333333295,8.800000000000002,15.199999999999998,19.2,2626604.613333335,269.59666666666675,146.05913333333334,2626.6046133333334
AMAS (--check-align),Alignment concatenation,130.36666666666656,5214.399999999999,4871812.633333336,8.800000000000002,15.199999999999998,19.2,1740920.4666666668,175.75333333333342,146.72036666666673,1740.9204666666667
AMAS (--remove-empty),Alignment splitting,50,13181,6180393,12,24,32,634014,100.1,5.693,634.014
AMAS (single core),Alignment splitting,50,13181,6180393,12,24,32,630076.8,99,5.434,630.0767999999999
Phyluce,Alignment concatenation,113.42857142857142,5248.4285714285725,5773075.285714286,12,24,32,7587084.514285715,99.99285714285715,244.27221428571428,7587.084514285714
Phyluce,Summary statistics,110.54545454545458,5609,5791589.727272727,12,24,32,48065.3090909091,2271.2818181818184,30.436727272727275,48.06530909090909
SEGUL,Alignment concatenation,137.45454545454547,5013.848484848481,4890380.393939396,9.09090909090909,16,20.36363636363636,546173.4060606059,142.59696969696972,5.195666666666667,546.173406060606
SEGUL,Alignment splitting,50,13181,6180393,12,24,32,346942.8,165.3,2.46,346.94280000000003
SEGUL,Summary statistics,138.8000000000001,5122.600000000002,4808899.5333333295,8.800000000000002,15.199999999999998,19.2,83876.88000000005,1207.063333333333,4.2641,83.87688
SEGUL (--datatype ignore),Alignment concatenation,138.8000000000001,5122.600000000002,4808899.5333333295,8.800000000000002,15.199999999999998,19.2,542432.04,188.87333333333328,2.5628333333333333,542.43204
SEGUL (--datatype ignore),Alignment splitting,50,13181,6180393,12,24,32,347052.8,327,0.677,347.0528
