Darwin Kernel Version 21.2.0: Sun Nov 28 20:29:10 PST 2021; root:xnu-8019.61.5~1/RELEASE_ARM64_T8101
segul 0.16.3

Benchmarking SEGUL
Dataset path: alignments/wu_2018_aa_loci/
0:01.48 72432 731%
0:01.49 71440 727%
0:01.48 71984 735%
0:01.48 71520 734%
0:01.49 72016 724%
0:01.48 72256 735%
0:01.48 72240 732%
0:01.49 72352 726%
0:01.49 71648 724%
0:01.50 71760 725%
Dataset path: alignments/shen_2018_loci_aa/
0:02.67 176896 674%
0:02.48 181536 730%
0:02.47 180400 736%
0:02.47 176032 735%
0:02.47 179728 738%
0:02.47 175680 737%
0:02.48 175664 735%
0:02.47 176576 739%
0:02.48 177968 734%
0:02.46 173600 738%

Benchmarking AMAS
Dataset path: alignments/wu_2018_aa_loci/
0:26.76 801264 456%
0:27.85 784768 437%
0:26.47 794096 461%
0:26.76 803232 458%
0:26.53 800432 461%
0:26.01 798000 466%
0:27.21 809920 449%
0:27.00 795184 457%
0:26.01 809680 466%
0:27.18 795472 455%
Dataset path: alignments/shen_2018_loci_aa/
1:09.11 1236528 304%
1:18.05 1224288 268%
1:11.12 1242080 294%
1:12.95 1249520 285%
1:17.81 1236160 263%
1:17.80 1231616 261%
1:11.53 1247600 285%
1:14.52 1239008 273%
1:19.22 1247792 264%
1:19.29 1242512 265%
