Darwin Kernel Version 21.6.0: Wed Aug 10 14:28:35 PDT 2022; root:xnu-8020.141.5~2/RELEASE_ARM64_T8101
segul 0.18.1

Benchmarking SEGUL
Dataset path: alignments/wu_2018_aa_loci/
0:01.70 374320 678%
0:01.71 375168 676%
0:01.71 374832 676%
0:01.71 374432 677%
0:01.72 375504 670%
0:01.71 375072 677%
0:01.70 374048 681%
0:01.70 375776 678%
0:01.70 374608 680%
0:01.71 375072 675%
Dataset path: alignments/shen_2018_loci_aa/
0:03.04 790912 626%
0:02.85 796672 671%
0:02.84 790480 679%
0:02.85 788000 678%
0:02.86 796576 675%
0:02.84 794544 677%
0:02.83 788208 680%
0:02.84 794912 675%
0:02.85 796320 671%
0:02.83 791504 679%

Benchmarking AMAS
Dataset path: alignments/wu_2018_aa_loci/
0:24.77 828048 448%
0:24.69 808928 450%
0:24.97 817616 445%
0:24.77 816080 449%
0:24.91 817040 448%
0:24.73 810688 450%
0:24.87 825088 447%
0:24.86 823440 448%
0:24.79 811456 450%
0:24.89 811840 450%
Dataset path: alignments/shen_2018_loci_aa/
0:41.87 1277136 455%
0:41.58 1244272 453%
0:41.26 1232880 460%
0:41.98 1247968 453%
0:42.29 1245712 459%
0:42.45 1263072 457%
0:44.93 1244640 441%
0:42.74 1245440 447%
0:46.27 1249248 430%
0:42.17 1241968 450%
