Darwin Kernel Version 20.1.0: Sat Oct 31 00:07:11 PDT 2020; root:xnu-7195.50.7~2/RELEASE_X86_64
segul 0.16.3

Benchmarking SEGUL
Dataset path: alignments/wu_2018_aa_loci/
0:09.05 56676 371%
0:11.15 57584 306%
0:11.70 63692 291%
0:10.83 72276 314%
0:09.10 55820 365%
0:09.17 56676 362%
0:08.95 56620 374%
0:11.40 56592 297%
0:12.04 64384 282%
0:10.07 56584 330%

Dataset path: alignments/shen_2018_loci_aa/
0:14.50 114580 341%
0:13.07 118904 370%
0:17.08 113288 287%
0:15.81 116132 309%
0:13.29 116844 361%
0:13.11 120232 370%
0:16.63 112564 295%
0:16.00 115288 303%
0:13.20 113548 368%
0:13.32 116296 361%

Benchmarking AMAS
Dataset path: alignments/wu_2018_aa_loci/
4:17.05 2464252 95%
4:29.05 2202548 94%
4:14.35 2376456 95%
4:18.06 2343856 95%
4:31.93 2255576 95%
4:17.61 2214804 95%
4:21.88 2158476 95%
4:13.56 2566316 95%
4:16.96 2273592 95%
4:14.82 2505716 95%

Dataset path: alignments/shen_2018_loci_aa/
8:41.72 2527972 85%
8:07.15 2525072 89%
8:13.06 1845168 91%
9:06.31 2534420 83%
8:47.00 2089620 87%
8:06.68 2524104 89%
8:19.43 2291040 89%
8:32.39 2243432 88%
8:42.97 2065244 87%
8:21.91 2190512 88%
