CPU(s):                          24
On-line CPU(s) list:             0-23
Model name:                      AMD Ryzen 9 5900X 12-Core Processor
Thread(s) per core:              2
Core(s) per socket:              12
CPU(s) scaling MHz:              63%
NUMA node0 CPU(s):               0-23
6.3.7-1-default
segul 0.19.0
Benchmarking SEGUL
Dataset path: alignments/wu_2018_aa_loci/
0:00.85 380012 1505%
0:00.85 378996 1490%
0:00.83 378932 1565%
0:00.90 383648 1413%
0:00.82 381160 1616%
0:00.82 379944 1602%
0:00.82 380780 1617%
0:00.83 381256 1593%
0:00.82 381468 1615%
0:00.82 381772 1619%
Dataset path: alignments/shen_2018_loci_aa/
0:01.37 651812 1548%
0:01.39 658812 1526%
0:01.37 659744 1549%
0:01.38 664628 1531%
0:01.37 655644 1547%
0:01.38 654356 1532%
0:01.37 648088 1547%
0:01.39 656776 1520%
0:01.38 651824 1538%
0:01.39 662320 1520%

Benchmarking AMAS
Dataset path: alignments/wu_2018_aa_loci/
0:36.47 1003232 347%
0:36.63 1003732 349%
0:36.53 1003344 347%
0:36.43 1003488 348%
0:36.67 1003100 347%
0:35.08 1003624 358%
0:36.61 1005748 345%
0:36.65 1003700 347%
0:36.51 1003448 347%
0:35.93 1004932 351%
Dataset path: alignments/shen_2018_loci_aa/
1:00.51 1729812 332%
1:00.13 1726900 334%
1:00.66 1727844 333%
0:59.40 1725160 340%
1:00.67 1724660 329%
0:59.75 1726236 337%
0:59.33 1725640 337%
0:59.42 1726452 338%
1:00.63 1730428 332%
1:00.46 1726192 334%
