CPU(s):                          24
On-line CPU(s) list:             0-23
Model name:                      AMD Ryzen 9 3900X 12-Core Processor
Thread(s) per core:              2
Core(s) per socket:              12
NUMA node0 CPU(s):               0-23
5.16.11-1-default
segul 0.16.3
Benchmarking SEGUL
Dataset path: alignments/chan_2020_loci/
0:00.72 89852 1730%
0:00.74 87952 1699%
0:00.73 90472 1733%
0:00.72 89848 1735%
0:00.73 93092 1732%
0:00.73 90608 1733%
0:00.73 91184 1745%
0:00.73 88092 1729%
0:00.73 88544 1725%
0:00.73 87052 1735%

Benchmarking AMAS
Dataset path: alignments/chan_2020_loci/
0:40.56 1005868 412%
0:40.07 1005832 413%
0:41.02 1007888 408%
0:40.31 1007920 415%
0:39.99 1005676 416%
0:39.42 1007780 422%
0:39.48 1006204 422%
0:39.95 1006816 417%
0:39.49 1004840 421%
0:40.34 1007724 412%

Benchmarking Phyluce
Dataset path: alignments/chan_2020_loci/
0:19.45 68696 2286%
0:19.15 66772 2285%
0:19.26 68844 2288%
0:19.57 66828 2269%
0:19.55 66948 2282%
0:19.05 68040 2308%
0:19.57 67036 2278%
0:19.35 66752 2298%
0:19.25 66912 2290%
0:19.19 66976 2284%
