Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:01.61 57648 738%
0:01.61 57248 740%
0:01.61 58176 743%
0:01.61 58048 743%
0:01.61 58128 744%
0:01.61 58864 744%
0:01.61 58512 745%
0:01.61 57216 744%
0:01.68 58320 711%
0:01.61 57552 744%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:02.69 131408 608%
0:02.29 116000 725%
0:02.29 114464 726%
0:02.29 115424 722%
0:02.28 123040 726%
0:02.28 114512 729%
0:02.28 114448 726%
0:02.29 114368 724%
0:02.30 115344 723%
0:02.29 115168 727%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:02.60 44208 684%
0:02.35 44032 764%
0:02.36 43952 763%
0:02.35 44848 763%
0:02.36 44672 764%
0:02.38 44544 755%
0:02.37 44016 757%
0:02.35 44000 764%
0:02.36 43664 761%
0:02.36 44512 761%
Dataset path: alignments/chan_2020_loci/
0:02.23 96768 454%
0:01.96 95264 526%
0:01.60 98432 672%
0:01.57 96608 694%
0:01.56 97216 696%
0:01.57 99840 697%
0:01.58 100000 687%
0:01.56 94800 696%
0:01.56 100144 699%
0:01.56 99520 695%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:38.40 973392 414%
0:37.30 961328 422%
0:37.63 975440 425%
0:37.35 960176 428%
0:37.82 971968 422%
0:37.41 945376 424%
0:36.74 957856 432%
0:35.61 970896 448%
0:36.13 964464 439%
0:36.70 963728 435%
Dataset path: alignments/oliveros_2019_80p_trimmed
2:34.76 1444304 171%
2:52.76 1455584 148%
2:24.11 1455472 185%
2:33.29 1447472 172%
2:48.49 1450384 153%
2:17.84 1443440 192%
2:40.21 1449408 162%
2:37.28 1450736 165%
2:28.63 1448816 179%
2:56.87 1467552 145%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
1:28.10 1101920 243%
1:24.08 1106784 261%
1:22.32 1106672 267%
1:39.20 1095504 217%
1:35.04 1094224 222%
1:27.65 1056752 239%
1:19.04 1104336 275%
1:21.72 1089312 269%
1:24.59 1095408 260%
1:44.68 1083232 200%
Dataset path: alignments/chan_2020_loci/
0:31.92 818832 439%
0:32.80 802560 430%
0:30.76 816720 455%
0:30.52 800528 459%
0:33.89 825168 413%
0:31.23 823712 444%
0:32.06 811344 436%
0:31.74 789408 439%
0:30.79 815120 449%
0:31.38 832480 447%
