Darwin Kernel Version 20.1.0: Sat Oct 31 00:07:11 PDT 2020; root:xnu-7195.50.7~2/RELEASE_X86_64
segul 0.16.3

Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:14.66 43680 271%
0:15.12 43184 267%
0:14.85 44220 270%
0:15.78 43360 256%
0:15.09 43188 269%
0:14.70 44060 271%
0:15.60 43096 260%
0:14.54 43352 277%
0:14.96 43696 269%
0:16.81 41192 242%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:21.79 84808 234%
0:21.82 83860 236%
0:19.30 101392 256%
0:19.93 86572 254%
0:21.47 81700 236%
0:19.81 85148 257%
0:21.04 84196 238%
0:19.61 81820 252%
0:17.81 95460 274%
0:18.02 95016 268%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:21.54 29400 271%
0:20.57 29332 274%
0:21.05 29632 273%
0:21.03 29376 272%
0:20.35 29308 280%
0:19.37 29232 290%
0:21.00 29336 269%
0:20.47 29472 277%
0:20.48 29984 276%
0:20.01 29596 282%
Dataset path: alignments/chan_2020_loci/
0:16.07 76388 253%
0:14.59 76436 256%
0:13.26 76648 267%
0:15.63 76480 227%
0:12.56 75864 279%
0:12.98 76528 268%
0:13.21 76384 264%
0:12.66 77152 276%
0:13.07 76816 267%
0:12.41 76292 281%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
6:13.54 1948084 94%
5:55.27 1985672 95%
5:48.47 2085688 96%
5:47.14 2299476 96%
5:14.53 2390392 96%
5:03.83 2365336 96%
5:21.53 2170168 95%
5:05.26 2399812 96%
4:59.69 2080456 96%
5:00.47 2273536 96%
Dataset path: alignments/oliveros_2019_80p_trimmed
10:59.42 2362340 85%
10:00.86 2106516 93%
10:05.88 2460732 90%
9:58.48 2155576 92%
10:00.39 2084980 93%
10:19.67 2220192 90%
9:59.50 2597776 91%
11:33.62 2343680 84%
10:03.84 2195928 93%
9:31.97 2362208 94%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
8:03.69 2422768 94%
8:01.74 2319808 95%
7:42.84 2502484 95%
8:06.32 2364688 94%
8:07.72 2325108 95%
8:17.08 2319312 94%
8:23.95 1953428 94%
7:55.94 2374872 94%
8:05.93 2356860 95%
8:00.20 2485888 95%
Dataset path: alignments/chan_2020_loci/
4:23.68 2209472 95%
4:36.33 2520332 95%
4:28.32 2216256 95%
4:40.49 2267384 95%
4:37.71 1951956 95%
4:22.85 2247712 95%
4:29.20 2231504 95%
4:33.46 2256792 95%
4:29.95 2144784 95%
4:30.99 2294008 95%
