Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:00.72 62940 1975%
0:00.71 63076 2051%
0:00.71 61644 2036%
0:00.70 62212 2046%
0:00.69 63404 2056%
0:00.70 60548 2051%
0:00.70 63868 2058%
0:00.70 65504 2051%
0:00.70 61744 2059%
0:00.70 61408 2047%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:01.16 114624 1908%
0:01.16 112792 1889%
0:01.17 110204 1886%
0:01.17 111620 1898%
0:01.17 109556 1890%
0:01.16 110076 1888%
0:01.16 111596 1901%
0:01.18 111432 1898%
0:01.17 109936 1909%
0:01.16 113212 1908%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:01.00 52980 2231%
0:00.99 51620 2232%
0:01.00 50684 2237%
0:00.99 49980 2236%
0:01.00 50392 2229%
0:01.01 51940 2228%
0:01.00 50488 2235%
0:01.01 52096 2217%
0:01.03 50408 2178%
0:01.00 50508 2226%
Benchmarking SEGUL ignore datatype
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:00.70 63600 2061%
0:00.69 61112 2052%
0:00.69 62660 2056%
0:00.69 61620 2054%
0:00.71 65088 2071%
0:00.71 64276 2057%
0:00.71 63196 2057%
0:00.71 63932 2064%
0:00.71 63800 2066%
0:00.70 65344 2050%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:01.16 112608 1898%
0:01.16 109520 1904%
0:01.15 110820 1893%
0:01.17 113208 1899%
0:01.17 113316 1905%
0:01.16 110964 1906%
0:01.17 112404 1902%
0:01.15 115724 1920%
0:01.16 111044 1902%
0:01.16 111388 1904%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:00.99 52300 2235%
0:01.00 52592 2217%
0:01.01 52340 2237%
0:01.01 51848 2222%
0:01.00 52316 2225%
0:01.01 51764 2235%
0:01.02 51968 2232%
0:01.00 50276 2230%
0:01.01 52108 2230%
0:01.02 49812 2238%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:41.82 1243504 424%
0:42.00 1242780 427%
0:41.77 1243468 425%
0:42.11 1242872 426%
0:42.04 1244844 422%
0:42.19 1243136 423%
0:42.06 1243276 422%
0:41.75 1243432 429%
0:42.11 1245612 425%
0:42.03 1243112 425%
Dataset path: alignments/oliveros_2019_80p_trimmed
1:20.14 2022280 390%
1:19.35 2024204 392%
1:19.62 2022116 389%
1:19.42 2022492 389%
1:16.24 2022512 404%
1:19.15 2022556 394%
1:18.98 2022236 391%
1:19.30 2024416 391%
1:19.51 2022128 390%
1:19.12 2022228 391%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:48.41 1476292 494%
0:48.35 1477044 494%
0:48.35 1476480 494%
0:48.70 1476364 487%
0:48.47 1474836 491%
0:48.44 1474260 492%
0:48.60 1473508 489%
0:48.30 1473916 492%
0:48.37 1478116 494%
0:48.35 1474436 498%

Benchmarking Phyluce
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:26.13 46572 2257%
0:25.73 46376 2265%
0:25.73 49060 2276%
0:26.23 46400 2263%
0:26.13 46436 2271%
0:26.23 46484 2258%
0:26.23 46724 2281%
0:26.13 46564 2267%
0:26.13 46392 2269%
0:25.93 48456 2282%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:35.36 48680 2294%
0:35.35 47436 2288%
0:35.75 47520 2295%
0:35.75 47440 2286%
0:34.85 47332 2294%
0:35.26 49328 2284%
0:35.65 47332 2292%
0:35.76 47632 2293%
0:35.45 47456 2294%
0:35.55 48656 2293%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:32.54 45864 2315%
0:32.55 45952 2307%
0:32.24 46104 2305%
0:32.24 46000 2300%
0:32.64 46088 2304%
0:32.84 46012 2307%
0:32.54 47080 2305%
0:32.24 47408 2307%
0:32.65 45992 2297%
0:32.54 46084 2302%
