CPU(s):              24
On-line CPU(s) list: 0-23
Thread(s) per core:  2
Core(s) per socket:  12
Model name:          AMD Ryzen 9 3900X 12-Core Processor
4.4.0-22000-Microsoft
segul 0.16.3

Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:00.99 61904 1814%
0:00.99 62728 1792%
0:01.01 62240 1798%
0:00.98 62240 1863%
0:01.00 62448 1852%
0:01.02 61956 1757%
0:01.01 62456 1761%
0:01.07 62224 1669%
0:00.98 62640 1854%
0:00.97 61628 1844%

Dataset path: alignments/oliveros_2019_80p_trimmed
0:01.31 111320 1678%
0:01.31 111272 1634%
0:01.34 110312 1635%
0:01.30 112004 1645%
0:01.31 110448 1602%
0:01.30 109948 1729%
0:01.31 110128 1636%
0:01.32 112044 1636%
0:01.35 110832 1596%
0:01.32 110936 1625%

Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:01.14 51196 1979%
0:01.12 51216 1972%
0:01.11 50304 1946%
0:01.09 50220 2027%
0:01.09 50576 2019%
0:01.08 50676 1973%
0:01.08 51488 1991%
0:01.10 51044 1994%
0:01.11 51072 2009%
0:01.11 51360 1949%

Dataset path: alignments/chan_2020_loci/
0:01.36 84784 1331%
0:01.27 85208 1426%
0:01.27 85280 1457%
0:01.26 85576 1404%
0:01.26 85752 1462%
0:01.27 84828 1414%
0:01.24 85564 1510%
0:01.25 85284 1464%
0:01.22 85640 1535%
0:01.22 85024 1521%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
2:02.09 5807736 99%
1:57.73 5807740 99%
1:57.91 5807736 100%
1:58.04 5807700 99%
1:57.98 5807732 100%
1:58.26 5807732 99%
1:57.96 5807776 100%
1:58.02 5807724 100%
1:58.18 5807732 100%
1:57.45 5807732 99%

Dataset path: alignments/oliveros_2019_80p_trimmed
3:11.54 9878500 100%
3:10.93 9878564 100%
3:09.80 9878524 100%
3:10.94 9878512 100%
3:13.02 9878524 99%
3:10.38 9878528 100%
3:11.23 9878548 100%
3:10.65 9878512 100%
3:11.82 9878500 100%
3:11.21 9878556 100%

Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
2:57.43 8923640 99%
2:55.48 8923748 99%
2:57.64 8923668 100%
2:55.58 8923684 100%
2:55.30 8923992 100%
2:57.87 8923584 100%
2:54.99 8923724 100%
2:54.58 8923956 100%
2:55.37 8923800 100%
2:54.78 8923532 100%

Dataset path: alignments/chan_2020_loci/
1:44.76 5052208 99%
1:43.69 5052224 100%
1:44.44 5052212 100%
1:43.64 5052216 99%
1:44.33 5052228 100%
1:44.00 5052300 99%
1:43.72 5052200 99%
1:43.69 5052220 100%
1:43.63 5052248 100%
1:43.71 5052256 100%

Benchmarking Phyluce
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:29.33 39536 2200%
0:29.69 39536 2196%
0:28.81 39536 2206%
0:29.67 39532 2216%
0:29.66 39540 2197%
0:29.28 39536 2205%
0:29.39 39540 2211%
0:29.47 39540 2212%
0:29.41 39536 2204%
0:29.24 39540 2199%

Dataset path: alignments/oliveros_2019_80p_trimmed
0:39.44 40388 2241%
0:38.98 40388 2255%
0:39.09 40384 2254%
0:39.02 40388 2259%
0:39.56 40388 2242%
0:39.10 40384 2256%
0:39.09 40388 2259%
0:39.64 40388 2247%
0:39.05 40384 2249%
0:39.33 40384 2248%

Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:36.24 39048 2290%
0:36.20 39044 2295%
0:36.43 39040 2294%
0:36.53 39040 2295%
0:36.54 39040 2286%
0:35.88 39044 2288%
0:36.69 39044 2292%
0:36.84 39048 2275%
0:36.23 39040 2293%
0:36.57 39044 2291%

Dataset path: alignments/chan_2020_loci/
0:21.91 60004 2217%
0:21.98 60008 2203%
0:22.14 60008 2212%
0:21.69 60004 2211%
0:21.62 60004 2234%
0:21.94 60008 2227%
0:21.57 60008 2218%
0:21.88 60016 2218%
0:21.86 60004 2210%
0:22.05 60004 2213%
