CPU(s):                          24
On-line CPU(s) list:             0-23
Model name:                      AMD Ryzen 9 3900X 12-Core Processor
Thread(s) per core:              2
Core(s) per socket:              12
NUMA node0 CPU(s):               0-23
5.16.11-1-default
segul 0.18.1
Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:00.79 142408 1954%
0:00.78 143184 1999%
0:00.81 143348 1952%
0:00.78 144884 2001%
0:00.78 141896 2001%
0:00.79 142912 2004%
0:00.78 143532 2008%
0:00.78 143980 2001%
0:00.78 144792 1997%
0:00.79 141860 1996%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:01.30 336644 1849%
0:01.29 336984 1848%
0:01.30 336888 1852%
0:01.30 336656 1845%
0:01.37 335860 1726%
0:01.29 336728 1848%
0:01.29 337108 1857%
0:01.30 334520 1844%
0:01.30 337436 1849%
0:01.30 338060 1846%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:01.06 99828 2186%
0:01.06 102396 2198%
0:01.07 101632 2193%
0:01.06 101944 2193%
0:01.06 101540 2193%
0:01.06 102072 2196%
0:01.06 102392 2193%
0:01.07 102400 2189%
0:01.08 100716 2137%
0:01.07 102692 2195%
Dataset path: alignments/chan_2020_loci/
0:00.85 240808 1680%
0:00.85 239736 1686%
0:00.86 239900 1675%
0:00.85 239472 1669%
0:00.84 239344 1684%
0:00.85 239620 1686%
0:00.85 239976 1684%
0:00.88 242008 1631%
0:00.85 240652 1675%
0:00.85 239568 1683%

Benchmarking AMAS
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:41.70 1244168 424%
0:42.04 1243444 422%
0:41.71 1243016 429%
0:41.80 1243220 425%
0:41.63 1245248 425%
0:42.02 1244860 421%
0:41.90 1244492 424%
0:42.08 1243116 425%
0:41.55 1243048 428%
0:41.85 1245184 429%
Dataset path: alignments/oliveros_2019_80p_trimmed
1:19.18 2022412 389%
1:19.10 2024688 390%
1:18.81 2022260 390%
1:19.03 2022336 390%
1:15.25 2023968 403%
1:18.82 2022460 390%
1:19.04 2022412 390%
1:19.18 2022764 389%
1:15.80 2022240 400%
1:19.00 2023780 388%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:48.28 1475712 492%
0:47.86 1476364 499%
0:48.05 1474904 497%
0:48.23 1478336 492%
0:48.15 1476208 491%
0:48.04 1473980 495%
0:48.17 1474184 492%
0:47.95 1473384 494%
0:48.04 1473892 493%
0:47.96 1476920 493%
Dataset path: alignments/chan_2020_loci/
0:39.80 1005832 416%
0:40.50 1008000 411%
0:39.68 1005780 417%
0:39.52 1005768 418%
0:39.55 1005868 422%
0:39.26 1006068 420%
0:39.44 1005800 418%
0:40.61 1005860 409%
0:40.26 1008120 413%
0:40.04 1005776 415%

Benchmarking Phyluce
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:25.94 46516 2258%
0:26.23 46576 2259%
0:26.34 46256 2251%
0:26.45 47872 2280%
0:26.03 46724 2267%
0:26.13 50508 2271%
0:26.44 47768 2267%
0:26.14 46520 2288%
0:26.04 48176 2275%
0:25.83 46604 2286%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:35.55 47904 2284%
0:35.15 47512 2296%
0:35.56 47536 2293%
0:35.66 47316 2291%
0:35.95 47624 2302%
0:35.16 47144 2301%
0:35.55 47668 2300%
0:35.26 47464 2304%
0:35.05 47292 2284%
0:35.36 47824 2296%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:32.74 45948 2310%
0:32.25 46020 2309%
0:32.65 46112 2300%
0:32.74 45940 2308%
0:32.34 46156 2310%
0:32.54 46040 2313%
0:32.85 49356 2298%
0:32.54 45940 2310%
0:32.54 45996 2306%
0:32.04 46056 2311%
Dataset path: alignments/chan_2020_loci/
0:19.16 66700 2303%
0:19.35 66868 2304%
0:19.15 66976 2299%
0:19.45 67660 2308%
0:19.56 66952 2269%
0:19.25 67040 2293%
0:19.45 66736 2278%
0:19.26 66924 2300%
0:19.36 66996 2286%
0:19.38 66764 2278%
