Programs,execution_time,execution_time_secs,memory_usage,cpu_usage
SEGUL,00:01.8,1.80,50544,735%
SEGUL,00:01.9,1.86,48968,746%
SEGUL,00:02.1,2.06,49828,746%
SEGUL,00:02.1,2.08,49936,748%
SEGUL,00:02.0,2.04,49676,742%
SEGUL,00:01.9,1.88,48636,745%
SEGUL,00:01.9,1.89,51492,737%
SEGUL,00:01.9,1.90,50404,746%
SEGUL,00:01.9,1.90,48984,745%
SEGUL,00:02.2,2.21,48844,745%
SEGUL,00:02.2,2.21,48608,744%
Phyluce,01:27.6,87.58,49120,784%
Phyluce,01:31.8,91.76,50664,784%
Phyluce,01:42.6,102.60,56988,787%
Phyluce,01:31.9,91.89,50180,780%
Phyluce,01:31.6,91.59,49848,785%
Phyluce,01:35.0,94.97,48116,788%
Phyluce,01:35.3,95.30,50676,785%
Phyluce,01:31.6,91.57,47620,785%
Phyluce,01:35.5,95.50,56544,780%
Phyluce,01:37.1,97.11,50236,775%
Phyluce,01:46.3,106.33,57384,779%
