Analyses,Apps,Execution_time_secs,RAM_usage_Mb,Percent_CPU_usage,diff_SEGUL_exe_con,diff_SEGUL_mem_con,diff_SEGUL_exe_ig_con,diff_SEGUL_ig_mem_con,diff_SEGUL_exe_sum,diff_SEGUL_mem_sum
Alignment Concatenation,AMAS,2.0425,1701.02383,791.4333333333333,0.8508053318522633,0.29950784787065565,2.1713323883770372,3.3383704230239153,2.161756923619686,5.633979395790953
Alignment Concatenation,AMAS (--check-align),128.27366666666666,1700.5697283333334,192.08333333333337,53.432518744793114,0.2995878251927447,136.36463501063074,3.3374792188289417,135.76327394602222,5.632475360757185
Alignment Concatenation,SEGUL,2.4006666666666665,509.4699865,156.23333333333332,1,1,2.5520907158043937,0.999868140794943,2.5408361263009347,1.6874210437809651
Alignment Concatenation,SEGUL (--datatype ignore),0.9406666666666668,509.53717366666666,239.2,0.3918356012218829,0.999868140794943,1,1,0.9955900511554068,1.6876435751212002
Alignment Concatenation,goalign (multi-core),5.18,2393.95358,104.13333333333334,2.1577339627881145,0.21281531553339478,5.506732813607369,4.698290338216023,5.482448403598518,7.929039503344282
Alignment Concatenation,goalign (single-core),4.773666666666666,2366.348378333333,99.9,1.988475423493474,0.21529796337884533,5.074769666902905,4.644113326030597,5.052390192273769,7.837608016810284
Alignment Conversion,AMAS,1.3268333333333333,487.07838533333336,1083.25,0.5526936961955012,1.0459712478338428,1.410524450744153,0.9559231602834427,1.4043041100723233,1.6132575797619053
Alignment Conversion,AMAS (--check-align),134.00783333333334,487.0328133333333,194.69999999999996,55.82109136351014,1.0460691200929624,142.46048901488305,0.9558337222554533,141.83224554595168,1.6131066402485974
Alignment Conversion,SEGUL,0.29733333333333334,33.62519528333333,1634.4166666666667,0.1238544848653152,15.151435767349252,0.3160878809355067,0.06599164304610786,0.31469394955018526,0.11137037239845554
Alignment Conversion,SEGUL (--datatype ignore),0.3355,33.68020865,774.3666666666666,0.1397528464315468,15.12668736094662,0.3566619418851878,0.06609961037314463,0.3550890809666608,0.11155258276425217
Alignment Splitting,AMAS,4.211,700.484371,100.5,1.7540960844209945,0.7273109973498609,4.47661233167966,1.3747463525757373,4.456870700299877,2.320081849345747
Alignment Splitting,AMAS (--remove-empty),4.756,618.937496,99.8,1.9811163565676204,0.8231364068141704,5.05598866052445,1.2147052815520418,5.033692009172694,2.049989564077092
Alignment Splitting,SEGUL,1.698,314.944925,166.4,0.7073035267981117,1.6176478681153539,1.8051027639971648,0.6180999959897594,1.7971423531487034,1.043132487014557
Alignment Splitting,SEGUL (--datatype ignore),0.593,316.283985,267.5,0.2470147181338517,1.6107991888998112,0.6304039688164421,0.6207279887431909,0.627623919562533,1.0475676021003508
Sequence Removal,AMAS,1.799,722.037501,1013.9,0.7493751735628992,0.7056004512153449,1.9124734231041811,1.4170457786311557,1.9040395131416477,2.391468203959488
Sequence Removal,AMAS (--check-align),209.293,722.660547,107.3,87.18119966675924,0.7049921136762984,222.49433026222536,1.4182685471202856,221.5131416475569,2.393531801344029
Sequence Removal,SEGUL,0.47100000000000003,32.8980471,1140.3,0.1961955012496529,15.486329171800596,0.5007087172218285,0.06456456721943024,0.4985006173928383,0.1089619770483523
Sequence Removal,SEGUL (--datatype ignore),0.525,32.2796877,561.8,0.21868925298528188,15.782989948195814,0.5581148121899362,0.06335099648905498,0.5556535544187687,0.10691390220227934
Summary Statistics,AMAS,48.849333333333334,1382.5653023333334,367.95,20.348236600944183,0.36849614672100883,51.9305457122608,2.71337475219775,51.70153466219792,4.5792094674426105
Summary Statistics,SEGUL,0.9448333333333333,301.92226675,1734.65,0.3935712302138295,1.6874210437809651,1.004429482636428,0.5925421781836747,1,1
