Analyses,Datasets,Platform,OS_name,Apps,Mean_Execution_time_secs,Mean_RAM_usage_Mb,Mean_Percent_CPU_usage,Mean_CPU_Time,SD_Execution_time_secs,SD_RAM_usage_Mb,SD_Percent_CPU_usage,SD_CPU_Time
Alignment Concatenation (FASTA),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,AMAS,1.618,1260.43124,384.2,6.21562,0.01923538406167127,0.7197255886794722,6.572670690061993,0.07257266703105258
Alignment Concatenation (FASTA),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,AMAS (--check-align),9.224,1261.35782,149.4,13.7792,0.21137644144984588,1.2363967049454954,0.8944271909999159,0.23962666796498283
Alignment Concatenation (FASTA),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,SEGUL CLI,1.224,374.673438,138,1.68908,0.005477225575051666,3.356790373529454,4.183300132670378,0.050048896091722084
Alignment Concatenation (FASTA),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,SEGUL CLI (--datatype ignore),0.572,375.298434,177.8,1.01708,0.004472135954999583,2.32443812023036,2.588435821108957,0.021172552987299448
Alignment Concatenation (FASTA),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,goalign (multi-core),4.78,2058.4827999999998,103.2,4.93266,0.12980754985747164,160.99105796405271,0.44721359549995793,0.12135991100853671
Alignment Concatenation (FASTA),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,goalign (single-core),4.442,1949.9867199999999,100,4.442,0.03563705936241093,151.03873054676072,0,0.03563705936241093
Alignment Concatenation (FASTA),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,AMAS,1.532,2005.2789,352.8,5.39976,0.04324349662087934,1.0707539866841453,14.872793954062564,0.07958575877630354
Alignment Concatenation (FASTA),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,AMAS (--check-align),10.516,2004.7797,136.2,14.3224,0.07829431652425357,0.8299196798485504,0.8366600265340756,0.07137285898715186
Alignment Concatenation (FASTA),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,SEGUL CLI,2.472,573.375004,112,2.7687000000000004,0.061806148561449684,2.5699387793739388,0.7071067811865476,0.07406314873133589
Alignment Concatenation (FASTA),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,SEGUL CLI (--datatype ignore),0.608,571.183588,148.8,0.90466,0.004472135954999583,1.276045820913177,4.604345773288535,0.02707642886349678
Alignment Concatenation (FASTA),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,goalign (multi-core),6.264,3336.24218,103.8,6.50216,0.05639148871948647,217.31397131624323,0.44721359549995793,0.07919373712611359
Alignment Concatenation (FASTA),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,goalign (single-core),5.914,3415.3961,100,5.914,0.10089598604503545,234.28832091204433,0,0.10089598604503545
Alignment Concatenation (FASTA),"Jarvis et al. 2014 (453.3 MBases, DNA)",Desktop,Linux,AMAS,1.286,1798.36952,617.4,7.93316,0.043358966777357635,0.702790628138974,19.67993902429578,0.06463534636713837
Alignment Concatenation (FASTA),"Jarvis et al. 2014 (453.3 MBases, DNA)",Desktop,Linux,AMAS (--check-align),4.952,1798.4336,233,11.53804,0.025884358211089614,0.6419308919190543,4.183300132670378,0.20794197027055444
Alignment Concatenation (FASTA),"Jarvis et al. 2014 (453.3 MBases, DNA)",Desktop,Linux,SEGUL CLI,1.736,495.854686,115.6,2.00692,0.03209361307176246,2.0987649827172095,0.5477225575051661,0.04460299317310444
Alignment Concatenation (FASTA),"Jarvis et al. 2014 (453.3 MBases, DNA)",Desktop,Linux,SEGUL CLI (--datatype ignore),0.484,495.03828,152,0.73574,0.005477225575051666,0.7460520849109801,5.612486080160912,0.0305654707145171
Alignment Concatenation (FASTA),"Jarvis et al. 2014 (453.3 MBases, DNA)",Desktop,Linux,goalign (multi-core),7.324,2714.1711,102.4,7.49968,0.04560701700396532,145.5984813664278,0.5477225575051661,0.04446028564910477
Alignment Concatenation (FASTA),"Jarvis et al. 2014 (453.3 MBases, DNA)",Desktop,Linux,goalign (single-core),6.838,2678.8023599999997,100,6.838,0.11903780911962407,284.39440750973466,0,0.11903780911962407
Alignment Concatenation (FASTA),"Oliveros et al. 2019 (522.5 MBases, DNA)",Desktop,Linux,AMAS,3.282,2262.32812,321.2,10.54102,0.0356370593624109,1.0776401774246358,4.324349662087931,0.1141955866047373
Alignment Concatenation (FASTA),"Oliveros et al. 2019 (522.5 MBases, DNA)",Desktop,Linux,AMAS (--check-align),217.668,2259.77114,103,224.19804,1.2938972138466067,1.0800628768734646,0,1.3327141302620014
Alignment Concatenation (FASTA),"Oliveros et al. 2019 (522.5 MBases, DNA)",Desktop,Linux,SEGUL CLI,1.892,607.857808,132,2.49744,0.004472135954999583,1.7719185075279387,1.5811388300841898,0.030461007862511793
Alignment Concatenation (FASTA),"Oliveros et al. 2019 (522.5 MBases, DNA)",Desktop,Linux,SEGUL CLI (--datatype ignore),0.838,605.91016,168,1.40766,0.010954451150103331,1.5367797824671756,2.23606797749979,0.007667333304350382
Alignment Concatenation (FASTA),"Oliveros et al. 2019 (522.5 MBases, DNA)",Desktop,Linux,goalign (multi-core),8.668,3480.9172,103,8.92804,0.08105553651663776,306.9959146465877,0,0.08348720261213714
Alignment Concatenation (FASTA),"Oliveros et al. 2019 (522.5 MBases, DNA)",Desktop,Linux,goalign (single-core),8.084,3835.6929999999998,100,8.084,0.06066300355241304,66.52185175463032,0,0.06066300355241304
Alignment Concatenation (FASTA),"Shen et al. 2018 (398.8 MBases, AA)",Desktop,Linux,AMAS,3.544,1737.39844,240.4,8.51802,0.06693280212272597,5.3584933211678365,3.8470768123342687,0.08414354996076591
Alignment Concatenation (FASTA),"Shen et al. 2018 (398.8 MBases, AA)",Desktop,Linux,AMAS (--check-align),509.576,1736.4945400000001,101,514.6717600000001,5.57405417985867,1.2987834973543875,0,5.629794721657252
Alignment Concatenation (FASTA),"Shen et al. 2018 (398.8 MBases, AA)",Desktop,Linux,SEGUL CLI,3.384,495.446096,115.6,3.91178,0.049295030175465056,1.0668375424027692,1.140175425099138,0.05954025529001383
Alignment Concatenation (FASTA),"Shen et al. 2018 (398.8 MBases, AA)",Desktop,Linux,SEGUL CLI (--datatype ignore),0.728,494.94766,173.6,1.26372,0.004472135954999583,0.15152654222939857,10.014988766843427,0.07157155161095782
Alignment Concatenation (FASTA),"Shen et al. 2018 (398.8 MBases, AA)",Desktop,Linux,goalign (multi-core),8.114,2194.47188,102.6,8.324580000000001,0.13164345787011222,174.55291134798355,0.5477225575051661,0.1103946194341011
Alignment Concatenation (FASTA),"Shen et al. 2018 (398.8 MBases, AA)",Desktop,Linux,goalign (single-core),7.676,2417.9742,100,7.676,0.06767569726275455,170.99926451122542,0,0.06767569726275455
Alignment Concatenation (FASTA),"Wu et al. 2018 (257.1 MBases, AA)",Desktop,Linux,AMAS,1.494,1142.24846,296.2,4.42518,0.01140175425099139,0.7257987689436193,1.4832396974191326,0.03316100119115804
Alignment Concatenation (FASTA),"Wu et al. 2018 (257.1 MBases, AA)",Desktop,Linux,AMAS (--check-align),21.96,1142.70936,112.6,24.72652,0.32357379374726886,1.244946010074332,0.5477225575051661,0.3472505824329175
Alignment Concatenation (FASTA),"Wu et al. 2018 (257.1 MBases, AA)",Desktop,Linux,SEGUL CLI,1.618,332.99375,120.4,1.948,0.008366600265340684,0.9237141413879105,1.51657508881031,0.018741398026828268
Alignment Concatenation (FASTA),"Wu et al. 2018 (257.1 MBases, AA)",Desktop,Linux,SEGUL CLI (--datatype ignore),0.46,333.517188,169,0.7777200000000001,0.007071067811865462,1.7255209706549317,10.198039027185569,0.054540003667033224
Alignment Concatenation (FASTA),"Wu et al. 2018 (257.1 MBases, AA)",Desktop,Linux,goalign (multi-core),4.852,1777.15704,103.4,5.01696,0.032710854467592004,173.17708824608698,0.5477225575051661,0.04183590563140673
Alignment Concatenation (FASTA),"Wu et al. 2018 (257.1 MBases, AA)",Desktop,Linux,goalign (single-core),4.448,1901.69922,100,4.448,0.016431676725154876,91.56596296966468,0,0.016431676725154876
Alignment Concatenation (NEXUS),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,AMAS,1.632,1261.0039,658.8,10.75084,0.013038404810405206,2.1534541799164946,8.07465169527454,0.06210751162299235
Alignment Concatenation (NEXUS),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,AMAS (--check-align),9.112,1259.99688,198.4,18.07676,0.14754660280738424,1.092989435905074,2.6076809620810595,0.27792885420553254
Alignment Concatenation (NEXUS),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,SEGUL CLI,1.578,379.235938,169.6,2.66866,0.08814760348415604,3.658899763387875,11.013627921806693,0.04944621320182176
Alignment Concatenation (NEXUS),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,SEGUL CLI (--datatype ignore),0.912,377.254688,223.8,2.04092,0.013038404810405309,4.105232681020644,1.9235384061671346,0.021469443402193773
Alignment Concatenation (NEXUS),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,goalign (multi-core),3.894,1918.08436,104.6,4.07306,0.06107372593840987,16.415084871635578,0.5477225575051661,0.06252925715215232
Alignment Concatenation (NEXUS),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,goalign (single-core),3.444,1883.80078,100,3.444,0.0502991053598371,132.69143467578076,0,0.0502991053598371
Alignment Concatenation (NEXUS),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,AMAS,1.616,2004.43048,699.8,11.30752,0.0219089023002066,1.1509166920329439,7.52994023880668,0.05548632263900717
Alignment Concatenation (NEXUS),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,AMAS (--check-align),10.454,2004.50862,193.4,20.21518,0.21674870241826166,1.1496232761213137,1.6733200530681511,0.25198040003143113
Alignment Concatenation (NEXUS),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,SEGUL CLI,2.842,593.638284,142.2,4.04132,0.0496990945591568,4.338265189569428,0.8366600265340756,0.07411779138641404
Alignment Concatenation (NEXUS),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,SEGUL CLI (--datatype ignore),1.066,592.921866,213.4,2.2749800000000002,0.016733200530681527,2.8050315910306556,4.03732584763727,0.06215120272368029
Alignment Concatenation (NEXUS),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,goalign (multi-core),5.28,3081.91094,103.4,5.459700000000001,0.051478150704935034,300.259008421626,0.5477225575051661,0.07829719024332889
Alignment Concatenation (NEXUS),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,goalign (single-core),4.854,3203.89064,100,4.854,0.018165902124584955,422.2152047887701,0,0.018165902124584955
Alignment Concatenation (NEXUS),"Jarvis et al. 2014 (453.3 MBases, DNA)",Desktop,Linux,AMAS,1.534,1798.60312,1004,15.40024,0.01816590212458497,0.8291984545330476,9.219544457292887,0.1005918634880584
Alignment Concatenation (NEXUS),"Jarvis et al. 2014 (453.3 MBases, DNA)",Desktop,Linux,AMAS (--check-align),5.032,1798.27344,377,18.96628,0.08555699854482962,0.9162493208728909,6.442049363362563,0.046102461973304934
Alignment Concatenation (NEXUS),"Jarvis et al. 2014 (453.3 MBases, DNA)",Desktop,Linux,SEGUL CLI,2.334,513.555472,154.6,3.5985,0.08905054744357276,1.7122391555708474,14.432601983010548,0.22395294148548256
Alignment Concatenation (NEXUS),"Jarvis et al. 2014 (453.3 MBases, DNA)",Desktop,Linux,SEGUL CLI (--datatype ignore),1.068,510.006248,232,2.4775400000000003,0.010954451150103331,2.041398932489688,3.082207001484488,0.019432652932628625
Alignment Concatenation (NEXUS),"Jarvis et al. 2014 (453.3 MBases, DNA)",Desktop,Linux,goalign (multi-core),5.554,2392.7922,104,5.77616,0.045055521304275245,53.687526914591544,0,0.04685774215644606
Alignment Concatenation (NEXUS),"Jarvis et al. 2014 (453.3 MBases, DNA)",Desktop,Linux,goalign (single-core),5.028,2585.79142,100,5.028,0.08438009243891598,212.258692912533,0,0.08438009243891598
Alignment Concatenation (NEXUS),"Oliveros et al. 2019 (522.5 MBases, DNA)",Desktop,Linux,AMAS,3.432,2261.7125,568.8,19.51992,0.03633180424916995,1.3407209963298246,4.8166378315169185,0.08253891203547538
