Analyses,OS_name,Apps,Execution_time_secs,RAM_usage_Mb,Percent_CPU_usage
Alignment Concatenation,Linux,AMAS,2.0425,1701.02383,791.4333333333333
Alignment Concatenation,Linux,AMAS (--check-align),128.27366666666666,1700.5697283333334,192.08333333333337
Alignment Concatenation,Linux,SEGUL,2.4006666666666665,509.4699865,156.23333333333332
Alignment Concatenation,Linux,SEGUL (--datatype ignore),0.9406666666666668,509.53717366666666,239.2
Alignment Concatenation,Linux,goalign (multi-core),5.18,2393.95358,104.13333333333334
Alignment Concatenation,Linux,goalign (single-core),4.773666666666666,2366.348378333333,99.9
Alignment Conversion,Linux,AMAS,1.3268333333333333,487.07838533333336,1083.25
Alignment Conversion,Linux,AMAS (--check-align),134.00783333333334,487.0328133333333,194.69999999999996
Alignment Conversion,Linux,SEGUL,0.29733333333333334,33.62519528333333,1634.4166666666667
Alignment Conversion,Linux,SEGUL (--datatype ignore),0.3355,33.68020865,774.3666666666666
Alignment Splitting,Linux,AMAS,4.211,700.484371,100.5
Alignment Splitting,Linux,AMAS (--remove-empty),4.756,618.937496,99.8
Alignment Splitting,Linux,SEGUL,1.698,314.944925,166.4
Alignment Splitting,Linux,SEGUL (--datatype ignore),0.593,316.283985,267.5
Sequence Removal,Linux,AMAS,1.799,722.037501,1013.9
Sequence Removal,Linux,AMAS (--check-align),209.293,722.660547,107.3
Sequence Removal,Linux,SEGUL,0.47100000000000003,32.8980471,1140.3
Sequence Removal,Linux,SEGUL (--datatype ignore),0.525,32.2796877,561.8
Summary Statistics,Linux,AMAS,48.849333333333334,1382.5653023333334,367.95
Summary Statistics,Linux,SEGUL,0.9448333333333333,301.92226675,1734.65
