Benchmarking SEGUL
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:01.00 61884 1834%
0:00.98 61984 1877%
0:00.97 61316 1937%
0:01.00 62220 1858%
0:01.00 62476 1857%
0:00.97 61720 1865%
0:00.97 61892 1916%
0:01.00 61712 1830%
0:00.99 61600 1856%
0:00.98 62016 1845%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:01.34 110620 1655%
0:01.35 110220 1552%
0:01.32 109764 1619%
0:01.32 110004 1683%
0:01.32 111400 1668%
0:01.31 110272 1672%
0:01.33 109720 1647%
0:01.31 110552 1659%
0:01.32 109720 1643%
0:01.32 110928 1657%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:01.16 49440 1981%
0:01.13 50708 2003%
0:01.11 49608 1984%
0:01.10 50264 2014%
0:01.09 50708 2010%
0:01.12 50044 2005%
0:01.13 49544 2015%
0:01.12 49840 1989%
0:01.12 50328 2020%
0:01.11 50636 2018%
Benchmarking Phyluce
Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:29.61 39544 2189%
0:29.62 39540 2182%
0:29.54 39544 2201%
0:29.62 39536 2207%
0:29.28 39536 2206%
0:29.20 39532 2205%
0:29.63 39536 2205%
0:29.44 39540 2209%
0:29.28 39540 2212%
0:29.68 39540 2191%
Dataset path: alignments/oliveros_2019_80p_trimmed
0:39.08 40388 2248%
0:39.20 40384 2265%
0:39.03 40388 2260%
0:39.66 40388 2240%
0:38.69 40384 2260%
0:39.54 40384 2252%
0:39.71 40392 2247%
0:39.44 40388 2251%
0:39.70 40384 2246%
0:38.94 40388 2243%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:36.66 39048 2285%
0:36.84 39040 2300%
0:36.34 39040 2285%
0:36.30 39040 2286%
0:36.53 39048 2293%
0:36.00 39040 2294%
0:35.87 39044 2298%
0:36.50 39044 2296%
0:36.15 39044 2299%
0:36.57 39048 2278%
