path,locus,ntaxa,chars_count,site_count,conserved_sites,proportion_cons_sites,variable_sites,proportion_var_sites,parsimony_informative_sites,proportion_pars_inf_sites,missing_data,proportion_missing_data,gc_content,at_content,nucleotides,?,-,A,C,G,T,N,R,Y,S,W,K,M,B,D,H,V,.
alignments/esselstyn_2021_nexus_trimmed/uce-2.nex,uce-2,82,107830,1315,1193,0.9072243346007605,122,0.09277566539923954,22,0.016730038022813688,46123,0.4277381062784012,0.22017991282574423,0.3520819808958546,61707,0,46123,18228,10220,13522,19737,0,0,0,0,0,0,0,0,0,0,0,0
alignments/esselstyn_2021_nexus_trimmed/uce-3.nex,uce-3,63,96642,1534,1336,0.8709256844850065,198,0.1290743155149935,44,0.028683181225554105,49892,0.5162558721880756,0.20128929450963348,0.28245483330229093,46750,0,49892,15016,8159,11294,12281,0,0,0,0,0,0,0,0,0,0,0,0
alignments/esselstyn_2021_nexus_trimmed/uce-4.nex,uce-4,75,109575,1461,1311,0.8973305954825462,150,0.1026694045174538,57,0.039014373716632446,44891,0.4096828656171572,0.19693360711841204,0.39338352726443077,64684,0,44891,23806,11025,10554,19299,0,0,0,0,0,0,0,0,0,0,0,0
alignments/esselstyn_2021_nexus_trimmed/uce-5.nex,uce-5,77,91784,1192,947,0.7944630872483222,245,0.20553691275167785,82,0.06879194630872483,33099,0.3606184084372004,0.31427046108254164,0.32511113048025797,58685,0,33099,15081,13744,15101,14759,0,0,0,0,0,0,0,0,0,0,0,0
alignments/esselstyn_2021_nexus_trimmed/uce-6.nex,uce-6,52,74516,1433,1285,0.8967201674808095,148,0.10327983251919051,40,0.027913468248429867,34379,0.46136400236190883,0.22518653711954478,0.31344946051854633,40137,0,34379,11859,8978,7802,11498,0,0,0,0,0,0,0,0,0,0,0,0
alignments/esselstyn_2021_nexus_trimmed/uce-7.nex,uce-7,59,91096,1544,1405,0.9099740932642487,139,0.0900259067357513,21,0.013601036269430052,48895,0.5367414595591464,0.18279617107227542,0.2804623693685782,42201,0,48895,11680,8741,7911,13869,0,0,0,0,0,0,0,0,0,0,0,0
alignments/esselstyn_2021_nexus_trimmed/uce-10.nex,uce-10,49,39837,813,688,0.8462484624846248,125,0.15375153751537515,13,0.015990159901599015,18393,0.46170645379923186,0.16650350176971157,0.37179004443105657,21444,0,18393,7767,3059,3574,7044,0,0,0,0,0,0,0,0,0,0,0,0
alignments/esselstyn_2021_nexus_trimmed/uce-11.nex,uce-11,78,127608,1636,1416,0.8655256723716381,220,0.13447432762836187,50,0.030562347188264057,71290,0.558664033602909,0.17455802144066201,0.2667779449564291,56318,0,71290,15108,11311,10964,18935,0,0,0,0,0,0,0,0,0,0,0,0
alignments/esselstyn_2021_nexus_trimmed/uce-12.nex,uce-12,60,77760,1296,1157,0.8927469135802469,139,0.10725308641975309,52,0.040123456790123455,37650,0.4841820987654321,0.18815586419753086,0.32766203703703706,40110,0,37650,12421,8086,6545,13058,0,0,0,0,0,0,0,0,0,0,0,0
alignments/esselstyn_2021_nexus_trimmed/uce-14.nex,uce-14,73,107310,1470,1168,0.7945578231292517,302,0.2054421768707483,67,0.04557823129251701,49510,0.46137359053210325,0.21724909141738888,0.3213773180505079,57800,0,49510,18058,11146,12167,16429,0,0,0,0,0,0,0,0,0,0,0,0
